Date,AMGN.US
1985-10-01,0.129341
1985-10-02,0.13685
1985-10-03,0.129341
1985-10-04,0.129341
1985-10-07,0.129341
1985-10-08,0.129341
1985-10-09,0.129341
1985-10-10,0.129341
1985-10-11,0.129341
1985-10-14,0.129341
1985-10-15,0.129341
1985-10-16,0.13685
1985-10-17,0.144519
1985-10-18,0.159707
1985-10-21,0.152048
1985-10-22,0.159707
1985-10-23,0.159707
1985-10-24,0.159707
1985-10-25,0.152048
1985-10-28,0.159707
1985-10-29,0.159707
1985-10-30,0.167326
1985-10-31,0.167326
1985-11-01,0.167326
1985-11-04,0.167326
1985-11-05,0.167326
1985-11-06,0.174984
1985-11-07,0.174984
1985-11-08,0.174984
1985-11-11,0.174984
1985-11-12,0.174984
1985-11-13,0.174984
1985-11-14,0.174984
1985-11-15,0.174984
1985-11-18,0.174984
1985-11-19,0.174984
1985-11-20,0.174984
1985-11-21,0.174984
1985-11-22,0.174984
1985-11-25,0.174984
1985-11-26,0.174984
1985-11-27,0.174984
1985-11-29,0.174984
1985-12-02,0.182494
1985-12-03,0.174984
1985-12-04,0.212939
1985-12-05,0.228127
1985-12-06,0.220617
1985-12-09,0.20537
1985-12-10,0.190113
1985-12-11,0.182494
1985-12-12,0.174984
1985-12-13,0.190113
1985-12-16,0.197682
1985-12-17,0.190113
1985-12-18,0.197682
1985-12-19,0.212939
1985-12-20,0.220617
1985-12-23,0.220617
1985-12-24,0.212939
1985-12-26,0.212939
1985-12-27,0.212939
1985-12-30,0.212939
1985-12-31,0.212939
1986-01-02,0.197682
1986-01-03,0.20537
1986-01-06,0.197682
1986-01-07,0.197682
1986-01-08,0.197682
1986-01-09,0.197682
1986-01-10,0.20537
1986-01-13,0.20537
1986-01-14,0.197682
1986-01-15,0.20537
1986-01-16,0.20537
1986-01-17,0.197682
1986-01-20,0.20537
1986-01-21,0.20537
1986-01-22,0.197682
1986-01-23,0.197682
1986-01-24,0.197682
1986-01-27,0.20537
1986-01-28,0.212939
1986-01-29,0.220617
1986-01-30,0.212939
1986-01-31,0.220617
1986-02-03,0.20537
1986-02-04,0.212939
1986-02-05,0.212939
1986-02-06,0.228127
1986-02-07,0.220617
1986-02-10,0.220617
1986-02-11,0.212939
1986-02-12,0.212939
1986-02-13,0.212939
1986-02-14,0.20537
1986-02-18,0.20537
1986-02-19,0.197682
1986-02-20,0.197682
1986-02-21,0.20537
1986-02-24,0.20537
1986-02-25,0.212939
1986-02-26,0.220617
1986-02-27,0.228127
1986-02-28,0.235796
1986-03-03,0.228127
1986-03-04,0.228127
1986-03-05,0.228127
1986-03-06,0.228127
1986-03-07,0.220617
1986-03-10,0.228127
1986-03-11,0.220617
1986-03-12,0.235796
1986-03-13,0.235796
1986-03-14,0.243305
1986-03-17,0.235796
1986-03-18,0.243305
1986-03-19,0.250974
1986-03-20,0.258592
1986-03-21,0.27388
1986-03-24,0.27388
1986-03-25,0.27388
1986-03-26,0.281379
1986-03-27,0.289028
1986-03-31,0.296488
1986-04-01,0.296488
1986-04-02,0.296488
1986-04-03,0.289028
1986-04-04,0.289028
1986-04-07,0.296488
1986-04-08,0.296488
1986-04-09,0.311775
1986-04-10,0.372577
1986-04-11,0.365136
1986-04-14,0.380414
1986-04-15,0.395602
1986-04-16,0.425997
1986-04-17,0.403032
1986-04-18,0.387735
1986-04-21,0.357398
1986-04-22,0.365136
1986-04-23,0.372577
1986-04-24,0.372577
1986-04-25,0.365136
1986-04-28,0.365136
1986-04-29,0.365136
1986-04-30,0.327023
1986-05-01,0.327023
1986-05-02,0.380414
1986-05-05,0.4182
1986-05-06,0.410799
1986-05-07,0.403032
1986-05-08,0.410799
1986-05-09,0.410799
1986-05-12,0.403032
1986-05-13,0.387735
1986-05-14,0.4182
1986-05-15,0.410799
1986-05-16,0.410799
1986-05-19,0.403032
1986-05-20,0.410799
1986-05-21,0.433666
1986-05-22,0.448725
1986-05-23,0.441126
1986-05-27,0.441126
1986-05-28,0.441126
1986-05-29,0.4182
1986-05-30,0.410799
1986-06-02,0.410799
1986-06-03,0.4182
1986-06-04,0.448725
1986-06-05,0.448725
1986-06-06,0.448725
1986-06-09,0.433666
1986-06-10,0.433666
1986-06-11,0.441126
1986-06-12,0.433666
1986-06-13,0.4182
1986-06-16,0.410799
1986-06-17,0.4182
1986-06-18,0.403032
1986-06-19,0.4182
1986-06-20,0.410799
1986-06-23,0.410799
1986-06-24,0.403032
1986-06-25,0.403032
1986-06-26,0.387735
1986-06-27,0.387735
1986-06-30,0.395602
1986-07-01,0.387735
1986-07-02,0.387735
1986-07-03,0.403032
1986-07-07,0.372577
1986-07-08,0.34227
1986-07-09,0.349889
1986-07-10,0.357398
1986-07-11,0.357398
1986-07-14,0.357398
1986-07-15,0.34227
1986-07-16,0.357398
1986-07-17,0.372577
1986-07-18,0.372577
1986-07-21,0.387735
1986-07-22,0.395602
1986-07-23,0.403032
1986-07-24,0.403032
1986-07-25,0.403032
1986-07-28,0.387735
1986-07-29,0.380414
1986-07-30,0.365136
1986-07-31,0.357398
1986-08-01,0.34227
1986-08-04,0.34227
1986-08-05,0.34227
1986-08-06,0.34227
1986-08-07,0.334661
1986-08-08,0.327023
1986-08-11,0.34227
1986-08-12,0.357398
1986-08-13,0.365136
1986-08-14,0.387735
1986-08-15,0.380414
1986-08-18,0.365136
1986-08-19,0.349889
1986-08-20,0.357398
1986-08-21,0.357398
1986-08-22,0.349889
1986-08-25,0.349889
1986-08-26,0.349889
1986-08-27,0.349889
1986-08-28,0.349889
1986-08-29,0.34227
1986-09-02,0.334661
1986-09-03,0.34227
1986-09-04,0.334661
1986-09-05,0.311775
1986-09-08,0.27388
1986-09-09,0.250974
1986-09-10,0.250974
1986-09-11,0.243305
1986-09-12,0.220617
1986-09-15,0.220617
1986-09-16,0.220617
1986-09-17,0.220617
1986-09-18,0.250974
1986-09-19,0.258592
1986-09-22,0.27388
1986-09-23,0.289028
1986-09-24,0.27388
1986-09-25,0.27388
1986-09-26,0.27388
1986-09-29,0.27388
1986-09-30,0.27388
1986-10-01,0.289028
1986-10-02,0.296488
1986-10-03,0.296488
1986-10-06,0.296488
1986-10-07,0.281379
1986-10-08,0.281379
1986-10-09,0.281379
1986-10-10,0.289028
1986-10-13,0.296488
1986-10-14,0.296488
1986-10-15,0.289028
1986-10-16,0.281379
1986-10-17,0.289028
1986-10-20,0.281379
1986-10-21,0.289028
1986-10-22,0.296488
1986-10-23,0.311775
1986-10-24,0.327023
1986-10-27,0.334661
1986-10-28,0.365136
1986-10-29,0.349889
1986-10-30,0.349889
1986-10-31,0.357398
1986-11-03,0.349889
1986-11-04,0.334661
1986-11-05,0.319493
1986-11-06,0.296488
1986-11-07,0.296488
1986-11-10,0.327023
1986-11-11,0.365136
1986-11-12,0.365136
1986-11-13,0.365136
1986-11-14,0.365136
1986-11-17,0.349889
1986-11-18,0.34227
1986-11-19,0.349889
1986-11-20,0.365136
1986-11-21,0.365136
1986-11-24,0.380414
1986-11-25,0.372577
1986-11-26,0.380414
1986-11-28,0.380414
1986-12-01,0.357398
1986-12-02,0.357398
1986-12-03,0.34227
1986-12-04,0.349889
1986-12-05,0.349889
1986-12-08,0.34227
1986-12-09,0.334661
1986-12-10,0.319493
1986-12-11,0.319493
1986-12-12,0.311775
1986-12-15,0.311775
1986-12-16,0.327023
1986-12-17,0.319493
1986-12-18,0.311775
1986-12-19,0.327023
1986-12-22,0.334661
1986-12-23,0.34227
1986-12-24,0.365136
1986-12-26,0.365136
1986-12-29,0.357398
1986-12-30,0.357398
1986-12-31,0.349889
1987-01-02,0.372577
1987-01-05,0.410799
1987-01-06,0.4182
1987-01-07,0.4182
1987-01-08,0.448725
1987-01-09,0.4182
1987-01-12,0.441126
1987-01-13,0.433666
1987-01-14,0.433666
1987-01-15,0.433666
1987-01-16,0.403032
1987-01-19,0.433666
1987-01-20,0.4182
1987-01-21,0.4182
1987-01-22,0.433666
1987-01-23,0.410799
1987-01-26,0.395602
1987-01-27,0.410799
1987-01-28,0.4182
1987-01-29,0.403032
1987-01-30,0.410799
1987-02-02,0.410799
1987-02-03,0.410799
1987-02-04,0.433666
1987-02-05,0.448725
1987-02-06,0.463814
1987-02-09,0.501967
1987-02-10,0.486769
1987-02-11,0.517244
1987-02-12,0.532521
1987-02-13,0.532521
1987-02-17,0.540259
1987-02-18,0.547501
1987-02-19,0.540259
1987-02-20,0.540259
1987-02-23,0.532521
1987-02-24,0.540259
1987-02-25,0.578155
1987-02-26,0.600773
1987-02-27,0.593432
1987-03-02,0.585595
1987-03-03,0.555437
1987-03-04,0.555437
1987-03-05,0.532521
1987-03-06,0.562878
1987-03-09,0.585595
1987-03-10,0.615852
1987-03-11,0.63103
1987-03-12,0.691841
1987-03-13,0.646704
1987-03-16,0.669322
1987-03-17,0.707515
1987-03-18,0.676862
1987-03-19,0.676862
1987-03-20,0.661981
1987-03-23,0.646704
1987-03-24,0.653847
1987-03-25,0.653847
1987-03-26,0.638966
1987-03-27,0.646704
1987-03-30,0.615852
1987-03-31,0.608511
1987-04-01,0.600773
1987-04-02,0.608511
1987-04-03,0.638966
1987-04-06,0.646704
1987-04-07,0.600773
1987-04-08,0.608511
1987-04-09,0.615852
1987-04-10,0.615852
1987-04-13,0.600773
1987-04-14,0.540259
1987-04-15,0.540259
1987-04-16,0.600773
1987-04-20,0.593432
1987-04-21,0.593432
1987-04-22,0.593432
1987-04-23,0.608511
1987-04-24,0.600773
1987-04-27,0.600773
1987-04-28,0.600773
1987-04-29,0.600773
1987-04-30,0.63103
1987-05-01,0.653847
1987-05-04,0.646704
1987-05-05,0.653847
1987-05-06,0.63103
1987-05-07,0.600773
1987-05-08,0.608511
1987-05-11,0.593432
1987-05-12,0.615852
1987-05-13,0.638966
1987-05-14,0.63103
1987-05-15,0.624185
1987-05-18,0.63103
1987-05-19,0.600773
1987-05-20,0.600773
1987-05-21,0.600773
1987-05-22,0.593432
1987-05-26,0.608511
1987-05-27,0.624185
1987-05-28,0.653847
1987-05-29,0.638966
1987-06-01,0.600773
1987-06-02,0.608511
1987-06-03,0.638966
1987-06-04,0.646704
1987-06-05,0.63103
1987-06-08,0.63103
1987-06-09,0.624185
1987-06-10,0.638966
1987-06-11,0.638966
1987-06-12,0.638966
1987-06-15,0.615852
1987-06-16,0.600773
1987-06-17,0.600773
1987-06-18,0.624185
1987-06-19,0.63103
1987-06-22,0.624185
1987-06-23,0.624185
1987-06-24,0.608511
1987-06-25,0.608511
1987-06-26,0.608511
1987-06-29,0.600773
1987-06-30,0.600773
1987-07-01,0.501967
1987-07-02,0.517244
1987-07-06,0.494457
1987-07-07,0.448725
1987-07-08,0.463814
1987-07-09,0.463814
1987-07-10,0.448725
1987-07-13,0.448725
1987-07-14,0.4182
1987-07-15,0.433666
1987-07-16,0.456274
1987-07-17,0.448725
1987-07-20,0.448725
1987-07-21,0.441126
1987-07-22,0.441126
1987-07-23,0.441126
1987-07-24,0.433666
1987-07-27,0.4182
1987-07-28,0.433666
1987-07-29,0.425997
1987-07-30,0.433666
1987-07-31,0.471512
1987-08-03,0.456274
1987-08-04,0.463814
1987-08-05,0.463814
1987-08-06,0.486769
1987-08-07,0.517244
1987-08-10,0.540259
1987-08-11,0.540259
1987-08-12,0.524585
1987-08-13,0.509606
1987-08-14,0.509606
1987-08-17,0.509606
1987-08-18,0.509606
1987-08-19,0.501967
1987-08-20,0.501967
1987-08-21,0.509606
