Date,AXP.US
1985-10-01,3.1271
1985-10-02,3.05048
1985-10-03,3.07609
1985-10-04,3.05048
1985-10-07,3.04202
1985-10-08,3.03405
1985-10-09,2.98314
1985-10-10,3.00864
1985-10-11,3.05965
1985-10-14,3.13547
1985-10-15,3.11863
1985-10-16,3.11006
1985-10-17,3.17751
1985-10-18,3.23709
1985-10-21,3.22025
1985-10-22,3.25442
1985-10-23,3.27116
1985-10-24,3.21138
1985-10-25,3.16984
1985-10-28,3.16984
1985-10-29,3.2878
1985-10-30,3.37308
1985-10-31,3.34757
1985-11-01,3.34757
1985-11-04,3.33024
1985-11-05,3.37308
1985-11-06,3.4742
1985-11-07,3.44899
1985-11-08,3.4996
1985-11-11,3.59295
1985-11-12,3.59295
1985-11-13,3.51704
1985-11-14,3.52521
1985-11-15,3.51704
1985-11-18,3.54204
1985-11-19,3.55908
1985-11-20,3.52521
1985-11-21,3.57622
1985-11-22,3.61856
1985-11-25,3.55081
1985-11-26,3.56765
1985-11-27,3.60172
1985-11-29,3.59295
1985-12-02,3.56765
1985-12-03,3.56765
1985-12-04,3.67804
1985-12-05,3.69437
1985-12-06,3.6609
1985-12-09,3.76252
1985-12-10,3.76252
1985-12-11,3.86414
1985-12-12,3.87301
1985-12-13,3.99126
1985-12-16,3.98299
1985-12-17,3.97473
1985-12-18,3.92372
1985-12-19,3.87301
1985-12-20,3.88137
1985-12-23,3.83863
1985-12-24,3.79649
1985-12-26,3.81323
1985-12-27,3.94045
1985-12-30,3.96616
1985-12-31,3.92372
1986-01-02,3.91495
1986-01-03,3.92372
1986-01-06,3.91495
1986-01-07,3.93199
1986-01-08,3.86414
1986-01-09,3.85577
1986-01-10,3.79649
1986-01-13,3.76252
1986-01-14,3.79649
1986-01-15,3.83863
1986-01-16,3.90658
1986-01-17,3.89861
1986-01-20,3.83863
1986-01-21,3.79649
1986-01-22,3.77109
1986-01-23,3.90658
1986-01-24,4.0083
1986-01-27,4.11022
1986-01-28,4.1945
1986-01-29,4.29672
1986-01-30,4.24591
1986-01-31,4.16093
1986-02-03,4.29672
1986-02-04,4.26255
1986-02-05,4.44058
1986-02-06,4.37303
1986-02-07,4.381
1986-02-10,4.41498
1986-02-11,4.3557
1986-02-12,4.36417
