Date,BA.US
1985-10-01,8.1212
1985-10-02,8.1454
1985-10-03,8.0971
1985-10-04,7.8567
1985-10-07,7.7519
1985-10-08,7.6636
1985-10-09,7.5754
1985-10-10,7.487
1985-10-11,7.5995
1985-10-14,7.7277
1985-10-15,7.8165
1985-10-16,7.8567
1985-10-17,7.9689
1985-10-18,7.9046
1985-10-21,7.6636
1985-10-22,7.9046
1985-10-23,8.1865
1985-10-24,8.0971
1985-10-25,7.9445
1985-10-28,7.8404
1985-10-29,7.9046
1985-10-30,8.0812
1985-10-31,7.9929
1985-11-01,7.9689
1985-11-04,7.9689
1985-11-05,8.1454
1985-11-06,8.0971
1985-11-07,8.2339
1985-11-08,8.1865
1985-11-11,8.2339
1985-11-12,8.3382
1985-11-13,8.3626
1985-11-14,8.3792
1985-11-15,8.2733
1985-11-18,8.2104
1985-11-19,8.1865
1985-11-20,8.2339
1985-11-21,8.3626
1985-11-22,8.3792
1985-11-25,8.2978
1985-11-26,8.2733
1985-11-27,8.4513
1985-11-29,8.5543
1985-12-02,8.5311
1985-12-03,8.6425
1985-12-04,8.7323
1985-12-05,8.837
1985-12-06,8.837
1985-12-09,8.9487
1985-12-10,8.9233
1985-12-11,9.0606
1985-12-12,8.8213
1985-12-13,9.0376
1985-12-16,9.1023
1985-12-17,9.0606
1985-12-18,8.885
1985-12-19,8.837
1985-12-20,8.837
1985-12-23,8.5311
1985-12-24,8.4513
1985-12-26,8.5311
1985-12-27,8.7323
1985-12-30,9.0123
1985-12-31,9.1023
1986-01-02,9.1426
1986-01-03,9.2801
1986-01-06,9.2801
1986-01-07,9.2548
1986-01-08,8.7561
1986-01-09,8.8213
1986-01-10,8.3626
1986-01-13,8.4513
1986-01-14,8.1865
1986-01-15,8.4912
1986-01-16,8.3626
1986-01-17,8.2496
1986-01-20,8.4268
1986-01-21,8.5153
1986-01-22,8.2733
1986-01-23,8.1612
1986-01-24,8.2978
1986-01-27,8.1454
1986-01-28,8.2978
1986-01-29,8.3145
1986-01-30,8.3145
1986-01-31,8.4021
1986-02-03,8.3792
1986-02-04,8.1612
1986-02-05,8.0571
1986-02-06,8.1212
1986-02-07,8.3626
1986-02-10,8.6192
1986-02-11,8.5311
1986-02-12,8.7078
1986-02-13,8.6838
1986-02-14,8.7078
1986-02-18,8.6037
1986-02-19,8.4912
1986-02-20,8.6192
1986-02-21,8.7078
1986-02-24,8.9487
1986-02-25,8.8213
1986-02-26,9.2064
1986-02-27,9.3192
1986-02-28,9.2957
1986-03-03,9.2064
1986-03-04,9.2298
1986-03-05,9.2298
1986-03-06,9.3413
1986-03-07,9.4935
1986-03-10,9.601
1986-03-11,9.3413
1986-03-12,9.357
1986-03-13,9.2064
1986-03-14,9.2957
1986-03-17,9.2548
1986-03-18,9.511
1986-03-19,9.585
1986-03-20,9.888
1986-03-21,9.623
1986-03-24,9.752
1986-03-25,9.601
1986-03-26,9.713
1986-03-27,9.969
1986-03-31,9.932
1986-04-01,9.752
1986-04-02,9.646
1986-04-03,9.4478
1986-04-04,9.4056
1986-04-07,9.4478
1986-04-08,9.736
1986-04-09,9.837
1986-04-10,9.864
1986-04-11,9.864
1986-04-14,9.864
1986-04-15,9.932
1986-04-16,10.169
1986-04-17,10.298
1986-04-18,10.169
1986-04-21,10.235
1986-04-22,10.107
1986-04-23,10.124
1986-04-24,9.953
1986-04-25,9.817
1986-04-28,10.147
1986-04-29,10.031
1986-04-30,9.799
1986-05-01,9.688
1986-05-02,9.646
1986-05-05,9.953
1986-05-06,9.992
1986-05-07,9.799
1986-05-08,9.906
1986-05-09,10.016
1986-05-12,9.969
1986-05-13,9.799
1986-05-14,9.713
