Date,CAT.US
1985-10-01,2.51965
1985-10-02,2.5271
1985-10-03,2.51965
1985-10-04,2.47546
1985-10-07,2.45351
1985-10-08,2.46851
1985-10-09,2.5125
1985-10-10,2.5271
1985-10-11,2.54934
1985-10-14,2.5419
1985-10-15,2.56364
1985-10-16,2.5419
1985-10-17,2.47546
1985-10-18,2.43137
1985-10-21,2.41667
1985-10-22,2.41667
1985-10-23,2.38707
1985-10-24,2.43852
1985-10-25,2.41667
1985-10-28,2.41667
1985-10-29,2.43137
1985-10-30,2.44626
1985-10-31,2.46851
1985-11-01,2.4978
1985-11-04,2.53435
1985-11-05,2.51965
1985-11-06,2.48301
1985-11-07,2.5271
1985-11-08,2.62313
1985-11-11,2.65977
1985-11-12,2.63028
1985-11-13,2.57149
1985-11-14,2.61568
1985-11-15,2.66692
1985-11-18,2.65977
1985-11-19,2.71122
1985-11-20,2.67457
1985-11-21,2.68172
1985-11-22,2.74806
1985-11-25,2.77001
1985-11-26,2.74806
1985-11-27,2.77001
1985-11-29,2.77001
1985-12-02,2.74806
1985-12-03,2.76296
1985-12-04,2.829
1985-12-05,2.7852
1985-12-06,2.77785
1985-12-09,2.79235
1985-12-10,2.8145
1985-12-11,2.83684
1985-12-12,2.87339
1985-12-13,2.93982
1985-12-16,2.97637
1985-12-17,2.96932
1985-12-18,2.95452
1985-12-19,2.92483
1985-12-20,2.91023
1985-12-23,2.77785
1985-12-24,2.76296
1985-12-26,2.76296
1985-12-27,2.86614
1985-12-30,2.91023
1985-12-31,2.91748
1986-01-02,2.88074
1986-01-03,2.88074
1986-01-06,2.91023
1986-01-07,2.91748
1986-01-08,2.76296
1986-01-09,2.80695
1986-01-10,2.85889
1986-01-13,2.90268
1986-01-14,2.96187
1986-01-15,2.99852
1986-01-16,2.95452
1986-01-17,3.00596
1986-01-20,2.99852
1986-01-21,3.01351
1986-01-22,3.00596
1986-01-23,3.02821
1986-01-24,3.10914
1986-01-27,3.15324
1986-01-28,3.17558
1986-01-29,3.26397
1986-01-30,3.17558
1986-01-31,3.19028
1986-02-03,3.25652
1986-02-04,3.19028
1986-02-05,3.20498
1986-02-06,3.27122
1986-02-07,3.33765
1986-02-10,3.38919
1986-02-11,3.41134
1986-02-12,3.45573
1986-02-13,3.46278
1986-02-14,3.45573
1986-02-18,3.40389
1986-02-19,3.3449
1986-02-20,3.33765
1986-02-21,3.39644
1986-02-24,3.39644
1986-02-25,3.3449
1986-02-26,3.38155
1986-02-27,3.48483
1986-02-28,3.53617
1986-03-03,3.53617
1986-03-04,3.69129
1986-03-05,3.61025
1986-03-06,3.61025
1986-03-07,3.53617
1986-03-10,3.49972
1986-03-11,3.62485
1986-03-12,3.59526
1986-03-13,3.55146
1986-03-14,3.59526
1986-03-17,3.49238
1986-03-18,3.63935
1986-03-19,3.58811
1986-03-20,3.68384
1986-03-21,3.58811
1986-03-24,3.70619
1986-03-25,3.65435
1986-03-26,3.63935
1986-03-27,3.69129
1986-03-31,3.66914
1986-04-01,3.6323
1986-04-02,3.60301
1986-04-03,3.58066
1986-04-04,3.44808
1986-04-07,3.41134
1986-04-08,3.41134
1986-04-09,3.47748
1986-04-10,3.51452
1986-04-11,3.45573
1986-04-14,3.45573
1986-04-15,3.41849
1986-04-16,3.58811
1986-04-17,3.71344
1986-04-18,3.69884
1986-04-21,3.69129
1986-04-22,3.6472
1986-04-23,3.68384
1986-04-24,3.77958
1986-04-25,3.86061
1986-04-28,3.86061
1986-04-29,3.80907
1986-04-30,3.69884
1986-05-01,3.69884
1986-05-02,3.6323
1986-05-05,3.6177
1986-05-06,3.59526
1986-05-07,3.57341
1986-05-08,3.59526
1986-05-09,3.63935
1986-05-12,3.63935
1986-05-13,3.58811
1986-05-14,3.58066
1986-05-15,3.49972
1986-05-16,3.49238
1986-05-19,3.55851
1986-05-20,3.55851
1986-05-21,3.63935
1986-05-22,3.69129
1986-05-23,3.76498
1986-05-27,3.82387
1986-05-28,3.83886
1986-05-29,3.83141
1986-05-30,3.78692
1986-06-02,3.72823
1986-06-03,3.69129
1986-06-04,3.67639
1986-06-05,3.69129
1986-06-06,3.67639
1986-06-09,3.6323
1986-06-10,3.58811
1986-06-11,3.58811
1986-06-12,3.52922
1986-06-13,3.6323
1986-06-16,3.60301
1986-06-17,3.6323
1986-06-18,3.63935
1986-06-19,3.55851
1986-06-20,3.57341
1986-06-23,3.49972
1986-06-24,3.46278
1986-06-25,3.47748
1986-06-26,3.44808
1986-06-27,3.44064
1986-06-30,3.47748
1986-07-01,3.49238
1986-07-02,3.54392
1986-07-03,3.6323
1986-07-07,3.53617
1986-07-08,3.55146
1986-07-09,3.55851
1986-07-10,3.52922
1986-07-11,3.41849
1986-07-14,3.26397
1986-07-15,3.1019
1986-07-16,3.1019
1986-07-17,3.19763
1986-07-18,3.22732
1986-07-21,3.22732
1986-07-22,3.19763
1986-07-23,3.16764
1986-07-24,3.19763
1986-07-25,3.17558
1986-07-28,3.11649
1986-07-29,3.02821
1986-07-30,2.94697
1986-07-31,3.12384
1986-08-01,3.17558
1986-08-04,3.21262
1986-08-05,3.19763
1986-08-06,3.13119
1986-08-07,3.24907
1986-08-08,3.22732
1986-08-11,3.27122
1986-08-12,3.27886
1986-08-13,3.30081
1986-08-14,3.24182
1986-08-15,3.15324
1986-08-18,3.17558
1986-08-19,3.16108
1986-08-20,3.21958
1986-08-21,3.30816
1986-08-22,3.31571
1986-08-25,3.36705
1986-08-26,3.47748
1986-08-27,3.47748
1986-08-28,3.49238
1986-08-29,3.49238
1986-09-02,3.49972
1986-09-03,3.52167
1986-09-04,3.53617
1986-09-05,3.49238
1986-09-08,3.44064
1986-09-09,3.48483
1986-09-10,3.48483
1986-09-11,3.27122
1986-09-12,3.26397
1986-09-15,3.29296
1986-09-16,3.30081
1986-09-17,3.30081
1986-09-18,3.21958
1986-09-19,3.11649
1986-09-22,3.16108
1986-09-23,3.20498
1986-09-24,2.84399
1986-09-25,2.7852
1986-09-26,2.71122
1986-09-29,2.60833
1986-09-30,2.65233
1986-10-01,2.69672
1986-10-02,2.61568
1986-10-03,2.60833
1986-10-06,2.61568
1986-10-07,2.61568
1986-10-08,2.62313
1986-10-09,2.65977
1986-10-10,2.65233
1986-10-13,2.62313
1986-10-14,2.65233
1986-10-15,2.64528
1986-10-16,2.65977
1986-10-17,2.65233
1986-10-20,2.61568
1986-10-21,2.61568
1986-10-22,2.57834
1986-10-23,2.60069
1986-10-24,2.59354
1986-10-27,2.60069
1986-10-28,2.60069
1986-10-29,2.65233
