Date,CVX.US
1985-10-01,3.00548
1985-10-02,2.97374
1985-10-03,2.99288
1985-10-04,2.96084
1985-10-07,2.9291
1985-10-08,2.93555
1985-10-09,2.94805
1985-10-10,2.94805
1985-10-11,2.96769
1985-10-14,3.00548
1985-10-15,3.02442
1985-10-16,3.04376
1985-10-17,3.01827
1985-10-18,2.96084
1985-10-21,2.99288
1985-10-22,3.02442
1985-10-23,3.05001
1985-10-24,3.06895
1985-10-25,3.04376
1985-10-28,3.088
1985-10-29,3.06895
1985-10-30,3.02442
1985-10-31,3.03721
1985-11-01,3.00548
1985-11-04,2.99288
1985-11-05,2.98633
1985-11-06,2.942
1985-11-07,2.93555
1985-11-08,2.9543
1985-11-11,3.03721
1985-11-12,3.01827
1985-11-13,2.97374
1985-11-14,3.03721
1985-11-15,3.01827
1985-11-18,3.02442
1985-11-19,3.00548
1985-11-20,2.98633
1985-11-21,3.04376
1985-11-22,3.02442
1985-11-25,3.06241
1985-11-26,3.09454
1985-11-27,3.10089
1985-11-29,3.01827
1985-12-02,2.942
1985-12-03,2.96769
1985-12-04,2.97374
1985-12-05,3.00548
1985-12-06,2.99288
1985-12-09,2.83379
1985-12-10,2.67499
1985-12-11,2.72578
1985-12-12,2.77656
1985-12-13,2.87822
1985-12-16,2.91641
1985-12-17,2.89717
1985-12-18,2.9543
1985-12-19,2.97374
1985-12-20,2.97374
1985-12-23,2.9291
1985-12-24,2.9291
1985-12-26,2.93555
1985-12-27,2.93555
1985-12-30,2.9543
1985-12-31,3.00548
1986-01-02,2.9543
1986-01-03,2.97374
1986-01-06,2.96769
1986-01-07,3.01827
1986-01-08,2.91016
1986-01-09,2.942
1986-01-10,2.942
1986-01-13,2.97374
1986-01-14,2.9291
1986-01-15,2.93555
1986-01-16,2.87822
1986-01-17,2.86602
1986-01-20,2.8083
1986-01-21,2.75117
1986-01-22,2.73837
1986-01-23,2.77031
1986-01-24,2.87822
1986-01-27,2.8083
1986-01-28,2.75732
1986-01-29,2.77031
1986-01-30,2.81484
1986-01-31,2.87822
1986-02-03,2.84023
1986-02-04,2.72578
1986-02-05,2.74482
1986-02-06,2.75117
1986-02-07,2.81484
1986-02-10,2.81484
1986-02-11,2.76396
1986-02-12,2.78281
1986-02-13,2.83379
1986-02-14,2.86602
1986-02-18,2.87822
1986-02-19,2.8083
1986-02-20,2.8083
1986-02-21,2.87822
1986-02-24,2.92256
1986-02-25,3.01827
1986-02-26,3.04376
1986-02-27,2.9543
1986-02-28,2.942
1986-03-03,2.88487
1986-03-04,2.87822
1986-03-05,2.91016
1986-03-06,2.86602
1986-03-07,2.8083
1986-03-10,2.8083
1986-03-11,2.93555
1986-03-12,3.00548
1986-03-13,2.942
1986-03-14,2.96769
1986-03-17,3.01827
1986-03-18,3.00548
1986-03-19,3.00548
1986-03-20,3.04376
1986-03-21,3.01827
1986-03-24,2.96769
1986-03-25,2.9543
1986-03-26,2.99288
1986-03-27,2.99288
1986-03-31,2.92256
1986-04-01,2.92256
1986-04-02,3.01827
1986-04-03,2.98633
1986-04-04,2.98633
1986-04-07,3.00548
1986-04-08,3.00548
1986-04-09,2.98633
1986-04-10,3.04376
1986-04-11,3.10089
1986-04-14,3.13243
1986-04-15,3.14523
1986-04-16,3.12608
1986-04-17,3.06895
1986-04-18,3.03721
1986-04-21,3.10089
1986-04-22,3.09454
1986-04-23,3.06895
1986-04-24,3.10089
1986-04-25,3.13243
1986-04-28,3.14523
1986-04-29,3.11329
1986-04-30,3.088
1986-05-01,3.06895
1986-05-02,3.14523
1986-05-05,3.22785
1986-05-06,3.20226
1986-05-07,3.20226
1986-05-08,3.24699
1986-05-09,3.32931
1986-05-12,3.3422
1986-05-13,3.28507
1986-05-14,3.29152
1986-05-15,3.22785
1986-05-16,3.23419
1986-05-19,3.23419
1986-05-20,3.25304
1986-05-21,3.20226
1986-05-22,3.24699
1986-05-23,3.29152
1986-05-27,3.28507
1986-05-28,3.25304
1986-05-29,3.25304
1986-05-30,3.25304
1986-06-02,3.30382
1986-06-03,3.32931
1986-06-04,3.27863
1986-06-05,3.26603
1986-06-06,3.27863
1986-06-09,3.25304
1986-06-10,3.24699
1986-06-11,3.24699
1986-06-12,3.23419
1986-06-13,3.24699
1986-06-16,3.25304
1986-06-17,3.24699
1986-06-18,3.24699
1986-06-19,3.26603
1986-06-20,3.26603
1986-06-23,3.23419
1986-06-24,3.23419
1986-06-25,3.24699
1986-06-26,3.21515
1986-06-27,3.16387
1986-06-30,3.12608
1986-07-01,3.10089
1986-07-02,3.15157
1986-07-03,3.15157
1986-07-07,3.08175
1986-07-08,3.06241
1986-07-09,2.96769
1986-07-10,2.94805
1986-07-11,2.91016
1986-07-14,2.82744
1986-07-15,2.78281
1986-07-16,2.81484
1986-07-17,2.91016
1986-07-18,2.9291
1986-07-21,2.98018
1986-07-22,3.01172
1986-07-23,2.93555
1986-07-24,2.87822
1986-07-25,2.86602
1986-07-28,2.82744
1986-07-29,2.83379
1986-07-30,2.96084
1986-07-31,2.93555
1986-08-01,2.98018
1986-08-04,3.20226
1986-08-05,3.31047
1986-08-06,3.28507
1986-08-07,3.31662
1986-08-08,3.29767
1986-08-11,3.33586
1986-08-12,3.34845
1986-08-13,3.41828
1986-08-14,3.41213
1986-08-15,3.55813
1986-08-18,3.622
1986-08-19,3.4881
1986-08-20,3.57707
1986-08-21,3.49445
1986-08-22,3.51994
1986-08-25,3.501
1986-08-26,3.65344
1986-08-27,3.71057
1986-08-28,3.622
1986-08-29,3.65989
1986-09-02,3.67249
1986-09-03,3.76165
1986-09-04,3.85657
1986-09-05,3.88841
1986-09-08,3.81224
1986-09-09,3.75521
1986-09-10,3.76165
1986-09-11,3.60266
1986-09-12,3.57707
1986-09-15,3.60921
1986-09-16,3.57707
1986-09-17,3.4881
1986-09-18,3.44337
1986-09-19,3.501
1986-09-22,3.51994
1986-09-23,3.58352
1986-09-24,3.53918
1986-09-25,3.51994
1986-09-26,3.55813
1986-09-29,3.55813
1986-09-30,3.64105
1986-10-01,3.69163
1986-10-02,3.71057
1986-10-03,3.69163
1986-10-06,3.71057
1986-10-07,3.73626
1986-10-08,3.74251
1986-10-09,3.71057
1986-10-10,3.622
1986-10-13,3.60921
1986-10-14,3.51994
1986-10-15,3.57707
1986-10-16,3.70413
1986-10-17,3.67884
1986-10-20,3.622
1986-10-21,3.60921
1986-10-22,3.53918
1986-10-23,3.4881
1986-10-24,3.45041
1986-10-27,3.49445
1986-10-28,3.44337
1986-10-29,3.41213
1986-10-30,3.60921
1986-10-31,3.69163
1986-11-03,3.64739
1986-11-04,3.68538
1986-11-05,3.74251
1986-11-06,3.68538
1986-11-07,3.76165
1986-11-10,3.72992
1986-11-11,3.83793
1986-11-12,3.85657
1986-11-13,3.85657
1986-11-14,3.97123
1986-11-17,3.97123
1986-11-18,3.82503
1986-11-19,3.83793
1986-11-20,3.89496
1986-11-21,3.93929
1986-11-24,3.96478
1986-11-25,3.92025
1986-11-26,3.88841
1986-11-28,3.97123
1986-12-01,3.95219
1986-12-02,4.01557
1986-12-03,3.93929
1986-12-04,3.84418
1986-12-05,3.83793
1986-12-08,3.82503
1986-12-09,3.81224
1986-12-10,3.92025
1986-12-11,3.93929
1986-12-12,4.02211
1986-12-15,3.99642
1986-12-16,4.00297
1986-12-17,3.88841
1986-12-18,3.86322
1986-12-19,3.85657
1986-12-22,3.89496
1986-12-23,3.84418
1986-12-24,3.83793
1986-12-26,3.83793
1986-12-29,3.84418
1986-12-30,3.83793
1986-12-31,3.80579
1987-01-02,3.85657
1987-01-05,3.92025
1987-01-06,3.9267
1987-01-07,3.98373
