Date,DIS.US
1985-10-01,1.3824
1985-10-02,1.4088
1985-10-03,1.4442
1985-10-04,1.418
1985-10-07,1.4265
1985-10-08,1.418
1985-10-09,1.4352
1985-10-10,1.4529
1985-10-11,1.4706
1985-10-14,1.4881
1985-10-15,1.4794
1985-10-16,1.4881
1985-10-17,1.4969
1985-10-18,1.4969
1985-10-21,1.4881
1985-10-22,1.4794
1985-10-23,1.4881
1985-10-24,1.4794
1985-10-25,1.4706
1985-10-28,1.4616
1985-10-29,1.4794
1985-10-30,1.4794
1985-10-31,1.5323
1985-11-01,1.5323
1985-11-04,1.5233
1985-11-05,1.5323
1985-11-06,1.541
1985-11-07,1.541
1985-11-08,1.541
1985-11-11,1.5939
1985-11-12,1.6202
1985-11-13,1.585
1985-11-14,1.6202
1985-11-15,1.6115
1985-11-18,1.5939
1985-11-19,1.585
1985-11-20,1.585
1985-11-21,1.6025
1985-11-22,1.6289
1985-11-25,1.6025
1985-11-26,1.6025
1985-11-27,1.6289
1985-11-29,1.6465
1985-12-02,1.6202
1985-12-03,1.6115
1985-12-04,1.6819
1985-12-05,1.6995
1985-12-06,1.6906
1985-12-09,1.7258
1985-12-10,1.7875
1985-12-11,1.7875
1985-12-12,1.7702
1985-12-13,1.7963
1985-12-16,1.8491
1985-12-17,1.8315
1985-12-18,1.814
1985-12-19,1.8315
1985-12-20,1.8932
1985-12-23,1.8756
1985-12-24,1.8404
1985-12-26,1.8315
1985-12-27,1.8491
1985-12-30,1.8491
1985-12-31,1.8844
1986-01-02,1.8756
1986-01-03,1.8932
1986-01-06,1.9197
1986-01-07,1.9903
1986-01-08,1.9638
1986-01-09,1.9021
1986-01-10,1.9108
1986-01-13,1.9987
1986-01-14,2.0429
1986-01-15,2.0252
1986-01-16,1.9987
1986-01-17,2.0252
1986-01-20,2.0076
1986-01-21,1.9549
1986-01-22,1.9373
1986-01-23,1.9283
1986-01-24,1.9549
1986-01-27,1.9724
1986-01-28,1.9724
1986-01-29,1.9724
1986-01-30,1.9459
1986-01-31,1.9724
1986-02-03,1.9812
1986-02-04,1.9903
1986-02-05,1.9638
1986-02-06,1.9638
1986-02-07,1.9812
1986-02-10,2.0517
1986-02-11,2.0782
1986-02-12,2.1133
1986-02-13,2.1575
1986-02-14,2.1485
1986-02-18,2.1485
1986-02-19,2.1046
1986-02-20,2.0956
1986-02-21,2.1221
1986-02-24,2.1485
1986-02-25,2.1838
1986-02-26,2.1927
1986-02-27,2.2629
1986-02-28,2.3158
1986-03-03,2.3158
1986-03-04,2.3864
1986-03-05,2.3774
1986-03-06,2.3864
1986-03-07,2.3599
1986-03-10,2.3335
1986-03-11,2.2367
1986-03-12,2.3246
1986-03-13,2.3599
1986-03-14,2.3774
1986-03-17,2.3158
1986-03-18,2.2984
1986-03-19,2.3335
1986-03-20,2.3599
1986-03-21,2.2894
1986-03-24,2.3335
1986-03-25,2.3511
1986-03-26,2.4744
1986-03-27,2.5009
1986-03-31,2.5009
1986-04-01,2.4568
