Date,^DJI
1985-10-01,1341.0
1985-10-02,1333.7
1985-10-03,1333.1
1985-10-04,1328.7
1985-10-07,1324.4
1985-10-08,1325.5
1985-10-09,1326.7
1985-10-10,1328.1
1985-10-11,1339.9
1985-10-14,1354.7
1985-10-15,1350.8
1985-10-16,1368.5
1985-10-17,1369.3
1985-10-18,1368.8
1985-10-21,1364.1
1985-10-22,1364.4
1985-10-23,1367.2
1985-10-24,1362.3
1985-10-25,1356.5
1985-10-28,1360.0
1985-10-29,1368.7
1985-10-30,1375.6
1985-10-31,1374.3
1985-11-01,1390.3
1985-11-04,1389.7
1985-11-05,1396.7
1985-11-06,1403.4
1985-11-07,1399.5
1985-11-08,1404.4
1985-11-11,1431.9
1985-11-12,1433.6
1985-11-13,1427.8
1985-11-14,1439.2
1985-11-15,1435.1
1985-11-18,1440.0
1985-11-19,1439.0
1985-11-20,1439.2
1985-11-21,1462.3
1985-11-22,1464.3
1985-11-25,1456.7
1985-11-26,1456.8
1985-11-27,1475.7
1985-11-29,1472.1
1985-12-02,1457.9
1985-12-03,1459.1
1985-12-04,1484.4
1985-12-05,1482.9
1985-12-06,1477.2
1985-12-09,1497.0
1985-12-10,1499.2
1985-12-11,1511.7
1985-12-12,1511.2
1985-12-13,1535.2
1985-12-16,1553.1
1985-12-17,1544.5
1985-12-18,1542.4
1985-12-19,1543.9
1985-12-20,1543.0
1985-12-23,1528.8
1985-12-24,1519.2
1985-12-26,1526.5
1985-12-27,1543.0
1985-12-30,1550.5
1985-12-31,1546.7
1986-01-02,1537.7
1986-01-03,1549.2
1986-01-06,1547.6
1986-01-07,1565.7
1986-01-08,1526.6
1986-01-09,1518.2
1986-01-10,1513.5
1986-01-13,1520.5
1986-01-14,1519.0
1986-01-15,1527.3
1986-01-16,1541.6
1986-01-17,1536.7
1986-01-20,1529.1
1986-01-21,1514.5
1986-01-22,1502.3
1986-01-23,1511.2
1986-01-24,1529.9
1986-01-27,1537.6
1986-01-28,1556.4
1986-01-29,1558.9
1986-01-30,1552.2
1986-01-31,1571.0
1986-02-03,1594.3
1986-02-04,1593.2
1986-02-05,1593.1
1986-02-06,1600.7
1986-02-07,1613.4
1986-02-10,1626.4
1986-02-11,1622.8
1986-02-12,1629.9
1986-02-13,1645.1
1986-02-14,1664.5
1986-02-18,1678.8
1986-02-19,1658.3
1986-02-20,1672.8
1986-02-21,1697.7
1986-02-24,1698.3
1986-02-25,1692.7
1986-02-26,1696.9
1986-02-27,1714.0
1986-02-28,1709.1
1986-03-03,1696.7
