Date,GC.F
1985-10-01,327.1
1985-10-02,328.3
1985-10-03,333.9
1985-10-04,332.2
1985-10-07,330.5
1985-10-08,328.6
1985-10-09,329.0
1985-10-10,329.1
1985-10-11,330.7
1985-10-14,329.8
1985-10-15,329.1
1985-10-16,326.8
1985-10-17,328.4
1985-10-18,329.7
1985-10-21,329.4
1985-10-22,330.1
1985-10-23,329.0
1985-10-24,328.2
1985-10-25,329.4
1985-10-28,328.9
1985-10-29,329.3
1985-10-30,327.8
1985-10-31,326.7
1985-11-01,328.1
1985-11-04,327.1
1985-11-05,326.2
1985-11-06,325.5
1985-11-07,323.1
1985-11-08,325.6
1985-11-11,324.5
1985-11-12,325.8
1985-11-13,326.2
1985-11-14,325.8
1985-11-15,324.7
1985-11-18,324.7
1985-11-19,324.7
1985-11-20,326.8
1985-11-21,327.4
1985-11-22,327.4
1985-11-25,332.7
1985-11-26,335.6
1985-11-27,330.2
1985-11-29,327.3
1985-12-02,326.5
1985-12-03,326.7
1985-12-04,325.7
1985-12-05,326.9
1985-12-06,326.2
1985-12-09,319.8
1985-12-10,321.2
1985-12-11,320.1
1985-12-12,320.4
1985-12-13,322.2
1985-12-16,324.9
1985-12-17,323.9
1985-12-18,327.3
1985-12-19,327.2
1985-12-20,328.7
1985-12-23,328.3
1985-12-24,328.2
1985-12-26,327.7
1985-12-27,329.0
1985-12-30,330.6
1985-12-31,331.1
1986-01-02,328.9
1986-01-03,330.0
1986-01-06,330.7
1986-01-07,332.8
1986-01-08,336.1
1986-01-09,339.9
1986-01-10,343.3
1986-01-13,341.5
1986-01-14,341.0
1986-01-15,350.7
1986-01-16,357.6
1986-01-17,358.0
1986-01-20,355.1
1986-01-21,352.8
1986-01-22,351.5
1986-01-23,351.9
1986-01-24,358.4
1986-01-27,354.3
1986-01-28,357.1
1986-01-29,360.2
1986-01-30,359.4
1986-01-31,352.9
1986-02-03,347.4
1986-02-04,337.4
1986-02-05,339.3
1986-02-06,340.4
1986-02-07,342.5
1986-02-10,340.8
1986-02-11,341.6
1986-02-12,340.8
1986-02-13,335.3
1986-02-14,336.2
1986-02-18,339.7
1986-02-19,339.0
1986-02-20,341.4
1986-02-21,343.3
1986-02-24,351.0
1986-02-25,350.0
1986-02-26,338.5
1986-02-27,339.2
1986-02-28,341.0
1986-03-03,340.5
1986-03-04,346.0
1986-03-05,344.5
1986-03-06,344.3
1986-03-07,345.7
1986-03-10,343.3
1986-03-11,344.9
1986-03-12,353.0
1986-03-13,349.2
1986-03-14,348.9
1986-03-17,350.8
1986-03-18,350.3
1986-03-19,350.8
1986-03-20,352.7
1986-03-21,357.4
1986-03-24,351.3
1986-03-25,344.0
1986-03-26,348.5
1986-03-27,347.2
1986-03-31,334.8
1986-04-01,337.0
1986-04-02,339.5
1986-04-03,338.4
1986-04-04,338.4
1986-04-07,342.5
1986-04-08,342.9
1986-04-09,342.2
1986-04-10,341.7
1986-04-11,347.5
1986-04-14,344.2
1986-04-15,343.4
1986-04-16,341.9
1986-04-17,341.5
1986-04-18,346.7
1986-04-21,345.7
1986-04-22,349.0
1986-04-23,348.1
1986-04-24,347.1
1986-04-25,346.2
1986-04-28,345.8
1986-04-29,346.9
1986-04-30,348.1
1986-05-01,342.8
1986-05-02,344.7
1986-05-05,344.2
1986-05-06,344.0
1986-05-07,345.8
1986-05-08,345.5
1986-05-09,345.5
1986-05-12,345.5
1986-05-13,345.1
1986-05-14,343.1
1986-05-15,343.4
1986-05-16,343.8
1986-05-19,340.7
1986-05-20,339.8
1986-05-21,339.8
1986-05-22,342.6
1986-05-23,342.4
1986-05-27,341.8
1986-05-28,342.5
1986-05-29,347.0
1986-05-30,347.1
1986-06-02,345.1
1986-06-03,345.3
1986-06-04,344.8
1986-06-05,344.6
1986-06-06,344.8
1986-06-09,354.2
1986-06-10,351.2
1986-06-11,351.7
1986-06-12,349.8
1986-06-13,348.8
1986-06-16,337.5
1986-06-17,339.3
1986-06-18,340.5
1986-06-19,340.9
1986-06-20,342.7
1986-06-23,343.3
1986-06-24,345.2
1986-06-25,347.1
1986-06-26,346.6
1986-06-27,346.9
1986-06-30,347.7
1986-07-01,345.8
1986-07-02,344.9
1986-07-03,
1986-07-07,345.9
1986-07-08,351.2
1986-07-09,349.6
1986-07-10,348.6
1986-07-11,347.8
1986-07-14,346.4
1986-07-15,349.1
1986-07-16,348.7
1986-07-17,348.7
1986-07-18,356.5
1986-07-21,355.6
1986-07-22,353.7
1986-07-23,349.0
1986-07-24,349.3
1986-07-25,348.2
1986-07-28,355.1
1986-07-29,358.6
1986-07-30,358.6
1986-07-31,369.7
1986-08-01,367.5
1986-08-04,367.0
1986-08-05,366.1
1986-08-06,367.5
1986-08-07,369.3
1986-08-08,382.5
1986-08-11,398.5
1986-08-12,392.4
1986-08-13,391.7
