Date,HD.US
1985-10-01,0.192256
1985-10-02,0.192256
1985-10-03,0.192256
1985-10-04,0.192256
1985-10-07,0.184733
1985-10-08,0.184733
1985-10-09,0.192256
1985-10-10,0.199917
1985-10-11,0.192256
1985-10-14,0.192256
1985-10-15,0.184733
1985-10-16,0.192256
1985-10-17,0.184733
1985-10-18,0.184733
1985-10-21,0.184733
1985-10-22,0.184733
1985-10-23,0.184733
1985-10-24,0.192256
1985-10-25,0.184733
1985-10-28,0.192256
1985-10-29,0.192256
1985-10-30,0.184733
1985-10-31,0.184733
1985-11-01,0.176873
1985-11-04,0.184733
1985-11-05,0.184733
1985-11-06,0.176873
1985-11-07,0.176873
1985-11-08,0.176873
1985-11-11,0.192256
1985-11-12,0.207619
1985-11-13,0.199917
1985-11-14,0.192256
1985-11-15,0.192256
1985-11-18,0.192256
1985-11-19,0.192256
1985-11-20,0.192256
1985-11-21,0.184733
1985-11-22,0.192256
1985-11-25,0.192256
1985-11-26,0.184733
1985-11-27,0.184733
1985-11-29,0.184733
1985-12-02,0.184733
1985-12-03,0.184733
1985-12-04,0.184733
1985-12-05,0.192256
1985-12-06,0.192256
1985-12-09,0.192256
1985-12-10,0.184733
1985-12-11,0.192256
1985-12-12,0.207619
1985-12-13,0.223161
1985-12-16,0.21531
1985-12-17,0.21531
1985-12-18,0.223161
1985-12-19,0.223161
1985-12-20,0.223161
1985-12-23,0.21531
1985-12-24,0.21531
1985-12-26,0.21531
1985-12-27,0.21531
1985-12-30,0.207619
1985-12-31,0.207619
1986-01-02,0.21531
1986-01-03,0.21531
1986-01-06,0.207619
1986-01-07,0.207619
1986-01-08,0.207619
1986-01-09,0.207619
1986-01-10,0.199917
1986-01-13,0.199917
1986-01-14,0.199917
1986-01-15,0.199917
1986-01-16,0.192256
1986-01-17,0.192256
1986-01-20,0.192256
1986-01-21,0.192256
1986-01-22,0.192256
1986-01-23,0.192256
1986-01-24,0.192256
1986-01-27,0.184733
1986-01-28,0.184733
1986-01-29,0.192256
1986-01-30,0.207619
1986-01-31,0.207619
1986-02-03,0.223161
1986-02-04,0.21531
1986-02-05,0.21531
1986-02-06,0.207619
1986-02-07,0.199917
1986-02-10,0.199917
1986-02-11,0.199917
1986-02-12,0.21531
1986-02-13,0.223161
1986-02-14,0.230703
1986-02-18,0.246086
1986-02-19,0.238524
1986-02-20,0.238524
1986-02-21,0.246086
1986-02-24,0.246086
1986-02-25,0.246086
1986-02-26,0.238524
1986-02-27,0.246086
1986-02-28,0.246086
1986-03-03,0.246086
1986-03-04,0.246086
1986-03-05,0.238524
1986-03-06,0.253926
1986-03-07,0.26923
1986-03-10,0.277011
1986-03-11,0.284692
1986-03-12,0.277011
1986-03-13,0.26923
1986-03-14,0.277011
1986-03-17,0.26923
1986-03-18,0.26923
1986-03-19,0.261459
1986-03-20,0.261459
1986-03-21,0.26923
1986-03-24,0.261459
1986-03-25,0.277011
1986-03-26,0.26923
1986-03-27,0.26923
1986-03-31,0.26923
1986-04-01,0.26923
1986-04-02,0.261459
1986-04-03,0.253926
1986-04-04,0.246086
1986-04-07,0.246086
1986-04-08,0.253926
1986-04-09,0.261459
1986-04-10,0.261459
1986-04-11,0.253926
1986-04-14,0.253926
1986-04-15,0.261459
1986-04-16,0.26923
1986-04-17,0.277011
1986-04-18,0.300075
1986-04-21,0.300075
1986-04-22,0.292135
1986-04-23,0.292135
1986-04-24,0.292135
1986-04-25,0.292135
1986-04-28,0.292135
1986-04-29,0.284692
1986-04-30,0.284692
1986-05-01,0.26923
1986-05-02,0.277011
1986-05-05,0.284692
1986-05-06,0.284692
1986-05-07,0.284692
1986-05-08,0.284692
1986-05-09,0.277011
1986-05-12,0.284692
1986-05-13,0.277011
1986-05-14,0.284692
1986-05-15,0.277011
1986-05-16,0.284692
