Date,HG.F
1985-10-01,60.6
1985-10-02,61.65
1985-10-03,61.5
1985-10-04,61.9
1985-10-07,62.6
1985-10-08,62.3
1985-10-09,62.0
1985-10-10,61.45
1985-10-11,61.65
1985-10-14,61.6
1985-10-15,61.0
1985-10-16,60.25
1985-10-17,60.85
1985-10-18,61.95
1985-10-21,61.55
1985-10-22,61.85
1985-10-23,62.9
1985-10-24,62.45
1985-10-25,62.15
1985-10-28,61.3
1985-10-29,62.2
1985-10-30,61.4
1985-10-31,60.25
1985-11-01,60.6
1985-11-04,60.85
1985-11-05,60.95
1985-11-06,61.4
1985-11-07,60.3
1985-11-08,61.5
1985-11-11,60.8
1985-11-12,61.2
1985-11-13,61.45
1985-11-14,61.35
1985-11-15,61.15
1985-11-18,60.7
1985-11-19,60.75
1985-11-20,60.65
1985-11-21,60.8
1985-11-22,62.1
1985-11-25,62.05
1985-11-26,61.65
1985-11-27,62.0
1985-11-29,61.85
1985-12-02,61.8
1985-12-03,61.55
1985-12-04,62.7
1985-12-05,63.6
1985-12-06,64.1
1985-12-09,63.55
1985-12-10,63.75
1985-12-11,64.55
1985-12-12,63.8
1985-12-13,64.2
1985-12-16,65.15
1985-12-17,64.25
1985-12-18,63.45
1985-12-19,63.95
1985-12-20,63.65
1985-12-23,63.15
1985-12-24,63.75
1985-12-26,64.35
1985-12-27,64.1
1985-12-30,63.85
1985-12-31,64.15
1986-01-02,64.35
1986-01-03,64.45
1986-01-06,64.5
1986-01-07,65.45
1986-01-08,65.25
1986-01-09,65.75
1986-01-10,65.95
1986-01-13,66.95
1986-01-14,67.05
1986-01-15,66.9
1986-01-16,66.6
1986-01-17,66.75
1986-01-20,66.4
1986-01-21,65.85
1986-01-22,65.4
1986-01-23,65.1
1986-01-24,65.9
1986-01-27,66.75
1986-01-28,66.55
1986-01-29,66.25
1986-01-30,66.2
1986-01-31,65.7
1986-02-03,63.65
1986-02-04,63.8
1986-02-05,64.45
1986-02-06,63.95
1986-02-07,63.9
1986-02-10,63.7
1986-02-11,63.15
1986-02-12,63.25
1986-02-13,64.0
1986-02-14,64.5
1986-02-18,64.85
1986-02-19,64.6
1986-02-20,65.0
1986-02-21,64.65
1986-02-24,65.95
1986-02-25,65.6
1986-02-26,64.8
1986-02-27,65.3
1986-02-28,64.8
1986-03-03,64.1
1986-03-04,65.35
1986-03-05,65.0
1986-03-06,65.85
1986-03-07,65.7
1986-03-10,66.35
1986-03-11,66.0
1986-03-12,65.95
1986-03-13,65.95
1986-03-14,67.05
1986-03-17,68.1
1986-03-18,67.6
1986-03-19,68.0
1986-03-20,67.5
1986-03-21,68.6
1986-03-24,68.05
1986-03-25,67.1
