Date,IBM.US
1985-10-01,20.9629
1985-10-02,20.5906
1985-10-03,20.5906
1985-10-04,20.4464
1985-10-07,20.5698
1985-10-08,20.5906
1985-10-09,20.5698
1985-10-10,20.5906
1985-10-11,20.798
1985-10-14,21.192
1985-10-15,21.192
1985-10-16,21.4221
1985-10-17,21.2769
1985-10-18,21.1308
1985-10-21,21.112
1985-10-22,21.3816
1985-10-23,21.6078
1985-10-24,21.2947
1985-10-25,21.192
1985-10-28,21.4221
1985-10-29,21.6078
1985-10-30,21.7085
1985-10-31,21.5031
1985-11-01,21.671
1985-11-04,21.8951
1985-11-05,22.0798
1985-11-06,22.0028
1985-11-07,21.8724
1985-11-08,21.9406
1985-11-11,22.2862
1985-11-12,22.4136
1985-11-13,22.3514
1985-11-14,22.62
1985-11-15,22.6398
1985-11-18,22.934
1985-11-19,22.8916
1985-11-20,23.0111
1985-11-21,23.2244
1985-11-22,23.098
1985-11-25,23.0111
1985-11-26,23.0111
1985-11-27,23.2244
1985-11-29,23.1395
1985-12-02,22.8264
1985-12-03,22.9498
1985-12-04,23.49
1985-12-05,23.3034
1985-12-06,23.4693
1985-12-09,23.9502
1985-12-10,24.2771
1985-12-11,24.6692
1985-12-12,24.606
1985-12-13,24.8795
1985-12-16,25.2054
1985-12-17,25.2528
1985-12-18,25.3111
1985-12-19,25.4573
1985-12-20,25.5392
1985-12-23,25.4987
1985-12-24,25.2913
1985-12-26,25.3723
1985-12-27,25.7249
1985-12-30,26.2048
1985-12-31,25.7427
1986-01-02,25.164
1986-01-03,25.556
1986-01-06,25.556
1986-01-07,25.7644
1986-01-08,24.6465
1986-01-09,24.8993
1986-01-10,24.5862
1986-01-13,24.6692
1986-01-14,24.7126
1986-01-15,25.2746
1986-01-16,25.8306
1986-01-17,24.9803
1986-01-20,24.7344
1986-01-21,24.7541
1986-01-22,23.8831
1986-01-23,24.5053
1986-01-24,24.8341
1986-01-27,24.7749
1986-01-28,25.1254
1986-01-29,24.998
1986-01-30,24.7541
1986-01-31,25.084
1986-02-03,25.6044
1986-02-04,25.4987
1986-02-05,25.6429
1986-02-06,25.6646
1986-02-07,25.7911
1986-02-10,26.0379
1986-02-11,25.95
1986-02-12,25.6646
1986-02-13,25.7644
1986-02-14,25.8701
1986-02-18,26.3026
1986-02-19,26.0765
1986-02-20,26.347
1986-02-21,26.4478
1986-02-24,26.3026
1986-02-25,26.0765
1986-02-26,26.2048
1986-02-27,25.8108
1986-02-28,24.9803
1986-03-03,25.0454
1986-03-04,24.7926
1986-03-05,24.5675
1986-03-06,24.2929
1986-03-07,24.1774
1986-03-10,24.5862
1986-03-11,25.164
1986-03-12,24.6692
1986-03-13,24.9181
1986-03-14,24.8993
1986-03-17,24.9803
1986-03-18,25.2311
1986-03-19,25.1077
1986-03-20,24.8608
1986-03-21,24.6692
1986-03-24,24.6465
1986-03-25,24.5053
1986-03-26,24.4411
1986-03-27,24.6929
1986-03-31,25.084
1986-04-01,24.6929
1986-04-02,24.998
1986-04-03,24.7749
1986-04-04,24.5457
1986-04-07,24.7541
1986-04-08,25.164
1986-04-09,24.7126
1986-04-10,24.8795
1986-04-11,24.7926
1986-04-14,25.2311
1986-04-15,25.2746
1986-04-16,25.6251
1986-04-17,25.6044
1986-04-18,25.2746
1986-04-21,25.6429
1986-04-22,25.3318
1986-04-23,25.7051
1986-04-24,26.0962
1986-04-25,26.4093
1986-04-28,26.7233
1986-04-29,26.3915
1986-04-30,25.8701
1986-05-01,25.9767
1986-05-02,25.5195
1986-05-05,25.7644
1986-05-06,25.5392
1986-05-07,25.0454
1986-05-08,24.6741
1986-05-09,24.7926
1986-05-12,24.8341
1986-05-13,24.6465
1986-05-14,24.5299
1986-05-15,24.0707
1986-05-16,23.9897
1986-05-19,23.8633
1986-05-20,24.2129
1986-05-21,23.9226
1986-05-22,23.7369
1986-05-23,23.8228
1986-05-27,24.3403
1986-05-28,25.0662
1986-05-29,25.3111
1986-05-30,25.2311
1986-06-02,25.2054
1986-06-03,25.2913
1986-06-04,24.8341
1986-06-05,24.9605
1986-06-06,24.8114
1986-06-09,24.2929
1986-06-10,24.5675
1986-06-11,24.6929
1986-06-12,24.5053
1986-06-13,24.7749
1986-06-16,24.5862
1986-06-17,24.3196
1986-06-18,24.2337
1986-06-19,24.0095
1986-06-20,24.4213
1986-06-23,24.0273
1986-06-24,24.2564
1986-06-25,24.4213
1986-06-26,24.2929
1986-06-27,24.3403
1986-06-30,24.2564
1986-07-01,24.606
1986-07-02,24.7541
1986-07-03,24.6741
1986-07-07,24.05
1986-07-08,23.9502
1986-07-09,23.8831
1986-07-10,24.1359
1986-07-11,23.6964
1986-07-14,23.0585
1986-07-15,22.4817
1986-07-16,22.0393
1986-07-17,21.8556
1986-07-18,21.8132
1986-07-21,21.8369
1986-07-22,22.1262
1986-07-23,22.0393
1986-07-24,22.0393
1986-07-25,22.2062
1986-07-28,21.9238
1986-07-29,21.7292
1986-07-30,21.8951
1986-07-31,21.9406
1986-08-01,21.7559
1986-08-04,21.7944
1986-08-05,21.671
1986-08-06,21.7085
1986-08-07,21.6858
1986-08-08,21.5238
1986-08-11,21.6858
1986-08-12,21.9406
1986-08-13,22.1875
1986-08-14,22.2279
1986-08-15,22.0393
1986-08-18,22.4136
1986-08-19,22.6398
1986-08-20,23.0585
1986-08-21,22.8541
1986-08-22,22.8541
1986-08-25,23.016
1986-08-26,23.3617
1986-08-27,23.3617
1986-08-28,23.178
1986-08-29,22.9706
1986-09-02,22.5173
1986-09-03,22.539
1986-09-04,23.0792
1986-09-05,23.2441
1986-09-08,23.8051
1986-09-09,23.8228
1986-09-10,23.8633
1986-09-11,23.0585
1986-09-12,22.7444
1986-09-15,22.6862
1986-09-16,22.8916
1986-09-17,22.7849
1986-09-18,22.9133
1986-09-19,22.6644
1986-09-22,22.9498
1986-09-23,23.0585
1986-09-24,22.7672
1986-09-25,22.4817
1986-09-26,22.4324
1986-09-29,22.2279
1986-09-30,22.2665
1986-10-01,22.0196
1986-10-02,22.0196
1986-10-03,21.671
1986-10-06,22.1055
1986-10-07,21.2137
1986-10-08,21.112
1986-10-09,20.1975
1986-10-10,20.475
1986-10-13,20.1975
1986-10-14,20.0119
1986-10-15,20.3644
1986-10-16,20.0504
1986-10-17,20.1807
1986-10-20,19.9092
1986-10-21,20.0988
1986-10-22,19.9348
1986-10-23,20.1205
1986-10-24,20.0988
1986-10-27,20.2173
1986-10-28,19.9921
1986-10-29,20.0119
1986-10-30,20.1975
1986-10-31,20.475
1986-11-03,20.9224
1986-11-04,20.8444
1986-11-05,20.3842
1986-11-06,20.0988
1986-11-07,20.1205
1986-11-10,20.3842
1986-11-11,20.4879
1986-11-12,20.3259
1986-11-13,19.845
1986-11-14,20.0988
1986-11-17,20.1975
1986-11-18,19.9575
1986-11-19,20.3644
1986-11-20,20.4533
1986-11-21,20.4069
1986-11-24,20.637
1986-11-25,21.0508
1986-11-26,20.8631
1986-11-28,21.0508
1986-12-01,21.0893
1986-12-02,21.5031
1986-12-03,21.2947
1986-12-04,21.1495
1986-12-05,20.9629
1986-12-08,21.1495
1986-12-09,21.0093
1986-12-10,21.1969
1986-12-11,21.1969
1986-12-12,20.9441
1986-12-15,21.1308
1986-12-16,21.2137
1986-12-17,20.9836
1986-12-18,20.7575
1986-12-19,20.717
1986-12-22,20.3842
1986-12-23,19.9575
1986-12-24,20.1975
1986-12-26,20.1975
1986-12-29,19.9724
1986-12-30,20.0119
1986-12-31,19.8697
1987-01-02,20.1975
1987-01-05,20.475
1987-01-06,20.3644
1987-01-07,20.4533
1987-01-08,20.3457
1987-01-09,20.238
1987-01-12,19.9348
1987-01-13,19.288
1987-01-14,19.6415
1987-01-15,19.8697
1987-01-16,19.8697
1987-01-19,20.7397
1987-01-20,20.3259
1987-01-21,20.3259
1987-01-22,21.0893
1987-01-23,20.9046
1987-01-26,21.0686
1987-01-27,21.4221
1987-01-28,21.5238
1987-01-29,21.2947
1987-01-30,21.3164
1987-02-02,21.8951
1987-02-03,22.0196
1987-02-04,22.3741
1987-02-05,22.6644
1987-02-06,22.4817
1987-02-09,22.148
1987-02-10,22.0877
1987-02-11,22.1875
1987-02-12,21.9603
1987-02-13,22.2724
1987-02-17,22.9133
1987-02-18,22.8541
1987-02-19,23.0377
1987-02-20,23.1167
1987-02-23,23.7419
1987-02-24,23.6757
1987-02-25,23.4693
1987-02-26,23.0792
1987-02-27,23.098
1987-03-02,22.934
1987-03-03,22.8699
1987-03-04,23.1572
1987-03-05,23.2441
1987-03-06,23.0792
1987-03-09,22.9933
1987-03-10,23.6589
1987-03-11,23.4693
1987-03-12,23.8831
1987-03-13,23.9897
1987-03-16,23.9502
1987-03-17,24.3611
1987-03-18,24.2129
1987-03-19,24.3403
1987-03-20,24.606
1987-03-23,24.7926
1987-03-24,25.3111
1987-03-25,25.7703
1987-03-26,25.4987
1987-03-27,24.9605
1987-03-30,25.2311
1987-03-31,24.8608
1987-04-01,25.0267
1987-04-02,24.5053
1987-04-03,24.7541
1987-04-06,24.7344
1987-04-07,24.2564
1987-04-08,24.3808
1987-04-09,23.8416
1987-04-10,24.0095
1987-04-13,24.4411
1987-04-14,24.5299
1987-04-15,24.9803
1987-04-16,24.84
1987-04-20,24.84
1987-04-21,25.9984
1987-04-22,25.5392
1987-04-23,25.5392
1987-04-24,25.1254
1987-04-27,25.5392
1987-04-28,25.7051
1987-04-29,26.2601
1987-04-30,26.5139
1987-05-01,26.5959
1987-05-04,26.987
1987-05-05,27.6358
1987-05-06,27.6111
1987-05-07,27.301
1987-05-08,27.1164
1987-05-11,26.987
1987-05-12,27.38
1987-05-13,27.5262
1987-05-14,27.3415
1987-05-15,26.5959
1987-05-18,26.6542
1987-05-19,25.956
1987-05-20,25.9362
1987-05-21,26.0379
1987-05-22,25.9362
