Date,INTC.US
1985-10-01,0.381954
1985-10-02,0.367916
1985-10-03,0.360936
1985-10-04,0.353729
1985-10-07,0.339542
1985-10-08,0.332444
1985-10-09,0.339542
1985-10-10,0.318396
1985-10-11,0.339542
1985-10-14,0.360936
1985-10-15,0.346611
1985-10-16,0.360936
1985-10-17,0.346611
1985-10-18,0.332444
1985-10-21,0.332444
1985-10-22,0.346611
1985-10-23,0.360936
1985-10-24,0.374994
1985-10-25,0.367916
1985-10-28,0.367916
1985-10-29,0.381954
1985-10-30,0.381954
1985-10-31,0.374994
1985-11-01,0.381954
1985-11-04,0.367916
1985-11-05,0.367916
1985-11-06,0.381954
1985-11-07,0.389102
1985-11-08,0.389102
1985-11-11,0.39618
1985-11-12,0.39618
1985-11-13,0.39618
1985-11-14,0.39618
1985-11-15,0.410496
1985-11-18,0.410496
1985-11-19,0.431583
1985-11-20,0.417406
1985-11-21,0.424366
1985-11-22,0.417406
1985-11-25,0.410496
1985-11-26,0.410496
1985-11-27,0.424366
1985-11-29,0.417406
1985-12-02,0.410496
1985-12-03,0.417406
1985-12-04,0.431583
1985-12-05,0.438711
1985-12-06,0.431583
1985-12-09,0.438711
1985-12-10,0.438711
1985-12-11,0.438711
1985-12-12,0.438711
1985-12-13,0.452739
1985-12-16,0.452739
1985-12-17,0.438711
1985-12-18,0.424366
1985-12-19,0.424366
1985-12-20,0.417406
1985-12-23,0.410496
1985-12-24,0.410496
1985-12-26,0.417406
1985-12-27,0.431583
1985-12-30,0.431583
1985-12-31,0.431583
1986-01-02,0.424366
1986-01-03,0.417406
1986-01-06,0.39618
1986-01-07,0.403269
1986-01-08,0.39618
1986-01-09,0.39618
1986-01-10,0.403269
1986-01-13,0.403269
1986-01-14,0.410496
1986-01-15,0.417406
1986-01-16,0.438711
1986-01-17,0.452739
1986-01-20,0.445582
1986-01-21,0.438711
1986-01-22,0.431583
1986-01-23,0.431583
1986-01-24,0.431583
1986-01-27,0.410496
1986-01-28,0.417406
1986-01-29,0.424366
1986-01-30,0.410496
1986-01-31,0.417406
1986-02-03,0.424366
1986-02-04,0.445582
1986-02-05,0.474015
1986-02-06,0.445582
1986-02-07,0.452739
1986-02-10,0.431583
1986-02-11,0.431583
1986-02-12,0.424366
1986-02-13,0.410496
1986-02-14,0.424366
1986-02-18,0.424366
1986-02-19,0.417406
1986-02-20,0.417406
1986-02-21,0.431583
1986-02-24,0.431583
1986-02-25,0.424366
1986-02-26,0.417406
1986-02-27,0.417406
1986-02-28,0.410496
1986-03-03,0.389102
1986-03-04,0.389102
1986-03-05,0.403269
1986-03-06,0.39618
1986-03-07,0.374994
1986-03-10,0.39618
1986-03-11,0.417406
1986-03-12,0.417406
1986-03-13,0.417406
1986-03-14,0.403269
1986-03-17,0.403269
1986-03-18,0.403269
1986-03-19,0.39618
1986-03-20,0.403269
1986-03-21,0.403269
1986-03-24,0.410496
1986-03-25,0.403269
1986-03-26,0.39618
1986-03-27,0.389102
1986-03-31,0.381954
1986-04-01,0.374994
1986-04-02,0.374994
1986-04-03,0.374994
1986-04-04,0.374994
1986-04-07,0.367916
1986-04-08,0.389102
1986-04-09,0.381954
1986-04-10,0.410496
1986-04-11,0.417406
1986-04-14,0.417406
1986-04-15,0.410496
1986-04-16,0.424366
1986-04-17,0.424366
1986-04-18,0.417406
1986-04-21,0.417406
1986-04-22,0.424366
1986-04-23,0.424366
1986-04-24,0.438711
1986-04-25,0.459848
1986-04-28,0.452739
1986-04-29,0.438711
1986-04-30,0.417406
1986-05-01,0.424366
1986-05-02,0.410496
1986-05-05,0.410496
1986-05-06,0.424366
1986-05-07,0.417406
1986-05-08,0.424366
1986-05-09,0.431583
1986-05-12,0.431583
1986-05-13,0.424366
1986-05-14,0.417406
1986-05-15,0.39618
1986-05-16,0.389102
1986-05-19,0.389102
1986-05-20,0.39618
1986-05-21,0.389102
1986-05-22,0.389102
