Date,JNJ.US
1985-10-01,1.50821
1985-10-02,1.45793
1985-10-03,1.50066
1985-10-04,1.4791
1985-10-07,1.45793
1985-10-08,1.45793
1985-10-09,1.46469
1985-10-10,1.47224
1985-10-11,1.50066
1985-10-14,1.51496
1985-10-15,1.51496
1985-10-16,1.53653
1985-10-17,1.56564
1985-10-18,1.55858
1985-10-21,1.55113
1985-10-22,1.55113
1985-10-23,1.54398
1985-10-24,1.55113
1985-10-25,1.56564
1985-10-28,1.56564
1985-10-29,1.57269
1985-10-30,1.60856
1985-10-31,1.57985
1985-11-01,1.60856
1985-11-04,1.59406
1985-11-05,1.60151
1985-11-06,1.62287
1985-11-07,1.62287
1985-11-08,1.62287
1985-11-11,1.65179
1985-11-12,1.67295
1985-11-13,1.67295
1985-11-14,1.68736
1985-11-15,1.67295
1985-11-18,1.69491
1985-11-19,1.68736
1985-11-20,1.69491
1985-11-21,1.65884
1985-11-22,1.61592
1985-11-25,1.59406
1985-11-26,1.63768
1985-11-27,1.6802
1985-11-29,1.68736
1985-12-02,1.67295
1985-12-03,1.6658
1985-12-04,1.65884
1985-12-05,1.69491
1985-12-06,1.68736
1985-12-09,1.71637
1985-12-10,1.71637
1985-12-11,1.72352
1985-12-12,1.7592
1985-12-13,1.80947
1985-12-16,1.8526
1985-12-17,1.82388
1985-12-18,1.774
1985-12-19,1.80242
1985-12-20,1.78086
1985-12-23,1.76655
1985-12-24,1.7592
1985-12-26,1.7592
1985-12-27,1.76655
1985-12-30,1.78086
1985-12-31,1.78086
1986-01-02,1.7592
1986-01-03,1.7592
1986-01-06,1.7592
1986-01-07,1.78821
1986-01-08,1.75224
1986-01-09,1.71637
1986-01-10,1.73078
1986-01-13,1.75224
1986-01-14,1.7592
1986-01-15,1.73078
1986-01-16,1.73078
1986-01-17,1.71637
1986-01-20,1.74519
1986-01-21,1.73078
1986-01-22,1.68736
1986-01-23,1.70912
1986-01-24,1.69491
1986-01-27,1.69491
1986-01-28,1.7592
1986-01-29,1.74519
1986-01-30,1.78821
1986-01-31,1.82388
1986-02-03,1.83839
1986-02-04,1.83123
1986-02-05,1.84574
1986-02-06,1.85985
1986-02-07,1.80947
1986-02-10,1.75224
1986-02-11,1.71637
1986-02-12,1.69491
1986-02-13,1.75224
1986-02-14,1.61592
1986-02-18,1.6658
1986-02-19,1.62287
1986-02-20,1.63022
1986-02-21,1.65884
1986-02-24,1.69491
1986-02-25,1.6802
1986-02-26,1.65179
1986-02-27,1.68736
1986-02-28,1.69491
1986-03-03,1.68736
1986-03-04,1.68736
1986-03-05,1.67295
1986-03-06,1.67295
1986-03-07,1.69491
1986-03-10,1.71637
1986-03-11,1.76655
1986-03-12,1.7592
1986-03-13,1.78821
1986-03-14,1.83839
1986-03-17,1.81683
1986-03-18,1.80947
1986-03-19,1.81683
1986-03-20,1.83839
1986-03-21,1.8526
1986-03-24,1.88161
1986-03-25,1.91042
1986-03-26,1.94619
1986-03-27,1.95295
1986-03-31,1.95295
1986-04-01,1.90287
1986-04-02,1.92443
1986-04-03,1.90287
1986-04-04,1.82388
1986-04-07,1.83839
1986-04-08,1.89592
1986-04-09,1.98932
1986-04-10,2.08957
1986-04-11,2.11123
1986-04-14,2.09702
1986-04-15,2.08252
1986-04-16,2.13279
1986-04-17,2.19728
1986-04-18,2.24011
1986-04-21,2.27657
1986-04-22,2.30519
1986-04-23,2.26892
1986-04-24,2.32665
1986-04-25,2.34106
1986-04-28,2.32665
1986-04-29,2.29058
1986-04-30,2.24776
1986-05-01,2.20463
1986-05-02,2.20463
1986-05-05,2.24011
1986-05-06,2.24011
1986-05-07,2.23335
1986-05-08,2.21894
1986-05-09,2.21179
1986-05-12,2.19728
1986-05-13,2.19728
1986-05-14,2.27657
1986-05-15,2.24011
1986-05-16,2.24011
1986-05-19,2.23335
1986-05-20,2.26236
1986-05-21,2.30519
1986-05-22,2.36252
1986-05-23,2.37693
1986-05-27,2.40534
1986-05-28,2.39849
1986-05-29,2.39849
1986-05-30,2.34106
1986-06-02,2.27657
1986-06-03,2.29813
1986-06-04,2.32665
1986-06-05,2.38428
1986-06-06,2.44867
1986-06-09,2.37693
1986-06-10,2.334
1986-06-11,2.334
1986-06-12,2.334
1986-06-13,2.40534
1986-06-16,2.39849
1986-06-17,2.38428
1986-06-18,2.39143
1986-06-19,2.34811
1986-06-20,2.41309
1986-06-23,2.43426
1986-06-24,2.47778
1986-06-25,2.49199
1986-06-26,2.49199
1986-06-27,2.49199
1986-06-30,2.49199
1986-07-01,2.47778
1986-07-02,2.49874
1986-07-03,2.46307
1986-07-07,2.34106
1986-07-08,2.26892
1986-07-09,2.29058
1986-07-10,2.30519
1986-07-11,2.29058
1986-07-14,2.25451
1986-07-15,2.26892
1986-07-16,2.27657
1986-07-17,2.30519
1986-07-18,2.31214
