Date,JPM.US
1985-10-01,4.11004
1985-10-02,4.16823
1985-10-03,4.183
1985-10-04,4.19737
1985-10-07,4.27023
1985-10-08,4.34249
1985-10-09,4.42991
1985-10-10,4.45906
1985-10-11,4.53221
1985-10-14,4.53221
1985-10-15,4.56076
1985-10-16,4.60457
1985-10-17,4.60457
1985-10-18,4.4883
1985-10-21,4.3865
1985-10-22,4.41544
1985-10-23,4.47373
1985-10-24,4.51744
1985-10-25,4.47373
1985-10-28,4.4883
1985-10-29,4.56076
1985-10-30,4.56076
1985-10-31,4.54648
1985-11-01,4.5903
1985-11-04,4.61914
1985-11-05,4.63371
1985-11-06,4.63371
1985-11-07,4.60457
1985-11-08,4.57563
1985-11-11,4.63371
1985-11-12,4.77932
1985-11-13,4.76485
1985-11-14,4.76485
1985-11-15,4.66305
1985-11-18,4.6919
1985-11-19,4.73571
1985-11-20,4.73571
1985-11-21,4.79399
1985-11-22,4.83731
1985-11-25,4.79399
1985-11-26,4.76485
1985-11-27,4.83731
1985-11-29,4.85208
1985-12-02,4.83731
1985-12-03,4.88093
1985-12-04,4.92484
1985-12-05,5.12873
1985-12-06,5.11416
1985-12-09,5.21586
1985-12-10,5.26651
1985-12-11,5.29536
1985-12-12,5.26651
1985-12-13,5.35414
1985-12-16,5.45584
1985-12-17,5.44117
1985-12-18,5.41193
1985-12-19,5.33947
1985-12-20,5.35414
1985-12-23,5.28109
1985-12-24,5.18652
1985-12-26,5.23014
1985-12-27,5.33947
1985-12-30,5.45584
1985-12-31,5.38308
1986-01-02,5.44117
1986-01-03,5.47021
1986-01-06,5.60155
1986-01-07,5.78334
1986-01-08,5.57231
1986-01-09,5.35414
1986-01-10,5.35414
1986-01-13,5.36881
1986-01-14,5.39765
1986-01-15,5.45584
1986-01-16,5.49965
1986-01-17,5.49965
1986-01-20,5.47021
1986-01-21,5.25194
1986-01-22,4.98272
1986-01-23,4.93921
1986-01-24,5.04111
1986-01-27,4.99739
1986-01-28,5.17185
1986-01-29,5.26651
1986-01-30,5.20129
1986-01-31,5.25194
1986-02-03,5.31033
1986-02-04,5.0991
1986-02-05,4.93921
1986-02-06,5.02634
1986-02-07,5.04111
1986-02-10,5.08472
1986-02-11,5.07015
1986-02-12,5.12873
1986-02-13,5.25194
1986-02-14,5.31033
1986-02-18,5.41193
1986-02-19,5.29536
1986-02-20,5.36881
1986-02-21,5.26651
1986-02-24,5.26651
1986-02-25,5.23014
1986-02-26,5.28109
1986-02-27,5.63753
1986-02-28,5.69582
1986-03-03,5.60155
1986-03-04,5.61582
1986-03-05,5.55754
1986-03-06,5.63753
1986-03-07,5.87027
1986-03-10,6.00895
1986-03-11,6.20511
1986-03-12,6.30661
1986-03-13,6.13226
1986-03-14,6.27797
1986-03-17,6.17597
1986-03-18,6.13226
1986-03-19,6.20511
1986-03-20,6.29214
1986-03-21,6.30661
1986-03-24,6.3868
1986-03-25,6.40157
1986-03-26,6.56879
1986-03-27,6.64145
1986-03-31,6.56879
1986-04-01,6.29214
1986-04-02,6.19054
1986-04-03,6.19054
1986-04-04,6.10282
1986-04-07,6.10282
1986-04-08,6.21968
1986-04-09,6.2633
1986-04-10,6.51794
1986-04-11,6.47433
1986-04-14,6.47433
1986-04-15,6.41575
1986-04-16,6.4889
1986-04-17,6.4889
1986-04-18,6.4889
1986-04-21,6.62688
1986-04-22,6.61221
1986-04-23,6.56879
1986-04-24,6.54669
1986-04-25,6.59823
1986-04-28,6.54669
1986-04-29,6.53271
1986-04-30,6.40157
1986-05-01,6.34329
1986-05-02,6.32119
1986-05-05,6.37213
1986-05-06,6.27797
1986-05-07,6.1615
1986-05-08,6.1615
1986-05-09,6.11769
1986-05-12,6.03799
1986-05-13,5.92152
1986-05-14,6.00895
1986-05-15,5.95027
1986-05-16,5.97971
1986-05-19,5.99408
1986-05-20,6.13226
1986-05-21,6.02342
1986-05-22,6.19054
1986-05-23,6.27797
1986-05-27,6.30661
1986-05-28,6.40157
1986-05-29,6.43032
1986-05-30,6.41575
1986-06-02,6.29214
1986-06-03,6.32119
1986-06-04,6.30661
1986-06-05,6.29214
1986-06-06,6.30661
1986-06-09,6.1615
1986-06-10,6.11769
1986-06-11,6.1615
1986-06-12,6.19054
1986-06-13,6.21968
1986-06-16,6.24873
1986-06-17,6.17597
1986-06-18,6.13226
1986-06-19,6.08151
1986-06-20,6.11769
1986-06-23,6.08151
1986-06-24,6.14663
1986-06-25,6.2852
1986-06-26,6.24873
1986-06-27,6.29997
1986-06-30,6.23425
1986-07-01,6.24873
1986-07-02,6.31425
1986-07-03,6.31425
1986-07-07,6.19054
1986-07-08,6.02342
1986-07-09,6.02342
1986-07-10,6.02342
1986-07-11,5.95027
1986-07-14,5.68848
1986-07-15,5.65964
1986-07-16,5.64497
1986-07-17,5.6301
1986-07-18,5.53583
1986-07-21,5.53583
1986-07-22,5.52136
1986-07-23,5.5504
1986-07-24,5.47755
1986-07-25,5.56478
1986-07-28,5.50649
1986-07-29,5.35414
1986-07-30,5.31033
1986-07-31,5.33947
1986-08-01,5.33947
1986-08-04,5.38308
1986-08-05,5.47755
1986-08-06,5.71792
1986-08-07,5.65964
1986-08-08,5.6301
1986-08-11,5.68848
1986-08-12,5.64497
1986-08-13,5.7319
1986-08-14,5.74687
1986-08-15,5.78334
1986-08-18,5.78334
1986-08-19,5.87027
1986-08-20,5.93579
1986-08-21,5.89951
1986-08-22,5.88504
1986-08-25,5.84133
1986-08-26,5.91419
1986-08-27,5.91419
1986-08-28,5.91419
1986-08-29,5.93579
1986-09-02,5.87027
1986-09-03,5.87027
1986-09-04,5.93579
1986-09-05,5.78334
1986-09-08,5.6301
1986-09-09,5.65964
1986-09-10,5.6301
1986-09-11,5.47755
1986-09-12,5.27405
1986-09-15,5.38308
1986-09-16,5.43413
1986-09-17,5.47755
1986-09-18,5.41193
1986-09-19,5.35414
1986-09-22,5.43413
1986-09-23,5.55754
1986-09-24,5.60155
1986-09-25,5.47755
1986-09-26,5.52136
1986-09-29,5.41193
1986-09-30,5.35414
1986-10-01,5.35414
1986-10-02,5.33947
1986-10-03,5.33947
1986-10-06,5.36881
1986-10-07,5.41193
1986-10-08,5.53583
1986-10-09,5.4485
1986-10-10,5.38308
