Date,KO.US
1985-10-01,1.02212
1985-10-02,1.01497
1985-10-03,1.01884
1985-10-04,1.01497
1985-10-07,1.02212
1985-10-08,1.01497
1985-10-09,1.01497
1985-10-10,1.01884
1985-10-11,1.02529
1985-10-14,1.03264
1985-10-15,1.03592
1985-10-16,1.03592
1985-10-17,1.03959
1985-10-18,1.03592
1985-10-21,1.03264
1985-10-22,1.03592
1985-10-23,1.03959
1985-10-24,1.03959
1985-10-25,1.03959
1985-10-28,1.03959
1985-10-29,1.05001
1985-10-30,1.05359
1985-10-31,1.04316
1985-11-01,1.06064
1985-11-04,1.06391
1985-11-05,1.08486
1985-11-06,1.08873
1985-11-07,1.08873
1985-11-08,1.09926
1985-11-11,1.11316
1985-11-12,1.12368
1985-11-13,1.12696
1985-11-14,1.15505
1985-11-15,1.15505
1985-11-18,1.1624
1985-11-19,1.1624
1985-11-20,1.1624
1985-11-21,1.18653
1985-11-22,1.19725
1985-11-25,1.18653
1985-11-26,1.20767
1985-11-27,1.22505
1985-11-29,1.21443
1985-12-02,1.19725
1985-12-03,1.20063
1985-12-04,1.2181
1985-12-05,1.22872
1985-12-06,1.2181
1985-12-09,1.23567
1985-12-10,1.2463
1985-12-11,1.25682
1985-12-12,1.23567
1985-12-13,1.25682
1985-12-16,1.28482
1985-12-17,1.27062
1985-12-18,1.26357
1985-12-19,1.24987
1985-12-20,1.23567
1985-12-23,1.22505
1985-12-24,1.2181
1985-12-26,1.2181
1985-12-27,1.232
1985-12-30,1.23915
1985-12-31,1.232
1986-01-02,1.21443
1986-01-03,1.2181
1986-01-06,1.2181
1986-01-07,1.23915
1986-01-08,1.20063
1986-01-09,1.1901
1986-01-10,1.18653
1986-01-13,1.16925
1986-01-14,1.16528
1986-01-15,1.16528
1986-01-16,1.16528
1986-01-17,1.17283
1986-01-20,1.15883
1986-01-21,1.1482
1986-01-22,1.12368
1986-01-23,1.15188
1986-01-24,1.16925
1986-01-27,1.16925
1986-01-28,1.1901
1986-01-29,1.21135
1986-01-30,1.2041
1986-01-31,1.22157
1986-02-03,1.23915
1986-02-04,1.24987
1986-02-05,1.2463
1986-02-06,1.24262
1986-02-07,1.23567
1986-02-10,1.24987
1986-02-11,1.24262
1986-02-12,1.232
1986-02-13,1.2463
1986-02-14,1.25305
1986-02-18,1.28482
1986-02-19,1.26029
1986-02-20,1.31609
1986-02-21,1.33714
1986-02-24,1.34081
1986-02-25,1.33714
1986-02-26,1.34766
1986-02-27,1.42103
1986-02-28,1.40376
1986-03-03,1.38261
1986-03-04,1.37189
1986-03-05,1.37933
1986-03-06,1.40723
1986-03-07,1.4389
1986-03-10,1.45608
1986-03-11,1.46323
1986-03-12,1.4947
1986-03-13,1.51912
1986-03-14,1.58614
1986-03-17,1.55427
1986-03-18,1.56102
1986-03-19,1.57145
1986-03-20,1.56797
1986-03-21,1.5089
1986-03-24,1.52955
1986-03-25,1.51585
1986-03-26,1.54385
1986-03-27,1.54742
1986-03-31,1.5368
1986-04-01,1.50175
1986-04-02,1.51585
1986-04-03,1.4808
1986-04-04,1.45975
1986-04-07,1.45608
1986-04-08,1.49818
1986-04-09,1.4666
1986-04-10,1.47385
1986-04-11,1.46323
1986-04-14,1.51585
1986-04-15,1.52637
1986-04-16,1.60272
1986-04-17,1.68046
1986-04-18,1.64889
1986-04-21,1.70796
1986-04-22,1.71531
1986-04-23,1.70796
1986-04-24,1.69098
1986-04-25,1.68364
1986-04-28,1.71531
1986-04-29,1.68046
1986-04-30,1.62774
1986-05-01,1.64889
1986-05-02,1.63092
1986-05-05,1.61364
1986-05-06,1.59647
1986-05-07,1.58614
1986-05-08,1.58912
1986-05-09,1.57532
1986-05-12,1.58912
1986-05-13,1.59974
1986-05-14,1.63479
1986-05-15,1.57532
1986-05-16,1.56102
1986-05-19,1.5368
1986-05-20,1.55427
1986-05-21,1.54385
1986-05-22,1.58912
1986-05-23,1.58187
1986-05-27,1.64521
1986-05-28,1.65574
1986-05-29,1.69436
1986-05-30,1.69098
1986-06-02,1.65574
1986-06-03,1.66984
1986-06-04,1.64889
1986-06-05,1.64889
1986-06-06,1.67321
1986-06-09,1.66269
1986-06-10,1.64889
1986-06-11,1.64144
1986-06-12,1.65187
1986-06-13,1.68046
1986-06-16,1.70796
1986-06-17,1.7433
1986-06-18,1.73616
1986-06-19,1.72921
1986-06-20,1.75006
1986-06-23,1.72921
1986-06-24,1.76773
1986-06-25,1.75393
1986-06-26,1.78193
1986-06-27,1.77468
1986-06-30,1.83107
1986-07-01,1.86949
1986-07-02,1.92181
1986-07-03,1.90424
1986-07-07,1.79235
1986-07-08,1.7713
1986-07-09,1.81667
1986-07-10,1.7991
1986-07-11,1.81667
1986-07-14,1.7573
1986-07-15,1.76773
1986-07-16,1.81667
1986-07-17,1.77805
1986-07-18,1.79235
1986-07-21,1.76773
1986-07-22,1.79235
1986-07-23,1.77805
1986-07-24,1.7573
1986-07-25,1.78193
1986-07-28,1.75006
1986-07-29,1.70151
1986-07-30,1.73268
1986-07-31,1.71183
1986-08-01,1.67321
1986-08-04,1.70151
1986-08-05,1.66269
1986-08-06,1.66984
1986-08-07,1.66269
1986-08-08,1.64521
1986-08-11,1.70796
1986-08-12,1.72236
1986-08-13,1.73963
1986-08-14,1.70796
1986-08-15,1.71868
1986-08-18,1.69098
1986-08-19,1.66269
1986-08-20,1.71183
1986-08-21,1.69436
1986-08-22,1.69098
1986-08-25,1.66984
1986-08-26,1.70796
1986-08-27,1.67321
1986-08-28,1.63092
1986-08-29,1.65931
1986-09-02,1.59647
1986-09-03,1.60272
1986-09-04,1.60272
1986-09-05,1.54742
1986-09-08,1.60699
1986-09-09,1.64144
1986-09-10,1.63092
1986-09-11,1.51912
1986-09-12,1.49818
1986-09-15,1.48775
1986-09-16,1.48428
1986-09-17,1.47723
1986-09-18,1.47723
1986-09-19,1.44218
1986-09-22,1.47028
1986-09-23,1.50522
1986-09-24,1.53332
1986-09-25,1.48775
1986-09-26,1.48775
1986-09-29,1.45975
1986-09-30,1.48428
1986-10-01,1.4947
1986-10-02,1.53332
1986-10-03,1.5089
1986-10-06,1.55427
1986-10-07,1.51912
1986-10-08,1.55427
1986-10-09,1.55755
1986-10-10,1.57145
1986-10-13,1.5647
1986-10-14,1.55755
1986-10-15,1.63092
1986-10-16,1.70796
1986-10-17,1.68046
1986-10-20,1.65187
1986-10-21,1.64521
1986-10-22,1.65187
1986-10-23,1.68364
1986-10-24,1.64521
1986-10-27,1.65931
1986-10-28,1.62426
1986-10-29,1.60699
1986-10-30,1.62426
1986-10-31,1.60272
1986-11-03,1.62426
1986-11-04,1.60699
1986-11-05,1.60699
1986-11-06,1.62426
1986-11-07,1.59647
1986-11-10,1.60272
1986-11-11,1.61731
1986-11-12,1.63479
1986-11-13,1.5923
1986-11-14,1.61364
1986-11-17,1.5923
1986-11-18,1.55427
1986-11-19,1.54742
1986-11-20,1.58614
1986-11-21,1.5923
1986-11-24,1.57145
1986-11-25,1.55755
1986-11-26,1.58187
1986-11-28,1.59647
1986-12-01,1.57145
1986-12-02,1.63092
1986-12-03,1.65931
1986-12-04,1.68364
1986-12-05,1.66984
1986-12-08,1.66269
1986-12-09,1.69098
1986-12-10,1.70796
1986-12-11,1.67321
1986-12-12,1.65931
1986-12-15,1.66269
1986-12-16,1.70796
1986-12-17,1.68364
1986-12-18,1.68046
1986-12-19,1.71868
1986-12-22,1.72921
1986-12-23,1.72921
1986-12-24,1.72236
1986-12-26,1.69436
1986-12-29,1.66269
1986-12-30,1.68046
1986-12-31,1.65187
1987-01-02,1.66984
1987-01-05,1.71868
1987-01-06,1.70796
1987-01-07,1.71183
1987-01-08,1.69098
1987-01-09,1.67321
1987-01-12,1.68364
1987-01-13,1.66984
1987-01-14,1.68364
1987-01-15,1.75006
1987-01-16,1.78193
1987-01-19,1.82055
1987-01-20,1.79235
1987-01-21,1.79235
1987-01-22,1.85897
1987-01-23,1.83435
