Date,LE.F
1985-10-01,57.47
1985-10-02,58.2
1985-10-03,59.7
1985-10-04,60.27
1985-10-07,60.27
1985-10-08,61.77
1985-10-09,61.32
1985-10-10,61.4
1985-10-11,62.32
1985-10-14,62.95
1985-10-15,61.45
1985-10-16,61.85
1985-10-17,61.8
1985-10-18,61.92
1985-10-21,65.1
1985-10-22,65.87
1985-10-23,65.62
1985-10-24,65.42
1985-10-25,65.3
1985-10-28,64.45
1985-10-29,63.67
1985-10-30,65.17
1985-10-31,66.25
1985-11-01,67.25
1985-11-04,67.07
1985-11-05,67.17
1985-11-06,66.8
1985-11-07,67.05
1985-11-08,66.8
1985-11-11,66.87
1985-11-12,66.5
1985-11-13,65.45
1985-11-14,65.47
1985-11-15,64.62
1985-11-18,65.45
1985-11-19,65.9
1985-11-20,66.37
1985-11-21,67.15
1985-11-22,66.9
1985-11-25,66.97
1985-11-26,67.52
1985-11-27,68.2
1985-11-29,68.87
1985-12-02,69.0
1985-12-03,67.67
1985-12-04,66.85
1985-12-05,67.42
1985-12-06,65.92
1985-12-09,66.65
1985-12-10,65.67
1985-12-11,65.35
1985-12-12,65.82
1985-12-13,66.7
1985-12-16,65.2
1985-12-17,64.65
1985-12-18,64.07
1985-12-19,64.7
1985-12-20,64.47
1985-12-23,60.92
1985-12-24,62.42
1985-12-26,62.9
1985-12-27,62.02
1985-12-30,61.1
1985-12-31,61.15
1986-01-02,59.65
1986-01-03,58.72
1986-01-06,58.47
1986-01-07,58.8
1986-01-08,57.3
1986-01-09,57.82
1986-01-10,59.27
1986-01-13,58.45
1986-01-14,57.95
1986-01-15,58.57
1986-01-16,57.72
1986-01-17,57.75
1986-01-20,59.25
1986-01-21,58.5
1986-01-22,58.75
1986-01-23,60.0
1986-01-24,60.22
1986-01-27,60.4
1986-01-28,59.82
1986-01-29,59.1
1986-01-30,58.25
1986-01-31,58.1
1986-02-03,58.15
1986-02-04,57.45
1986-02-05,57.87
1986-02-06,57.57
1986-02-07,58.62
1986-02-10,57.77
1986-02-11,56.4
1986-02-12,56.42
1986-02-13,56.45
1986-02-14,57.1
1986-02-18,55.82
1986-02-19,56.6
1986-02-20,57.42
1986-02-21,60.7
1986-02-24,60.87
1986-02-25,62.37
1986-02-26,62.22
1986-02-27,61.32
1986-02-28,61.37
1986-03-03,60.27
1986-03-04,60.82
1986-03-05,60.7
1986-03-06,60.4
1986-03-07,59.45
1986-03-10,60.1
1986-03-11,58.6
1986-03-12,58.47
1986-03-13,58.52
1986-03-14,58.75
1986-03-17,57.8
1986-03-18,57.2
1986-03-19,57.7
1986-03-20,58.17
1986-03-21,58.82
1986-03-24,58.1
1986-03-25,59.3
