Date,MCD.US
1985-10-01,2.59592
1985-10-02,2.58841
1985-10-03,2.58841
1985-10-04,2.56705
1985-10-07,2.57397
1985-10-08,2.56705
1985-10-09,2.55953
1985-10-10,2.58168
1985-10-11,2.60275
1985-10-14,2.6245
1985-10-15,2.59592
1985-10-16,2.60275
1985-10-17,2.59592
1985-10-18,2.53817
1985-10-21,2.50226
1985-10-22,2.53817
1985-10-23,2.59592
1985-10-24,2.60275
1985-10-25,2.58168
1985-10-28,2.57397
1985-10-29,2.64607
1985-10-30,2.65329
1985-10-31,2.64607
1985-11-01,2.73953
1985-11-04,2.73231
1985-11-05,2.77534
1985-11-06,2.81144
1985-11-07,2.81144
1985-11-08,2.79008
1985-11-11,2.81144
1985-11-12,2.85456
1985-11-13,2.86911
1985-11-14,2.88345
1985-11-15,2.89779
1985-11-18,2.87613
1985-11-19,2.90491
1985-11-20,2.94843
1985-11-21,2.97701
1985-11-22,2.91915
1985-11-25,2.91243
1985-11-26,2.93389
1985-11-27,2.95515
1985-11-29,2.9696
1985-12-02,2.93389
1985-12-03,2.93389
1985-12-04,2.99838
1985-12-05,3.01262
1985-12-06,2.99126
1985-12-09,3.01262
1985-12-10,3.0415
1985-12-11,3.06306
1985-12-12,3.04882
1985-12-13,3.11351
1985-12-16,3.19253
1985-12-17,3.16395
1985-12-18,3.17829
1985-12-19,3.09195
1985-12-20,3.15653
1985-12-23,3.13507
1985-12-24,3.11351
1985-12-26,3.08482
1985-12-27,3.14229
1985-12-30,3.17117
1985-12-31,3.20698
1986-01-02,3.14229
1986-01-03,3.11351
1986-01-06,3.09195
1986-01-07,3.12043
1986-01-08,3.01262
1986-01-09,2.99838
1986-01-10,2.94081
1986-01-13,2.93389
1986-01-14,2.92657
1986-01-15,2.98414
1986-01-16,3.01262
1986-01-17,3.0415
1986-01-20,2.99838
1986-01-21,2.95515
1986-01-22,2.90491
1986-01-23,2.91243
1986-01-24,2.9696
1986-01-27,3.0059
1986-01-28,3.08482
1986-01-29,3.13507
1986-01-30,3.09877
1986-01-31,3.17117
1986-02-03,3.22132
1986-02-04,3.2142
1986-02-05,3.20698
1986-02-06,3.24288
1986-02-07,3.25712
1986-02-10,3.22844
1986-02-11,3.23586
1986-02-12,3.25
1986-02-13,3.22132
1986-02-14,3.22844
1986-02-18,3.33635
1986-02-19,3.37265
1986-02-20,3.36503
1986-02-21,3.43704
1986-02-24,3.4587
1986-02-25,3.42992
1986-02-26,3.48738
1986-02-27,3.50914
1986-02-28,3.54485
1986-03-03,3.50914
1986-03-04,3.52318
1986-03-05,3.5305
