Date,MMM.US
1985-10-01,4.32721
1985-10-02,4.2985
1985-10-03,4.30575
1985-10-04,4.29105
1985-10-07,4.2985
1985-10-08,4.29105
1985-10-09,4.30575
1985-10-10,4.2985
1985-10-11,4.30575
1985-10-14,4.38483
1985-10-15,4.32721
1985-10-16,4.42139
1985-10-17,4.43589
1985-10-18,4.43589
1985-10-21,4.40708
1985-10-22,4.38483
1985-10-23,4.36337
1985-10-24,4.37063
1985-10-25,4.35631
1985-10-28,4.36337
1985-10-29,4.35631
1985-10-30,4.36337
1985-10-31,4.37778
1985-11-01,4.45029
1985-11-04,4.45735
1985-11-05,4.50066
1985-11-06,4.53682
1985-11-07,4.49351
1985-11-08,4.49351
1985-11-11,4.55142
1985-11-12,4.56564
1985-11-13,4.57298
1985-11-14,4.59464
1985-11-15,4.54398
1985-11-18,4.55142
1985-11-19,4.55142
1985-11-20,4.56564
1985-11-21,4.68127
1985-11-22,4.72467
1985-11-25,4.68842
1985-11-26,4.69587
1985-11-27,4.80395
1985-11-29,4.80395
1985-12-02,4.78984
1985-12-03,4.81875
1985-12-04,4.89793
1985-12-05,4.87647
1985-12-06,4.84756
1985-12-09,4.963
1985-12-10,5.06423
1985-12-11,5.08579
1985-12-12,5.05668
1985-12-13,5.04992
1985-12-16,5.12195
1985-12-17,5.1584
1985-12-18,5.06423
1985-12-19,5.12909
1985-12-20,5.14389
1985-12-23,5.13655
1985-12-24,5.12195
1985-12-26,5.12909
1985-12-27,5.16526
1985-12-30,5.13655
1985-12-31,5.10735
1986-01-02,5.04992
1986-01-03,5.03541
1986-01-06,5.02787
1986-01-07,5.15065
1986-01-08,5.04992
1986-01-09,5.03541
1986-01-10,5.02787
1986-01-13,4.99926
1986-01-14,5.00631
1986-01-15,5.07873
1986-01-16,5.20857
1986-01-17,5.14389
1986-01-20,5.13655
1986-01-21,5.07873
1986-01-22,5.07873
1986-01-23,5.00631
1986-01-24,4.93418
1986-01-27,4.92684
1986-01-28,4.98485
1986-01-29,5.06423
1986-01-30,5.05668
1986-01-31,5.17241
1986-02-03,5.23758
1986-02-04,5.23758
1986-02-05,5.2953
1986-02-06,5.33851
1986-02-07,5.39662
1986-02-10,5.41083
1986-02-11,5.41083
1986-02-12,5.46159
1986-02-13,5.51891
1986-02-14,5.56272
1986-02-18,5.64934
1986-02-19,5.64934
1986-02-20,5.6566
1986-02-21,5.6711
1986-02-24,5.6276
1986-02-25,5.60594
1986-02-26,5.49775
1986-02-27,5.59134
1986-02-28,5.67816
1986-03-03,5.61319
1986-03-04,5.57693
1986-03-05,5.55547
1986-03-06,5.53352
1986-03-07,5.56272
1986-03-10,5.62044
1986-03-11,5.82975
1986-03-12,5.80839
1986-03-13,5.83721
1986-03-14,5.9742
1986-03-17,5.87345
1986-03-18,5.93098
1986-03-19,5.9742
1986-03-20,6.11168
1986-03-21,6.0034
1986-03-24,5.9888
1986-03-25,5.96753
1986-03-26,6.14049
1986-03-27,6.11168
1986-03-31,6.0469
1986-04-01,5.84435
1986-04-02,5.87345
1986-04-03,5.75067
1986-04-04,5.75067
1986-04-07,5.64934
1986-04-08,5.69266
1986-04-09,5.63484
1986-04-10,5.62044
1986-04-11,5.6276
1986-04-14,5.71442
1986-04-15,5.71442
1986-04-16,5.84435
1986-04-17,5.90227
1986-04-18,5.93098
1986-04-21,6.0469
1986-04-22,5.91667
1986-04-23,5.91667
1986-04-24,5.86611
1986-04-25,5.9888
1986-04-28,6.10462
1986-04-29,6.07572
1986-04-30,6.0179
1986-05-01,5.9742
1986-05-02,5.85876
1986-05-05,5.90962
1986-05-06,5.88061
1986-05-07,5.81535
1986-05-08,5.79399
1986-05-09,5.82299
1986-05-12,5.75067
1986-05-13,5.71442
1986-05-14,5.87345
1986-05-15,5.78673
1986-05-16,5.72176
1986-05-19,5.71442
1986-05-20,5.80104
1986-05-21,5.71442
1986-05-22,5.90227
1986-05-23,5.98174
1986-05-27,6.08278
1986-05-28,6.11893
1986-05-29,6.11893
1986-05-30,6.18391
1986-06-02,6.08973
1986-06-03,6.14784
1986-06-04,6.11168
1986-06-05,6.22721
1986-06-06,6.27797
1986-06-09,6.17665
1986-06-10,6.20585
1986-06-11,6.19115
1986-06-12,6.19851
1986-06-13,6.24172
1986-06-16,6.30649
1986-06-17,6.29238
1986-06-18,6.45848
1986-06-19,6.34285
1986-06-20,6.38626
1986-06-23,6.32844
1986-06-24,6.41526
1986-06-25,6.44388
1986-06-26,6.47269
1986-06-27,6.55961
1986-06-30,6.59567
1986-07-01,6.65359
1986-07-02,6.61037
1986-07-03,6.54491
1986-07-07,6.28513
1986-07-08,6.24172
1986-07-09,6.32844
1986-07-10,6.24907
1986-07-11,6.22721
1986-07-14,6.17665
1986-07-15,6.13354
1986-07-16,6.15519
1986-07-17,6.17665
1986-07-18,6.20585
1986-07-21,6.32844
1986-07-22,6.41526
1986-07-23,6.39332
1986-07-24,6.42212
1986-07-25,6.48729
1986-07-28,6.37156
1986-07-29,6.40782
1986-07-30,6.45142
1986-07-31,6.43692
1986-08-01,6.37156
1986-08-04,6.43692
1986-08-05,6.3355
1986-08-06,6.3646
1986-08-07,6.32129
1986-08-08,6.29238
1986-08-11,6.3503
1986-08-12,6.44388
1986-08-13,6.49435
1986-08-14,6.47269
1986-08-15,6.44388
1986-08-18,6.45848
1986-08-19,6.40782
1986-08-20,6.51659
1986-08-21,6.58147
1986-08-22,6.61037
1986-08-25,6.50189
1986-08-26,6.58861
1986-08-27,6.59567
1986-08-28,6.58861
1986-08-29,6.57411
1986-09-02,6.43692
1986-09-03,6.50189
1986-09-04,6.58147
1986-09-05,6.55255
1986-09-08,6.66789
1986-09-09,6.7115
1986-09-10,6.68965
1986-09-11,6.35716
1986-09-12,6.16215
1986-09-15,6.11893
1986-09-16,6.10462
1986-09-17,6.06856
1986-09-18,6.06856
1986-09-19,5.90962
1986-09-22,6.02496
1986-09-23,6.0179
1986-09-24,6.0469
1986-09-25,6.0034
1986-09-26,5.98174
1986-09-29,5.82975
1986-09-30,5.88061
1986-10-01,5.93098
1986-10-02,5.93098
1986-10-03,5.87345
1986-10-06,5.88777
1986-10-07,5.84435
1986-10-08,5.88777
1986-10-09,5.93843
1986-10-10,5.98174
1986-10-13,6.03926
1986-10-14,6.03926
1986-10-15,6.27063
1986-10-16,6.27797
1986-10-17,6.28513
1986-10-20,6.14049
1986-10-21,6.13354
1986-10-22,6.14784
1986-10-23,6.34285
1986-10-24,6.31384
1986-10-27,6.38626
1986-10-28,6.42958
