Date,MRK.US
1985-10-01,1.46283
1985-10-02,1.44249
1985-10-03,1.43545
1985-10-04,1.43545
1985-10-07,1.45588
1985-10-08,1.47622
1985-10-09,1.46918
1985-10-10,1.46283
1985-10-11,1.47622
1985-10-14,1.47622
1985-10-15,1.47622
1985-10-16,1.52323
1985-10-17,1.53682
1985-10-18,1.53047
1985-10-21,1.51698
1985-10-22,1.52323
1985-10-23,1.52323
1985-10-24,1.51698
1985-10-25,1.51004
1985-10-28,1.51004
1985-10-29,1.53047
1985-10-30,1.55735
1985-10-31,1.57084
1985-11-01,1.58463
1985-11-04,1.61816
1985-11-05,1.61141
1985-11-06,1.59822
1985-11-07,1.58463
1985-11-08,1.60477
1985-11-11,1.64543
1985-11-12,1.65218
1985-11-13,1.63194
1985-11-14,1.63889
1985-11-15,1.64543
1985-11-18,1.63889
1985-11-19,1.63889
1985-11-20,1.63194
1985-11-21,1.67916
1985-11-22,1.69294
1985-11-25,1.69294
1985-11-26,1.70643
1985-11-27,1.76059
1985-11-29,1.75375
1985-12-02,1.74036
1985-12-03,1.7467
1985-12-04,1.76744
1985-12-05,1.77408
1985-12-06,1.76059
1985-12-09,1.78767
1985-12-10,1.79422
1985-12-11,1.82149
1985-12-12,1.80116
1985-12-13,1.82149
1985-12-16,1.85561
1985-12-17,1.83488
1985-12-18,1.82844
1985-12-19,1.83488
1985-12-20,1.82844
1985-12-23,1.80116
1985-12-24,1.79422
1985-12-26,1.808
1985-12-27,1.84193
1985-12-30,1.84837
1985-12-31,1.85561
1986-01-02,1.86871
1986-01-03,1.90283
1986-01-06,1.90957
1986-01-07,1.91612
1986-01-08,1.88249
1986-01-09,1.84837
1986-01-10,1.83488
1986-01-13,1.85561
1986-01-14,1.85561
1986-01-15,1.85561
1986-01-16,1.86236
1986-01-17,1.85561
1986-01-20,1.86871
1986-01-21,1.86236
1986-01-22,1.84837
1986-01-23,1.84837
1986-01-24,1.83488
1986-01-27,1.84193
1986-01-28,1.84837
1986-01-29,1.84193
1986-01-30,1.83488
1986-01-31,1.86871
1986-02-03,1.90957
1986-02-04,1.94389
1986-02-05,1.93635
1986-02-06,1.92296
1986-02-07,1.92991
1986-02-10,1.94389
1986-02-11,1.94389
1986-02-12,1.94389
1986-02-13,1.95004
1986-02-14,1.95004
1986-02-18,1.99785
1986-02-19,2.0044
1986-02-20,2.03812
1986-02-21,2.07204
1986-02-24,2.05171
1986-02-25,2.04516
1986-02-26,2.04516
1986-02-27,2.07879
1986-02-28,2.05865
1986-03-03,2.03812
1986-03-04,2.02503
1986-03-05,2.0044
1986-03-06,2.01134
1986-03-07,2.05865
1986-03-10,2.05865
1986-03-11,2.09228
1986-03-12,2.11936
1986-03-13,2.11271
1986-03-14,2.20724
1986-03-17,2.17321
1986-03-18,2.18016
1986-03-19,2.20089
1986-03-20,2.26834
1986-03-21,2.20089
1986-03-24,2.18016
1986-03-25,2.20089
1986-03-26,2.28867
1986-03-27,2.31585
1986-03-31,2.37695
1986-04-01,2.39708
1986-04-02,2.38379
1986-04-03,2.32944
1986-04-04,2.2483
1986-04-07,2.23431
1986-04-08,2.25475
1986-04-09,2.23431
1986-04-10,2.26159
1986-04-11,2.26834
1986-04-14,2.32289
1986-04-15,2.36356
1986-04-16,2.431
1986-04-17,2.44469
1986-04-18,2.45798
1986-04-21,2.46483
1986-04-22,2.41077
1986-04-23,2.41077
1986-04-24,2.42426
1986-04-25,2.40403
1986-04-28,2.43795
1986-04-29,2.41742
1986-04-30,2.3699
1986-05-01,2.32944
1986-05-02,2.34927
1986-05-05,2.39708
1986-05-06,2.42426
1986-05-07,2.431
1986-05-08,2.43795
1986-05-09,2.45798
1986-05-12,2.44469
1986-05-13,2.48506
1986-05-14,2.55955
1986-05-15,2.5054
1986-05-16,2.48506
1986-05-19,2.47832
1986-05-20,2.5054
1986-05-21,2.52583
1986-05-22,2.54596
1986-05-23,2.5661
1986-05-27,2.66816
1986-05-28,2.72897
1986-05-29,2.70893
1986-05-30,2.63414
1986-06-02,2.58663
1986-06-03,2.64069
1986-06-04,2.64793
1986-06-05,2.67451
1986-06-06,2.70159
1986-06-09,2.64069
1986-06-10,2.64069
1986-06-11,2.63414
1986-06-12,2.59338
1986-06-13,2.70159
1986-06-16,2.72212
1986-06-17,2.74236
1986-06-18,2.80336
1986-06-19,2.79017
1986-06-20,2.8101
1986-06-23,2.79631
1986-06-24,2.79631
1986-06-25,2.79017
1986-06-26,2.80336
1986-06-27,2.83738
1986-06-30,2.86426
1986-07-01,2.89828
1986-07-02,2.89154
1986-07-03,2.84402
1986-07-07,2.77648
1986-07-08,2.72897
1986-07-09,2.72897
1986-07-10,2.73561
1986-07-11,2.75595
1986-07-14,2.70159
1986-07-15,2.70893
1986-07-16,2.70893
1986-07-17,2.79017
1986-07-18,2.79631
1986-07-21,2.76943
1986-07-22,2.90483
1986-07-23,2.85751
1986-07-24,2.85077
1986-07-25,2.85077
1986-07-28,2.82369
1986-07-29,2.83044
1986-07-30,2.88489
1986-07-31,2.91822
1986-08-01,2.95908
1986-08-04,2.93191
1986-08-05,2.94579
1986-08-06,2.96612
1986-08-07,2.96612
1986-08-08,2.92516
1986-08-11,2.9932
1986-08-12,3.02028
1986-08-13,3.08108
1986-08-14,3.12195
1986-08-15,3.16202
1986-08-18,3.1895
1986-08-19,3.16906
1986-08-20,3.11481
1986-08-21,3.10132
1986-08-22,3.10816
1986-08-25,3.05391
1986-08-26,3.08763
1986-08-27,3.06759
1986-08-28,3.12195
1986-08-29,3.16906
1986-09-02,3.05391
1986-09-03,3.08763
1986-09-04,3.1284
1986-09-05,3.04032
1986-09-08,2.89154
1986-09-09,2.8713
1986-09-10,2.88489
1986-09-11,2.7497
1986-09-12,2.70893
1986-09-15,2.73561
1986-09-16,2.7497
1986-09-17,2.70159
1986-09-18,2.72897
1986-09-19,2.6882
1986-09-22,2.69524
1986-09-23,2.7497
1986-09-24,2.83044
1986-09-25,2.74236
1986-09-26,2.73561
1986-09-29,2.73561
1986-09-30,2.71538
1986-10-01,2.76269
1986-10-02,2.77648
1986-10-03,2.7497
1986-10-06,2.79017
1986-10-07,2.8101
1986-10-08,2.81675
1986-10-09,2.85077
1986-10-10,2.81675
1986-10-13,2.81675
1986-10-14,2.84402
1986-10-15,2.93855
1986-10-16,2.98626
1986-10-17,3.01334
1986-10-20,2.96612
1986-10-21,2.94579
1986-10-22,2.97227
1986-10-23,3.02028
1986-10-24,3.00649
1986-10-27,2.95908
1986-10-28,2.95908
1986-10-29,2.96612
1986-10-30,3.02028
1986-10-31,2.9932
1986-11-03,3.03367
1986-11-04,3.03367
1986-11-05,3.02028
1986-11-06,2.9932
1986-11-07,2.95908
1986-11-10,2.94579
1986-11-11,2.95224
1986-11-12,2.95224
1986-11-13,2.91187
1986-11-14,2.89154
1986-11-17,2.88489
1986-11-18,2.88489
1986-11-19,2.79631
1986-11-20,2.91822
1986-11-21,3.04032
1986-11-24,3.04032
1986-11-25,3.05391
1986-11-26,3.05391
1986-11-28,3.04706
1986-12-01,3.05391
1986-12-02,3.18236
1986-12-03,3.15548
1986-12-04,3.17601
1986-12-05,3.16202
1986-12-08,3.16202
1986-12-09,3.15548
1986-12-10,3.1895
1986-12-11,3.13504
1986-12-12,3.10132
1986-12-15,3.1284
1986-12-16,3.16906
1986-12-17,3.13504
1986-12-18,3.1284
1986-12-19,3.23721
1986-12-22,3.26349
1986-12-23,3.31804
1986-12-24,3.41277
1986-12-26,3.58903
1986-12-29,3.46028
1986-12-30,3.4942
1986-12-31,3.4329
1987-01-02,3.48706
1987-01-05,3.5685
1987-01-06,3.52803
1987-01-07,3.54132
1987-01-08,3.58903
1987-01-09,3.57534
1987-01-12,3.52803
1987-01-13,3.50085
1987-01-14,3.53467
1987-01-15,3.67671
1987-01-16,3.76489
1987-01-19,3.77193
1987-01-20,3.68405
1987-01-21,3.69704
1987-01-22,3.78532
1987-01-23,3.71758
1987-01-26,3.71073
1987-01-27,3.79197
1987-01-28,3.8734
1987-01-29,3.77193
1987-01-30,3.80536
1987-02-02,3.84612
1987-02-03,3.82579
1987-02-04,3.8121
1987-02-05,3.79197
1987-02-06,3.78532
1987-02-09,3.77193
1987-02-10,3.73146
1987-02-11,3.69704
1987-02-12,3.77193
1987-02-13,3.86626
1987-02-17,3.98866
1987-02-18,3.91387
1987-02-19,4.08983
1987-02-20,4.13724
1987-02-23,4.10312
1987-02-24,4.21838
1987-02-25,4.29326
1987-02-26,4.24565
1987-02-27,4.27283
1987-03-02,4.3134
1987-03-03,4.35407
1987-03-04,4.40793
1987-03-05,4.46238
1987-03-06,4.4964
1987-03-09,4.42191
1987-03-10,4.44879
1987-03-11,4.40148
1987-03-12,4.35407
1987-03-13,4.25279
1987-03-16,4.3134
1987-03-17,4.45554
1987-03-18,4.45554
1987-03-19,4.4352
1987-03-20,4.55076
1987-03-23,4.53697
1987-03-24,4.52308
1987-03-25,4.44879
1987-03-26,4.52308
1987-03-27,4.41517
1987-03-30,4.25279
1987-03-31,4.29981
1987-04-01,4.33373
1987-04-02,4.34742
1987-04-03,4.50285
1987-04-06,4.60452
1987-04-07,4.44879
1987-04-08,4.53003
1987-04-09,4.48916
1987-04-10,4.52308
1987-04-13,4.44879
1987-04-14,4.40148
1987-04-15,4.33373
1987-04-16,4.26609
1987-04-20,4.23226
1987-04-21,4.3134
1987-04-22,4.22532
1987-04-23,4.23226
1987-04-24,4.12345
1987-04-27,4.07644
1987-04-28,4.08983
1987-04-29,4.0563
1987-04-30,4.09677
1987-05-01,4.09677
1987-05-04,4.15757
1987-05-05,4.34058
1987-05-06,4.24565
1987-05-07,4.25894
1987-05-08,4.25279
1987-05-11,4.21183
1987-05-12,4.27283
1987-05-13,4.25279
1987-05-14,4.24565
1987-05-15,4.17116
1987-05-18,4.14408
1987-05-19,4.09677
1987-05-20,4.13724
1987-05-21,4.1914
1987-05-22,4.25279
1987-05-26,4.23901
1987-05-27,4.29326
1987-05-28,4.38789
1987-05-29,4.40148
1987-06-01,4.34742
1987-06-02,4.30675
1987-06-03,4.44195
1987-06-04,4.46952
1987-06-05,4.48271
1987-06-08,4.53697
1987-06-09,4.5573
1987-06-10,4.61801
1987-06-11,4.59113
1987-06-12,4.59113
1987-06-15,4.62485
1987-06-16,4.61116
1987-06-17,4.57069
1987-06-18,4.53003
1987-06-19,4.62485
1987-06-22,4.71293
1987-06-23,4.7537
1987-06-24,4.74001
1987-06-25,4.78067
1987-06-26,4.79426
1987-06-29,4.80765
