Date,OJ.F
1985-10-01,132.0
1985-10-02,130.75
1985-10-03,129.15
1985-10-04,129.15
1985-10-07,128.65
1985-10-08,127.55
1985-10-09,124.65
1985-10-10,123.75
1985-10-11,118.75
1985-10-14,114.95
1985-10-15,115.85
1985-10-16,115.75
1985-10-17,116.8
1985-10-18,116.6
1985-10-21,116.8
1985-10-22,117.4
1985-10-23,117.2
1985-10-24,114.0
1985-10-25,114.6
1985-10-28,114.75
1985-10-29,114.5
1985-10-30,115.15
1985-10-31,113.8
1985-11-01,115.2
1985-11-04,116.75
1985-11-05,114.4
1985-11-06,114.8
1985-11-07,114.1
1985-11-08,114.3
1985-11-11,114.5
1985-11-12,114.5
1985-11-13,113.45
1985-11-14,112.95
1985-11-15,113.2
1985-11-18,113.55
1985-11-19,113.25
1985-11-20,113.8
1985-11-21,114.35
1985-11-22,113.9
1985-11-25,113.85
1985-11-26,113.4
1985-11-27,114.0
1985-11-29,113.75
1985-12-02,115.3
1985-12-03,115.4
1985-12-04,115.45
1985-12-05,114.75
1985-12-06,117.65
1985-12-09,119.05
1985-12-10,121.0
1985-12-11,118.4
1985-12-12,119.1
1985-12-13,121.65
1985-12-16,126.65
1985-12-17,122.75
1985-12-18,123.8
1985-12-19,123.3
1985-12-20,119.05
1985-12-23,121.15
1985-12-24,123.9
1985-12-26,118.9
1985-12-27,115.2
1985-12-30,110.2
1985-12-31,106.15
1986-01-02,106.15
1986-01-03,108.1
1986-01-06,110.35
1986-01-07,109.05
1986-01-08,106.9
1986-01-09,103.8
1986-01-10,102.3
1986-01-13,97.4
1986-01-14,97.3
1986-01-15,99.55
1986-01-16,95.6
1986-01-17,95.6
1986-01-20,96.6
1986-01-21,95.4
1986-01-22,94.05
1986-01-23,92.35
1986-01-24,91.45
1986-01-27,96.45
1986-01-28,92.4
1986-01-29,88.35
1986-01-30,89.75
1986-01-31,87.95
1986-02-03,86.2
1986-02-04,86.95
1986-02-05,91.6
1986-02-06,92.2
1986-02-07,91.1
1986-02-10,88.8
1986-02-11,88.35
1986-02-12,87.25
1986-02-13,87.75
1986-02-14,89.15
1986-02-18,86.75
1986-02-19,84.15
1986-02-20,85.05
1986-02-21,85.25
1986-02-24,84.0
1986-02-25,83.8
1986-02-26,84.75
1986-02-27,85.25
1986-02-28,84.3
1986-03-03,82.65
1986-03-04,84.5
1986-03-05,84.4
1986-03-06,85.1
1986-03-07,84.8
1986-03-10,87.15
1986-03-11,88.55
1986-03-12,90.95
1986-03-13,88.3
1986-03-14,88.05
1986-03-17,87.1
1986-03-18,88.9
1986-03-19,88.55
1986-03-20,85.65
1986-03-21,87.55
1986-03-24,89.3
1986-03-25,93.95
1986-03-26,93.4
1986-03-27,93.5
1986-03-31,95.6
1986-04-01,95.0
1986-04-02,95.9
1986-04-03,94.1
1986-04-04,94.5
1986-04-07,95.0
1986-04-08,94.75
1986-04-09,94.7
1986-04-10,93.7
1986-04-11,92.3
1986-04-14,92.3
1986-04-15,93.0
1986-04-16,93.25
1986-04-17,92.55
1986-04-18,92.6
1986-04-21,90.0
1986-04-22,90.85
1986-04-23,91.0
1986-04-24,91.7
1986-04-25,91.8
1986-04-28,91.2
1986-04-29,91.9
1986-04-30,93.45
1986-05-01,93.75
1986-05-02,94.0
1986-05-05,94.2
1986-05-06,94.6
1986-05-07,96.6
1986-05-08,97.5
1986-05-09,96.25
1986-05-12,96.05
1986-05-13,96.95
1986-05-14,98.95
1986-05-15,102.2
1986-05-16,98.05
1986-05-19,99.0
1986-05-20,99.0
1986-05-21,100.7
1986-05-22,99.25
1986-05-23,99.4
1986-05-27,98.8
1986-05-28,100.1
1986-05-29,100.1
1986-05-30,99.85
1986-06-02,98.35
1986-06-03,99.3
1986-06-04,98.6
1986-06-05,98.25
1986-06-06,100.75
1986-06-09,98.85
1986-06-10,100.5
1986-06-11,101.7
1986-06-12,101.5
1986-06-13,101.5
1986-06-16,100.7
1986-06-17,100.7
1986-06-18,103.5
1986-06-19,103.0
1986-06-20,103.75
1986-06-23,105.05
1986-06-24,104.0
1986-06-25,103.65
