Date,PA.F
1985-10-01,100.6
1985-10-02,100.7
1985-10-03,104.2
1985-10-04,103.55
1985-10-07,101.65
1985-10-08,102.3
1985-10-09,102.6
1985-10-10,100.9
1985-10-11,101.15
1985-10-14,101.75
1985-10-15,102.85
1985-10-16,100.1
1985-10-17,102.2
1985-10-18,103.15
1985-10-21,103.0
1985-10-22,103.2
1985-10-23,104.1
1985-10-24,103.5
1985-10-25,105.05
1985-10-28,104.55
1985-10-29,105.6
1985-10-30,103.85
1985-10-31,101.15
1985-11-01,101.45
1985-11-04,102.0
1985-11-05,101.65
1985-11-06,102.35
1985-11-07,97.75
1985-11-08,98.5
1985-11-11,99.25
1985-11-12,102.1
1985-11-13,101.6
1985-11-14,101.8
1985-11-15,100.8
1985-11-18,101.1
1985-11-19,100.7
1985-11-20,101.45
1985-11-21,101.6
1985-11-22,102.8
1985-11-25,107.35
1985-11-26,104.85
1985-11-27,102.25
1985-11-29,
1985-12-02,103.0
1985-12-03,102.85
1985-12-04,103.5
1985-12-05,102.1
1985-12-06,101.5
1985-12-09,96.8
1985-12-10,93.8
1985-12-11,92.35
1985-12-12,94.7
1985-12-13,94.15
1985-12-16,96.35
1985-12-17,94.75
1985-12-18,93.7
1985-12-19,94.0
1985-12-20,94.3
1985-12-23,94.65
1985-12-24,
1985-12-26,94.0
1985-12-27,94.8
1985-12-30,95.6
1985-12-31,95.4
1986-01-02,96.0
1986-01-03,96.05
1986-01-06,98.05
1986-01-07,98.05
1986-01-08,101.5
1986-01-09,103.45
1986-01-10,103.25
1986-01-13,102.2
1986-01-14,102.35
1986-01-15,105.0
1986-01-16,106.65
1986-01-17,104.5
1986-01-20,104.55
1986-01-21,104.75
1986-01-22,104.05
1986-01-23,104.0
1986-01-24,106.35
1986-01-27,106.1
1986-01-28,106.25
1986-01-29,106.8
1986-01-30,106.5
1986-01-31,103.15
1986-02-03,97.15
1986-02-04,94.4
1986-02-05,95.65
1986-02-06,96.9
1986-02-07,98.5
1986-02-10,100.0
1986-02-11,100.0
1986-02-12,99.15
1986-02-13,98.1
1986-02-14,99.95
1986-02-18,104.0
1986-02-19,105.55
1986-02-20,101.3
1986-02-21,104.3
1986-02-24,110.3
1986-02-25,117.3
1986-02-26,111.3
1986-02-27,106.25
1986-02-28,108.65
1986-03-03,107.7
1986-03-04,109.4
1986-03-05,109.15
1986-03-06,108.7
1986-03-07,108.35
1986-03-10,108.25
1986-03-11,108.95
1986-03-12,112.25
1986-03-13,110.15
1986-03-14,110.9
1986-03-17,113.3
1986-03-18,112.6
1986-03-19,113.05
1986-03-20,113.8
1986-03-21,117.15
1986-03-24,112.0
1986-03-25,110.2
1986-03-26,111.2
1986-03-27,113.85
1986-03-31,107.85
1986-04-01,99.45
1986-04-02,104.6
1986-04-03,104.15
1986-04-04,105.7
1986-04-07,107.45
1986-04-08,106.35
1986-04-09,107.05
1986-04-10,106.75
1986-04-11,108.1
1986-04-14,105.15
1986-04-15,105.5
1986-04-16,105.0
1986-04-17,105.75
1986-04-18,108.2
1986-04-21,107.5
1986-04-22,108.8
1986-04-23,109.9
1986-04-24,111.05
1986-04-25,110.3
1986-04-28,109.2
1986-04-29,107.75
1986-04-30,109.35
1986-05-01,106.05
1986-05-02,109.15
1986-05-05,108.9
1986-05-06,108.25
1986-05-07,108.3
1986-05-08,107.85
1986-05-09,108.45
1986-05-12,109.35
1986-05-13,108.0
1986-05-14,107.45
1986-05-15,107.25
1986-05-16,107.6
1986-05-19,105.9
1986-05-20,105.25
1986-05-21,105.05
1986-05-22,110.0
1986-05-23,109.25
1986-05-27,110.0
1986-05-28,108.7
1986-05-29,108.85
1986-05-30,107.45
1986-06-02,108.25
1986-06-03,107.1
1986-06-04,107.55
1986-06-05,108.45
1986-06-06,108.3
1986-06-09,113.35
1986-06-10,110.75
1986-06-11,111.55
1986-06-12,111.85
1986-06-13,112.65
1986-06-16,110.9
1986-06-17,109.55
1986-06-18,110.45
1986-06-19,110.25
1986-06-20,110.6
1986-06-23,110.25
1986-06-24,110.3
1986-06-25,111.25
1986-06-26,109.8
1986-06-27,109.1
1986-06-30,110.4
1986-07-01,109.7
1986-07-02,110.85
1986-07-03,
1986-07-07,110.3
1986-07-08,111.25
1986-07-09,111.8
1986-07-10,111.6
1986-07-11,111.85
1986-07-14,111.25
