Date,PFE.US
1985-10-01,0.920985
1985-10-02,0.888504
1985-10-03,0.888504
1985-10-04,0.882106
1985-10-07,0.862027
1985-10-08,0.862027
1985-10-09,0.855629
1985-10-10,0.842341
1985-10-11,0.862027
1985-10-14,0.855629
1985-10-15,0.855629
1985-10-16,0.862027
1985-10-17,0.848837
1985-10-18,0.835747
1985-10-21,0.848837
1985-10-22,0.842341
1985-10-23,0.848837
1985-10-24,0.848837
1985-10-25,0.842341
1985-10-28,0.848837
1985-10-29,0.848837
1985-10-30,0.862027
1985-10-31,0.862027
1985-11-01,0.888504
1985-11-04,0.888504
1985-11-05,0.908287
1985-11-06,0.901398
1985-11-07,0.901398
1985-11-08,0.914587
1985-11-11,0.927875
1985-11-12,0.941064
1985-11-13,0.941064
1985-11-14,0.941064
1985-11-15,0.941064
1985-11-18,0.95386
1985-11-19,0.947757
1985-11-20,0.95386
1985-11-21,0.974037
1985-11-22,0.95386
1985-11-25,0.95386
1985-11-26,0.98014
1985-11-27,1.00682
1985-11-29,1.0136
1985-12-02,0.987325
1985-12-03,0.987325
1985-12-04,1.02001
1985-12-05,1.00682
1985-12-06,0.98014
1985-12-09,0.993918
1985-12-10,1.00012
1985-12-11,1.0136
1985-12-12,1.02659
1985-12-13,1.05298
1985-12-16,1.03299
1985-12-17,1.00682
1985-12-18,0.993918
1985-12-19,1.00682
1985-12-20,1.00682
1985-12-23,0.947757
1985-12-24,0.947757
1985-12-26,0.95386
1985-12-27,0.960848
1985-12-30,0.95386
1985-12-31,0.960848
1986-01-02,0.947757
1986-01-03,0.95386
1986-01-06,0.95386
1986-01-07,0.987325
1986-01-08,0.974037
1986-01-09,0.947757
1986-01-10,0.927875
1986-01-13,0.941064
1986-01-14,0.934371
1986-01-15,0.920985
1986-01-16,0.941064
1986-01-17,0.947757
1986-01-20,0.927875
1986-01-21,0.901398
1986-01-22,0.894803
1986-01-23,0.894803
1986-01-24,0.888504
1986-01-27,0.908287
1986-01-28,0.947757
1986-01-29,0.941064
1986-01-30,0.908287
1986-01-31,0.920985
1986-02-03,0.934371
1986-02-04,0.934371
1986-02-05,0.934371
1986-02-06,0.934371
1986-02-07,0.95386
1986-02-10,0.960848
1986-02-11,0.974037
1986-02-12,0.960848
1986-02-13,0.960848
1986-02-14,0.987325
1986-02-18,1.00012
1986-02-19,0.993918
1986-02-20,0.993918
1986-02-21,0.993918
1986-02-24,1.00682
1986-02-25,1.00012
1986-02-26,0.987325
1986-02-27,1.00012
1986-02-28,1.05957
1986-03-03,1.05298
1986-03-04,1.03988
1986-03-05,1.00682
1986-03-06,1.0136
1986-03-07,1.03299
1986-03-10,1.05298
1986-03-11,1.08585
