Date,PG.US
1985-10-01,2.45993
1985-10-02,2.47424
1985-10-03,2.46698
1985-10-04,2.48089
1985-10-07,2.48825
1985-10-08,2.4954
1985-10-09,2.50245
1985-10-10,2.51666
1985-10-11,2.50951
1985-10-14,2.53773
1985-10-15,2.50951
1985-10-16,2.59466
1985-10-17,2.58045
1985-10-18,2.58045
1985-10-21,2.58045
1985-10-22,2.5874
1985-10-23,2.62287
1985-10-24,2.6654
1985-10-25,2.67275
1985-10-28,2.72928
1985-10-29,2.7577
1985-10-30,2.81413
1985-10-31,2.79287
1985-11-01,2.82874
1985-11-04,2.84284
1985-11-05,2.93475
1985-11-06,2.90663
1985-11-07,2.89938
1985-11-08,2.90663
1985-11-11,2.97727
1985-11-12,2.93475
1985-11-13,2.90663
1985-11-14,2.91359
1985-11-15,2.88527
1985-11-18,2.89938
1985-11-19,2.90663
1985-11-20,2.90663
1985-11-21,2.95601
1985-11-22,2.95601
1985-11-25,2.93475
1985-11-26,2.95601
1985-11-27,2.9421
1985-11-29,2.95601
1985-12-02,2.96326
1985-12-03,2.97022
1985-12-04,2.94906
1985-12-05,2.94906
1985-12-06,2.95601
1985-12-09,3.0339
1985-12-10,3.07683
1985-12-11,3.13296
1985-12-12,3.04861
1985-12-13,3.10504
1985-12-16,3.10504
1985-12-17,3.05517
1985-12-18,3.08338
1985-12-19,3.08338
1985-12-20,3.09799
1985-12-23,3.07683
1985-12-24,3.04106
1985-12-26,3.06232
1985-12-27,3.06977
1985-12-30,3.11915
1985-12-31,3.07683
1986-01-02,3.05517
1986-01-03,3.07683
1986-01-06,3.05517
1986-01-07,3.04106
1986-01-08,2.93475
1986-01-09,2.86381
1986-01-10,2.86381
1986-01-13,2.88527
1986-01-14,2.93475
1986-01-15,2.95601
1986-01-16,2.96326
1986-01-17,2.97727
1986-01-20,2.96326
1986-01-21,2.9421
1986-01-22,2.90663
1986-01-23,2.92064
1986-01-24,2.89938
1986-01-27,2.87802
1986-01-28,2.87802
1986-01-29,2.84284
1986-01-30,2.82148
1986-01-31,2.90663
1986-02-03,2.97727
1986-02-04,2.91359
1986-02-05,2.88527
1986-02-06,2.87106
1986-02-07,2.88527
1986-02-10,2.9275
1986-02-11,2.9275
1986-02-12,2.87802
1986-02-13,2.92064
1986-02-14,3.01274
1986-02-18,2.99148
1986-02-19,2.88527
1986-02-20,2.9421
1986-02-21,2.9421
1986-02-24,2.95601
1986-02-25,2.95601
1986-02-26,2.92064
1986-02-27,2.9275
1986-02-28,3.04106
1986-03-03,2.97727
1986-03-04,2.97022
1986-03-05,2.95601
1986-03-06,3.00569
1986-03-07,3.0198
1986-03-10,2.99853
1986-03-11,3.02735
1986-03-12,3.11915
1986-03-13,3.22556
1986-03-14,3.35283
1986-03-17,3.31806
1986-03-18,3.35283
1986-03-19,3.33912
1986-03-20,3.36048
