Date,PL.F
1985-10-01,312.9
1985-10-02,312.6
1985-10-03,324.7
1985-10-04,323.8
1985-10-07,322.3
1985-10-08,324.8
1985-10-09,326.6
1985-10-10,323.6
1985-10-11,326.8
1985-10-14,326.1
1985-10-15,326.0
1985-10-16,319.4
1985-10-17,323.9
1985-10-18,326.3
1985-10-21,329.5
1985-10-22,337.3
1985-10-23,340.1
1985-10-24,337.2
1985-10-25,339.7
1985-10-28,338.3
1985-10-29,338.5
1985-10-30,332.5
1985-10-31,325.4
1985-11-01,327.7
1985-11-04,328.2
1985-11-05,328.1
1985-11-06,328.8
1985-11-07,327.2
1985-11-08,329.3
1985-11-11,329.3
1985-11-12,336.8
1985-11-13,335.9
1985-11-14,337.1
1985-11-15,333.9
1985-11-18,334.7
1985-11-19,335.4
1985-11-20,336.4
1985-11-21,338.8
1985-11-22,351.2
1985-11-25,356.6
1985-11-26,352.1
1985-11-27,346.4
1985-11-29,
1985-12-02,351.2
1985-12-03,349.0
1985-12-04,349.5
1985-12-05,345.0
1985-12-06,345.2
1985-12-09,323.9
1985-12-10,326.7
1985-12-11,323.4
1985-12-12,332.9
1985-12-13,337.0
1985-12-16,339.5
1985-12-17,336.6
1985-12-18,337.7
1985-12-19,339.4
1985-12-20,340.3
1985-12-23,339.1
1985-12-24,
1985-12-26,341.5
1985-12-27,345.1
1985-12-30,346.8
1985-12-31,346.2
1986-01-02,347.0
1986-01-03,349.6
1986-01-06,363.2
1986-01-07,360.9
1986-01-08,362.9
1986-01-09,369.4
1986-01-10,368.0
1986-01-13,365.7
1986-01-14,364.5
1986-01-15,370.7
1986-01-16,370.4
1986-01-17,375.8
1986-01-20,376.5
1986-01-21,373.5
1986-01-22,376.3
1986-01-23,375.7
1986-01-24,383.6
1986-01-27,379.2
1986-01-28,376.4
1986-01-29,379.5
1986-01-30,377.0
1986-01-31,372.7
1986-02-03,356.0
1986-02-04,351.7
1986-02-05,355.4
1986-02-06,354.7
1986-02-07,363.0
1986-02-10,361.7
1986-02-11,362.0
1986-02-12,361.0
1986-02-13,358.1
1986-02-14,369.7
1986-02-18,381.9
1986-02-19,392.9
1986-02-20,390.6
1986-02-21,399.4
1986-02-24,418.3
1986-02-25,410.4
1986-02-26,390.3
1986-02-27,390.2
1986-02-28,402.3
1986-03-03,401.0
1986-03-04,408.0
1986-03-05,409.0
1986-03-06,405.4
1986-03-07,407.5
1986-03-10,400.0
1986-03-11,408.0
1986-03-12,415.0
1986-03-13,410.2
1986-03-14,411.8
1986-03-17,420.1
1986-03-18,423.3
1986-03-19,420.5
1986-03-20,431.8
1986-03-21,439.8
1986-03-24,430.5
1986-03-25,423.0
1986-03-26,422.3
1986-03-27,427.7
1986-03-31,406.1
1986-04-01,401.8
1986-04-02,408.8
1986-04-03,409.7
1986-04-04,410.0
1986-04-07,425.0
1986-04-08,428.9
1986-04-09,431.0
1986-04-10,431.1
1986-04-11,437.8
1986-04-14,426.1
1986-04-15,426.4
1986-04-16,420.5
1986-04-17,416.8
1986-04-18,415.5
1986-04-21,416.4
1986-04-22,426.4
1986-04-23,427.9
1986-04-24,428.2
1986-04-25,426.4
1986-04-28,425.7
1986-04-29,415.8
1986-04-30,420.8
1986-05-01,406.3
1986-05-02,413.7
1986-05-05,411.8
1986-05-06,417.6
1986-05-07,417.5
1986-05-08,417.6
1986-05-09,422.6
1986-05-12,423.3
1986-05-13,419.7
1986-05-14,415.7
1986-05-15,415.1
1986-05-16,411.3
1986-05-19,406.0
1986-05-20,404.1
1986-05-21,404.8
1986-05-22,409.9
1986-05-23,410.5
1986-05-27,413.1
1986-05-28,413.5
1986-05-29,415.1
1986-05-30,424.1
1986-06-02,422.6
1986-06-03,421.2
1986-06-04,417.3
1986-06-05,422.9
1986-06-06,421.8
1986-06-09,446.8
1986-06-10,436.4
1986-06-11,444.0
1986-06-12,454.2
1986-06-13,446.6
1986-06-16,428.7
1986-06-17,434.4
1986-06-18,434.1
1986-06-19,430.9
1986-06-20,436.2
1986-06-23,440.1
1986-06-24,440.5
1986-06-25,445.7
1986-06-26,444.2
1986-06-27,432.9
1986-06-30,435.9
1986-07-01,424.8
1986-07-02,429.7
1986-07-03,
1986-07-07,437.7
1986-07-08,442.8
1986-07-09,441.3
1986-07-10,440.0
1986-07-11,438.8
1986-07-14,436.5
1986-07-15,443.2
1986-07-16,444.1
1986-07-17,442.9
1986-07-18,450.3
1986-07-21,452.5
1986-07-22,450.7
1986-07-23,442.7
1986-07-24,448.1
1986-07-25,447.3
1986-07-28,451.2
1986-07-29,451.1
1986-07-30,451.4
1986-07-31,467.3
1986-08-01,471.9
1986-08-04,474.6
1986-08-05,474.0
1986-08-06,482.2
1986-08-07,498.1
1986-08-08,523.1
1986-08-11,548.1
1986-08-12,543.9
1986-08-13,535.3
1986-08-14,546.1
1986-08-15,545.5
1986-08-18,539.0
1986-08-19,535.7
1986-08-20,558.0
1986-08-21,582.9
1986-08-22,571.7
1986-08-25,588.2
1986-08-26,588.7
1986-08-27,592.7
1986-08-28,614.6
1986-08-29,626.3
1986-09-02,651.3
1986-09-03,653.4
1986-09-04,665.3
1986-09-05,677.7
1986-09-08,652.7
1986-09-09,627.7
1986-09-10,590.2
1986-09-11,572.2
1986-09-12,574.3
1986-09-15,582.8
1986-09-16,573.7
1986-09-17,561.4
1986-09-18,561.7
1986-09-19,586.7
1986-09-22,611.7
1986-09-23,604.7
1986-09-24,607.8
1986-09-25,588.2
1986-09-26,582.5
1986-09-29,557.5
1986-09-30,554.1
1986-10-01,561.3
1986-10-02,586.3
