Date,RB.F
1985-10-01,0.7773
1985-10-02,0.7835
1985-10-03,0.7775
1985-10-04,0.7789
1985-10-07,0.7827
1985-10-08,0.7872
1985-10-09,0.7856
1985-10-10,0.7799
1985-10-11,0.7832
1985-10-14,0.799
1985-10-15,0.8106
1985-10-16,0.808
1985-10-17,0.8219
1985-10-18,0.8205
1985-10-21,0.8225
1985-10-22,0.82
1985-10-23,0.8276
1985-10-24,0.8183
1985-10-25,0.8149
1985-10-28,0.8122
1985-10-29,0.817
1985-10-30,0.8195
1985-10-31,0.802
1985-11-01,0.8058
1985-11-04,0.8002
1985-11-05,0.792
1985-11-06,0.7956
1985-11-07,0.802
1985-11-08,0.8015
1985-11-11,0.8065
1985-11-12,0.802
1985-11-13,0.8008
1985-11-14,0.7962
1985-11-15,0.795
1985-11-18,0.7945
1985-11-19,0.8005
1985-11-20,0.8034
1985-11-21,0.806
1985-11-22,0.806
1985-11-25,0.8061
1985-11-26,0.8
1985-11-27,0.7756
1985-11-29,
1985-12-02,0.7677
1985-12-03,0.7625
1985-12-04,0.752
1985-12-05,0.7625
1985-12-06,0.7589
1985-12-09,0.723
1985-12-10,0.6789
1985-12-11,0.7
1985-12-12,0.7083
1985-12-13,0.7056
1985-12-16,0.689
1985-12-17,0.6721
1985-12-18,0.6728
1985-12-19,0.6855
1985-12-20,0.6805
1985-12-23,0.676
1985-12-24,
1985-12-26,0.6882
1985-12-27,0.708
1985-12-30,0.714
1985-12-31,0.6989
1986-01-02,0.677
1986-01-03,0.6851
1986-01-06,0.7081
1986-01-07,0.698
1986-01-08,0.6922
1986-01-09,0.687
1986-01-10,0.6869
1986-01-13,0.6677
1986-01-14,0.6625
1986-01-15,0.67
1986-01-16,0.6461
1986-01-17,0.64
1986-01-20,0.5979
1986-01-21,0.6075
1986-01-22,0.6025
1986-01-23,0.597
1986-01-24,0.6001
1986-01-27,0.6425
1986-01-28,0.627
1986-01-29,0.5937
1986-01-30,0.594
1986-01-31,0.556
1986-02-03,0.5194
1986-02-04,0.4836
1986-02-05,0.49
1986-02-06,0.4871
1986-02-07,0.51
1986-02-10,0.4889
1986-02-11,0.483
1986-02-12,0.4613
1986-02-13,0.459
1986-02-14,0.4675
1986-02-18,0.4355
1986-02-19,0.438
1986-02-20,0.418
1986-02-21,0.398
1986-02-24,0.4175
1986-02-25,0.4065
1986-02-26,0.426
1986-02-27,0.4185
1986-02-28,0.41
1986-03-03,0.3789
1986-03-04,0.3785
1986-03-05,0.363
1986-03-06,0.385
1986-03-07,0.375
1986-03-10,0.39
1986-03-11,0.3881
1986-03-12,0.428
1986-03-13,0.3885
1986-03-14,0.403
1986-03-17,0.424
1986-03-18,0.4288
1986-03-19,0.4303
1986-03-20,0.42
1986-03-21,0.44
1986-03-24,0.4
1986-03-25,0.4175
1986-03-26,0.4215
1986-03-27,0.4025
1986-03-31,0.367
1986-04-01,0.3869
1986-04-02,0.3975
1986-04-03,0.393
1986-04-04,0.4155
1986-04-07,0.45
1986-04-08,0.4145
1986-04-09,0.433
1986-04-10,0.4475
1986-04-11,0.4595
1986-04-14,0.449
1986-04-15,0.4425
1986-04-16,0.423
1986-04-17,0.424
1986-04-18,0.4455
1986-04-21,0.4618
1986-04-22,0.4768
1986-04-23,0.508
1986-04-24,0.5165
1986-04-25,0.55
1986-04-28,0.552
1986-04-29,0.5375
1986-04-30,0.495
1986-05-01,0.504
1986-05-02,0.5164
1986-05-05,0.494
1986-05-06,0.5049
1986-05-07,0.5281
1986-05-08,0.5335
1986-05-09,0.541
1986-05-12,0.541
1986-05-13,0.546
1986-05-14,0.5388
1986-05-15,0.5335
1986-05-16,0.5438
1986-05-19,0.559
1986-05-20,0.535
1986-05-21,0.516
1986-05-22,0.525
1986-05-23,0.5369
1986-05-27,0.532
1986-05-28,0.521
1986-05-29,0.5025
1986-05-30,0.464
1986-06-02,0.449
1986-06-03,0.4417
1986-06-04,0.4124
1986-06-05,0.4237
1986-06-06,0.41
1986-06-09,0.4015
1986-06-10,0.4051
1986-06-11,0.429
1986-06-12,0.434
1986-06-13,0.4455
1986-06-16,0.4303
1986-06-17,0.4276
1986-06-18,0.4131
1986-06-19,0.417
1986-06-20,0.4155
1986-06-23,0.4075
1986-06-24,0.4035
1986-06-25,0.421
1986-06-26,0.4161
1986-06-27,0.4125
1986-06-30,0.3929
1986-07-01,0.3857
1986-07-02,0.376
1986-07-03,
1986-07-07,0.35
1986-07-08,0.352
1986-07-09,0.337
1986-07-10,0.345
1986-07-11,0.333
1986-07-14,0.32
1986-07-15,0.3411
1986-07-16,0.3546
1986-07-17,0.3426
1986-07-18,0.3475
1986-07-21,0.3516
1986-07-22,0.341
1986-07-23,0.328
1986-07-24,0.322
1986-07-25,0.3105
1986-07-28,0.312
1986-07-29,0.317
1986-07-30,0.33
1986-07-31,0.3137
1986-08-01,0.326
1986-08-04,0.3688
1986-08-05,0.41
1986-08-06,0.415
1986-08-07,0.4233
1986-08-08,0.4143
1986-08-11,0.4146
1986-08-12,0.434
1986-08-13,0.4407
1986-08-14,0.4435
1986-08-15,0.448
1986-08-18,0.4531
1986-08-19,0.4375
1986-08-20,0.45
1986-08-21,0.4508
1986-08-22,0.446
1986-08-25,0.444
1986-08-26,0.447
1986-08-27,0.4405
1986-08-28,0.4483
1986-08-29,0.4513
1986-09-02,0.4603
1986-09-03,0.4552
1986-09-04,0.4571
1986-09-05,0.4621
1986-09-08,0.4408
1986-09-09,0.4341
1986-09-10,0.418
1986-09-11,0.4162
1986-09-12,0.4199
1986-09-15,0.4068
1986-09-16,0.4015
1986-09-17,0.402
1986-09-18,0.41
1986-09-19,0.4075
1986-09-22,0.3995
1986-09-23,0.4032
1986-09-24,0.4018
1986-09-25,0.394
1986-09-26,0.3978
1986-09-29,0.4022
1986-09-30,0.4085
1986-10-01,0.4183
1986-10-02,0.4286
1986-10-03,0.4163
1986-10-06,0.4139
1986-10-07,0.4225
1986-10-08,0.4309
1986-10-09,0.4275
1986-10-10,0.4225
1986-10-13,0.4039
1986-10-14,0.4102
1986-10-15,0.421
1986-10-16,0.4158
1986-10-17,0.4194
1986-10-20,0.427
1986-10-21,0.4254
1986-10-22,0.4132
1986-10-23,0.4119
1986-10-24,0.414
1986-10-27,0.3974
1986-10-28,0.3891
1986-10-29,0.3785
1986-10-30,0.4
1986-10-31,0.4153
1986-11-03,0.4004
1986-11-04,0.4111
1986-11-05,0.4123
1986-11-06,0.415
1986-11-07,0.4125
1986-11-10,0.4163
1986-11-11,0.4187
1986-11-12,0.4158
1986-11-13,0.4228
1986-11-14,0.4238
1986-11-17,0.4225
1986-11-18,0.421
1986-11-19,0.4223
1986-11-20,0.4133
1986-11-21,0.4162
1986-11-24,0.4059
1986-11-25,0.4081
1986-11-26,0.4129
1986-11-28,
1986-12-01,0.4164
1986-12-02,0.4147
1986-12-03,0.4126
1986-12-04,0.4133
1986-12-05,0.4157
1986-12-08,0.4105
1986-12-09,0.4076
1986-12-10,0.4118
1986-12-11,0.4247
1986-12-12,0.434
