Date,SI.F
1985-10-01,612.5
1985-10-02,613.0
1985-10-03,646.5
1985-10-04,640.0
1985-10-07,640.5
1985-10-08,635.5
1985-10-09,629.5
1985-10-10,627.5
1985-10-11,633.0
1985-10-14,633.5
1985-10-15,630.5
1985-10-16,615.5
1985-10-17,620.2
1985-10-18,623.0
1985-10-21,620.5
1985-10-22,626.3
1985-10-23,622.5
1985-10-24,624.0
1985-10-25,624.0
1985-10-28,622.3
1985-10-29,625.0
1985-10-30,617.3
1985-10-31,612.5
1985-11-01,616.5
1985-11-04,612.5
1985-11-05,612.5
1985-11-06,612.0
1985-11-07,605.5
1985-11-08,613.0
1985-11-11,610.5
1985-11-12,617.0
1985-11-13,619.5
1985-11-14,614.5
1985-11-15,610.0
1985-11-18,610.5
1985-11-19,611.0
1985-11-20,618.5
1985-11-21,618.8
1985-11-22,622.5
1985-11-25,641.6
1985-11-26,637.8
1985-11-27,622.0
1985-11-29,621.0
1985-12-02,623.0
1985-12-03,618.5
1985-12-04,617.0
1985-12-05,618.5
1985-12-06,615.0
1985-12-09,593.5
1985-12-10,591.0
1985-12-11,587.0
1985-12-12,595.0
1985-12-13,598.0
1985-12-16,601.0
1985-12-17,587.5
1985-12-18,594.5
1985-12-19,594.0
1985-12-20,595.0
1985-12-23,585.0
1985-12-24,588.5
1985-12-26,585.5
1985-12-27,595.0
1985-12-30,593.0
1985-12-31,590.5
1986-01-02,618.1
1986-01-03,624.9
1986-01-06,626.7
1986-01-07,632.8
1986-01-08,633.9
1986-01-09,658.0
1986-01-10,653.1
1986-01-13,645.6
1986-01-14,645.8
1986-01-15,659.7
1986-01-16,659.8
1986-01-17,658.9
1986-01-20,661.1
1986-01-21,661.7
1986-01-22,657.4
1986-01-23,659.4
1986-01-24,672.3
1986-01-27,659.9
1986-01-28,658.0
1986-01-29,660.6
1986-01-30,651.5
1986-01-31,644.3
1986-02-03,630.8
1986-02-04,622.8
1986-02-05,628.8
1986-02-06,623.8
1986-02-07,631.4
1986-02-10,629.2
1986-02-11,632.7
1986-02-12,630.2
1986-02-13,624.7
1986-02-14,628.5
1986-02-18,625.4
1986-02-19,627.4
1986-02-20,604.7
1986-02-21,626.6
1986-02-24,614.3
1986-02-25,605.5
1986-02-26,577.7
1986-02-27,577.3
1986-02-28,578.0
1986-03-03,574.3
1986-03-04,577.6
1986-03-05,572.8
1986-03-06,573.8
1986-03-07,574.2
1986-03-10,573.0
1986-03-11,580.5
1986-03-12,595.3
1986-03-13,582.3
1986-03-14,580.2
1986-03-17,589.8
1986-03-18,583.3
1986-03-19,584.3
1986-03-20,588.8
1986-03-21,587.3
1986-03-24,579.7
1986-03-25,567.5
