Date,VZ.US
1985-10-01,3.02188
1985-10-02,3.01023
1985-10-03,2.99838
1985-10-04,2.99838
1985-10-07,3.0042
1985-10-08,3.01596
1985-10-09,3.02188
1985-10-10,2.99838
1985-10-11,3.03353
1985-10-14,3.06336
1985-10-15,3.06919
1985-10-16,3.08686
1985-10-17,3.08686
1985-10-18,3.11659
1985-10-21,3.11047
1985-10-22,3.12814
1985-10-23,3.13437
1985-10-24,3.15224
1985-10-25,3.15224
1985-10-28,3.1876
1985-10-29,3.211
1985-10-30,3.19915
1985-10-31,3.17002
1985-11-01,3.2348
1985-11-04,3.24675
1985-11-05,3.24675
1985-11-06,3.24675
1985-11-07,3.26433
1985-11-08,3.32359
1985-11-11,3.41207
1985-11-12,3.41849
1985-11-13,3.40032
1985-11-14,3.40615
1985-11-15,3.40032
1985-11-18,3.40032
1985-11-19,3.40032
1985-11-20,3.40032
1985-11-21,3.43607
1985-11-22,3.42975
1985-11-25,3.42975
1985-11-26,3.44753
1985-11-27,3.44753
1985-11-29,3.47113
1985-12-02,3.4655
1985-12-03,3.45948
1985-12-04,3.49513
1985-12-05,3.48318
1985-12-06,3.51251
1985-12-09,3.59566
1985-12-10,3.61927
1985-12-11,3.6959
1985-12-12,3.65452
1985-12-13,3.59566
1985-12-16,3.59566
1985-12-17,3.6486
1985-12-18,3.66637
1985-12-19,3.63112
1985-12-20,3.66637
1985-12-23,3.6486
1985-12-24,3.65452
1985-12-26,3.62519
1985-12-27,3.65452
1985-12-30,3.69007
1985-12-31,3.77886
1986-01-02,3.74943
1986-01-03,3.74943
1986-01-06,3.6959
1986-01-07,3.7434
1986-01-08,3.65452
1986-01-09,3.57759
1986-01-10,3.55399
1986-01-13,3.57186
1986-01-14,3.60119
1986-01-15,3.60119
1986-01-16,3.69007
1986-01-17,3.69007
1986-01-20,3.67813
1986-01-21,3.66637
1986-01-22,3.63675
1986-01-23,3.63675
1986-01-24,3.64257
1986-01-27,3.69007
1986-01-28,3.76691
1986-01-29,3.77886
1986-01-30,3.81431
1986-01-31,3.90319
1986-02-03,3.96205
1986-02-04,3.9264
1986-02-05,3.9264
1986-02-06,3.87939
1986-02-07,3.85579
1986-02-10,3.89115
1986-02-11,3.88532
1986-02-12,3.88532
1986-02-13,3.90872
1986-02-14,4.04511
1986-02-18,4.04511
1986-02-19,3.94418
1986-02-20,3.97361
1986-02-21,4.03908
1986-02-24,4.02141
1986-02-25,4.00946
1986-02-26,4.00946
1986-02-27,4.05093
1986-02-28,4.06881
1986-03-03,4.08639
1986-03-04,4.08027
1986-03-05,4.10397
1986-03-06,4.12757
1986-03-07,4.157
1986-03-10,4.19887
1986-03-11,4.28143
1986-03-12,4.33476
1986-03-13,4.35254
1986-03-14,4.48853
1986-03-17,4.42335
1986-03-18,4.48853
1986-03-19,4.44113
1986-03-20,4.41733
1986-03-21,4.38177
1986-03-24,4.39975
1986-03-25,4.41733
1986-03-26,4.42918
1986-03-27,4.50611
1986-03-31,4.47105
1986-04-01,4.38177
1986-04-02,4.45278
1986-04-03,4.4115
1986-04-04,4.32262
1986-04-07,4.33476
1986-04-08,4.37624
1986-04-09,4.37624
1986-04-10,4.39382
1986-04-11,4.36409
1986-04-14,4.37624
1986-04-15,4.39975
1986-04-16,4.50018
1986-04-17,4.54156
1986-04-18,4.6422
1986-04-21,4.6895
1986-04-22,4.6895
1986-04-23,4.67775
1986-04-24,4.58897
1986-04-25,4.58897
1986-04-28,4.67775
1986-04-29,4.58314
1986-04-30,4.58897
1986-05-01,4.60072
1986-05-02,4.52388
1986-05-05,4.54156
1986-05-06,4.48853
1986-05-07,4.4349
1986-05-08,4.48231
1986-05-09,4.48231
1986-05-12,4.46483
