Date,WBA.US
1985-10-01,0.862519
1985-10-02,0.855682
1985-10-03,0.862519
1985-10-04,0.847867
1985-10-07,0.825889
1985-10-08,0.847867
1985-10-09,0.840639
1985-10-10,0.855682
1985-10-11,0.862519
1985-10-14,0.862519
1985-10-15,0.862519
1985-10-16,0.899052
1985-10-17,0.95766
1985-10-18,0.95766
1985-10-21,0.95766
1985-10-22,0.95766
1985-10-23,0.95053
1985-10-24,0.95766
1985-10-25,0.95053
1985-10-28,0.95053
1985-10-29,0.95053
1985-10-30,0.95053
1985-10-31,0.913801
1985-11-01,0.93578
1985-11-04,0.93578
1985-11-05,0.928649
1985-11-06,0.94291
1985-11-07,0.979638
1985-11-08,0.979638
1985-11-11,1.03082
1985-11-12,1.03082
1985-11-13,0.994294
1985-11-14,0.994294
1985-11-15,1.03825
1985-11-18,1.03082
1985-11-19,1.03082
1985-11-20,1.0236
1985-11-21,1.0236
1985-11-22,1.03082
1985-11-25,1.0236
1985-11-26,1.03082
1985-11-27,1.0236
1985-11-29,1.01617
1985-12-02,1.00132
1985-12-03,1.00132
1985-12-04,1.03825
1985-12-05,1.01617
1985-12-06,0.994294
1985-12-09,1.00855
1985-12-10,0.994294
1985-12-11,0.994294
1985-12-12,1.00132
1985-12-13,1.03825
1985-12-16,1.0528
1985-12-17,1.05993
1985-12-18,1.0528
1985-12-19,1.07458
1985-12-20,1.06726
1985-12-23,1.04528
1985-12-24,1.03825
1985-12-26,1.03825
1985-12-27,1.0528
1985-12-30,1.04528
1985-12-31,1.03825
1986-01-02,1.00855
1986-01-03,1.00855
1986-01-06,0.986769
1986-01-07,0.994294
1986-01-08,0.994294
1986-01-09,0.95766
1986-01-10,0.95766
1986-01-13,0.95053
1986-01-14,0.94291
1986-01-15,0.93578
1986-01-16,0.94291
1986-01-17,0.93578
1986-01-20,0.95053
1986-01-21,0.95053
1986-01-22,0.94291
1986-01-23,0.94291
1986-01-24,0.95053
1986-01-27,0.965084
1986-01-28,0.986769
1986-01-29,0.972117
1986-01-30,0.972117
1986-01-31,0.972117
1986-02-03,0.972117
1986-02-04,0.986769
1986-02-05,1.00132
1986-02-06,1.01617
1986-02-07,1.0236
1986-02-10,1.0236
1986-02-11,0.986769
1986-02-12,0.986769
1986-02-13,1.00132
1986-02-14,1.03825
1986-02-18,1.05993
1986-02-19,1.06726
1986-02-20,1.10369
1986-02-21,1.1328
1986-02-24,1.09646
1986-02-25,1.10369
1986-02-26,1.10369
1986-02-27,1.11112
1986-02-28,1.11825
1986-03-03,1.1328
1986-03-04,1.14023
1986-03-05,1.1328
1986-03-06,1.1328
1986-03-07,1.16191
1986-03-10,1.18437
1986-03-11,1.25773
1986-03-12,1.23537
1986-03-13,1.27913
1986-03-14,1.27209
