Date,WMT.US
1985-10-01,1.097
1985-10-02,1.097
1985-10-03,1.1047
1985-10-04,1.1127
1985-10-07,1.1127
1985-10-08,1.1203
1985-10-09,1.136
1985-10-10,1.1746
1985-10-11,1.1979
1985-10-14,1.2139
1985-10-15,1.2215
1985-10-16,1.2294
1985-10-17,1.2139
1985-10-18,1.1902
1985-10-21,1.2139
1985-10-22,1.2139
1985-10-23,1.2294
1985-10-24,1.2139
1985-10-25,1.1979
1985-10-28,1.1902
1985-10-29,1.2139
1985-10-30,1.1902
1985-10-31,1.1902
1985-11-01,1.1746
1985-11-04,1.1826
1985-11-05,1.1746
1985-11-06,1.1826
1985-11-07,1.2294
1985-11-08,1.2294
1985-11-11,1.2523
1985-11-12,1.299
1985-11-13,1.2756
1985-11-14,1.2916
1985-11-15,1.2603
1985-11-18,1.2916
1985-11-19,1.2916
1985-11-20,1.2916
1985-11-21,1.3305
1985-11-22,1.3378
1985-11-25,1.3148
1985-11-26,1.307
1985-11-27,1.3148
1985-11-29,1.3305
1985-12-02,1.3461
1985-12-03,1.3378
1985-12-04,1.3378
1985-12-05,1.3537
1985-12-06,1.3461
1985-12-09,1.3537
1985-12-10,1.3848
1985-12-11,1.4162
1985-12-12,1.4471
1985-12-13,1.4395
1985-12-16,1.4627
1985-12-17,1.4933
1985-12-18,1.5168
1985-12-19,1.4237
1985-12-20,1.4471
1985-12-23,1.3695
1985-12-24,1.4004
1985-12-26,1.3925
1985-12-27,1.4004
1985-12-30,1.4004
1985-12-31,1.4314
1986-01-02,1.377
1986-01-03,1.3612
1986-01-06,1.377
1986-01-07,1.4162
1986-01-08,1.3537
1986-01-09,1.3226
1986-01-10,1.3305
1986-01-13,1.3537
1986-01-14,1.3378
1986-01-15,1.3461
1986-01-16,1.377
1986-01-17,1.3925
1986-01-20,1.377
1986-01-21,1.3461
1986-01-22,1.3537
1986-01-23,1.3612
1986-01-24,1.3695
1986-01-27,1.4237
1986-01-28,1.4395
1986-01-29,1.455
1986-01-30,1.4237
1986-01-31,1.4395
1986-02-03,1.4627
1986-02-04,1.455
1986-02-05,1.4471
1986-02-06,1.455
1986-02-07,1.3925
1986-02-10,1.4079
1986-02-11,1.377
1986-02-12,1.3612
1986-02-13,1.377
1986-02-14,1.4237
1986-02-18,1.4783
1986-02-19,1.4471
1986-02-20,1.4395
1986-02-21,1.455
1986-02-24,1.4701
1986-02-25,1.4701
1986-02-26,1.4627
1986-02-27,1.5016
1986-02-28,1.525
1986-03-03,1.5325
1986-03-04,1.5794
1986-03-05,1.6182
1986-03-06,1.6182
1986-03-07,1.6337
1986-03-10,1.6572
1986-03-11,1.6961
1986-03-12,1.6961
1986-03-13,1.766
1986-03-14,1.8205
1986-03-17,1.7891
1986-03-18,1.7583
1986-03-19,1.7268
1986-03-20,1.7035
1986-03-21,1.6259
1986-03-24,1.766
1986-03-25,1.7505
1986-03-26,1.7818
1986-03-27,1.7818
1986-03-31,1.766
1986-04-01,1.7427
1986-04-02,1.766
1986-04-03,1.7035
1986-04-04,1.6648
1986-04-07,1.6723
1986-04-08,1.7427
1986-04-09,1.766
1986-04-10,1.8284
1986-04-11,1.8284
1986-04-14,1.8673
1986-04-15,1.8435
1986-04-16,1.8829
1986-04-17,1.8673
1986-04-18,1.8673
1986-04-21,1.9138
1986-04-22,1.8829
1986-04-23,1.8746
1986-04-24,1.8829
1986-04-25,1.8982
1986-04-28,1.8829
1986-04-29,1.8829
1986-04-30,1.8205
1986-05-01,1.805
1986-05-02,1.7972
1986-05-05,1.7738
1986-05-06,1.7738
1986-05-07,1.805
1986-05-08,1.8435
1986-05-09,1.8284
1986-05-12,1.8435
1986-05-13,1.9216
1986-05-14,1.9838
1986-05-15,1.9216
1986-05-16,1.8906
1986-05-19,1.9447
1986-05-20,1.9838
1986-05-21,1.9684
1986-05-22,2.0307
1986-05-23,2.0851
1986-05-27,2.1079
1986-05-28,2.2094
1986-05-29,2.1861
1986-05-30,2.1476
1986-06-02,2.1476
1986-06-03,2.1549
1986-06-04,2.1861
1986-06-05,2.2249
1986-06-06,2.2094
1986-06-09,2.1629
1986-06-10,2.1705
1986-06-11,2.2094
1986-06-12,2.1939
1986-06-13,2.2015
1986-06-16,2.2015
1986-06-17,2.1861
1986-06-18,2.2015
1986-06-19,2.2094
1986-06-20,2.2484
1986-06-23,2.1939
1986-06-24,2.233
1986-06-25,2.2951
1986-06-26,2.2951
1986-06-27,2.3258
1986-06-30,2.3341
1986-07-01,2.3732
1986-07-02,2.3964
1986-07-03,2.3732
1986-07-07,2.2561
1986-07-08,2.1549
1986-07-09,2.1939
1986-07-10,2.1782
1986-07-11,2.1782
1986-07-14,2.0697
1986-07-15,1.992
1986-07-16,2.1164
1986-07-17,2.1549
1986-07-18,2.1939
1986-07-21,2.1317
1986-07-22,2.1239
1986-07-23,2.1549
1986-07-24,2.1549
1986-07-25,2.1317
1986-07-28,2.0539
1986-07-29,2.0614
1986-07-30,2.1549
1986-07-31,2.0927
1986-08-01,2.0851
1986-08-04,2.0697
1986-08-05,2.0697
1986-08-06,2.0151
1986-08-07,2.0151
1986-08-08,1.9838
1986-08-11,2.0151
1986-08-12,2.046
1986-08-13,2.1239
1986-08-14,2.1079
1986-08-15,2.0927
1986-08-18,2.0697
1986-08-19,2.1079
1986-08-20,2.0927
1986-08-21,2.0927
1986-08-22,2.0771
1986-08-25,2.0228
1986-08-26,2.0771
1986-08-27,2.0851
1986-08-28,2.0851
1986-08-29,2.1164
1986-09-02,2.0228
1986-09-03,2.0697
1986-09-04,2.1008
1986-09-05,2.0614
1986-09-08,2.0381
1986-09-09,2.0614
1986-09-10,2.0228
1986-09-11,1.8982
1986-09-12,1.8284
1986-09-15,1.7972
1986-09-16,1.8284
1986-09-17,1.8126
1986-09-18,1.8673
1986-09-19,1.9062
1986-09-22,1.8435
1986-09-23,1.9374
1986-09-24,1.9525
1986-09-25,1.8673
1986-09-26,1.8746
1986-09-29,1.8591
1986-09-30,1.8906
1986-10-01,1.9374
1986-10-02,1.9758
1986-10-03,1.9758
1986-10-06,1.992
1986-10-07,1.9684
1986-10-08,1.9758
1986-10-09,1.9605
1986-10-10,1.9605
1986-10-13,1.9605
