Attributes,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,OpenInt,OpenInt,OpenInt,OpenInt,OpenInt,OpenInt,OpenInt,OpenInt,OpenInt,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Symbols,^SPX,^DJI,^NDX,GC.F,SI.F,HG.F,PL.F,CL.F,LS.F,^SPX,^DJI,^NDX,GC.F,SI.F,HG.F,PL.F,CL.F,LS.F,^SPX,^DJI,^NDX,GC.F,SI.F,HG.F,PL.F,CL.F,LS.F,^SPX,^DJI,^NDX,GC.F,SI.F,HG.F,PL.F,CL.F,LS.F,^SPX,^DJI,^NDX,GC.F,SI.F,HG.F,PL.F,CL.F,LS.F,^SPX,^DJI,^NDX,GC.F,SI.F,HG.F,PL.F,CL.F,LS.F
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-10-01,185.07,1341.0,112.14,327.1,612.5,60.6,312.9,28.57,139.6,185.08,1344.0,112.16,327.7,614.5,60.7,314.0,28.71,141.8,182.02,1323.5,110.57,324.9,607.5,59.5,307.5,28.4,137.3,182.06,1328.6,110.62,326.0,608.0,59.55,309.0,28.63,139.4,,,,122763.0,76118.0,78002.0,12522.0,63508.0,7485.0,72333333.0,15600373.0,26406897.0,29497.0,13530.0,7908.0,2948.0,16868.0,1980.0
1985-10-02,184.06,1333.7,110.82,328.3,613.0,61.65,312.6,28.83,139.4,185.94,1351.6,112.54,329.7,616.5,61.7,315.0,28.85,141.2,184.06,1328.0,110.78,326.0,610.0,60.9,311.0,28.63,139.2,185.07,1341.0,112.14,327.0,610.5,61.0,311.5,28.68,139.8,,,,121861.0,76462.0,78669.0,12354.0,65213.0,7565.0,81833333.0,12576478.0,28386207.0,26469.0,8087.0,13588.0,1621.0,13632.0,1231.0
1985-10-03,184.36,1333.1,110.87,333.9,646.5,61.5,324.7,28.77,137.7,185.17,1345.4,111.18,335.7,650.0,62.2,326.5,29.06,138.9,183.59,1323.8,110.12,328.1,622.0,61.3,314.0,28.72,137.5,184.06,1333.7,110.84,329.5,629.0,61.8,316.0,29.0,138.5,,,,122698.0,80428.0,78360.0,12524.0,65564.0,7551.0,70833333.0,10694575.0,25396552.0,44750.0,51339.0,9889.0,5740.0,18715.0,871.0
1985-10-04,183.22,1328.7,110.07,332.2,640.0,61.9,323.8,28.37,135.1,184.36,1335.0,110.87,334.5,653.0,61.95,328.0,28.52,136.5,182.65,1321.1,109.86,330.3,635.5,61.1,319.0,28.22,134.9,184.36,1333.1,110.87,334.5,643.0,61.6,324.5,28.35,135.5,,,,122295.0,81159.0,77584.0,12496.0,66690.0,7264.0,56222222.0,8829276.0,25500000.0,28029.0,29777.0,7619.0,3104.0,19988.0,2291.0
1985-10-07,181.87,1324.4,108.2,330.5,640.5,62.6,322.3,28.52,135.6,183.22,1335.9,110.14,331.3,641.5,62.6,323.0,28.55,135.9,181.3,1315.2,108.18,329.3,635.5,61.65,319.6,28.08,133.9,183.22,1328.7,110.07,331.0,636.5,61.9,322.0,28.25,134.7,,,,123371.0,82126.0,77675.0,12547.0,66681.0,7249.0,53083333.0,9299219.0,22179310.0,17678.0,12535.0,12171.0,1671.0,14256.0,1298.0
1985-10-08,181.87,1325.5,107.16,328.6,635.5,62.3,324.8,28.62,136.3,182.3,1333.9,108.27,330.9,640.0,62.7,327.5,28.72,136.9,181.16,1316.2,106.75,328.5,635.0,62.25,322.0,28.43,134.9,181.87,1324.4,108.2,330.0,637.0,62.55,322.0,28.6,135.1,,,,123214.0,82796.0,77536.0,12584.0,67281.0,7235.0,53983333.0,7619294.0,24844828.0,17851.0,11702.0,6339.0,3137.0,15043.0,1057.0
1985-10-09,182.52,1326.7,108.63,329.0,629.5,62.0,326.6,28.3,135.4,183.27,1336.8,108.99,331.7,639.5,62.15,329.0,28.67,136.9,181.87,1320.2,107.11,328.4,629.0,61.75,326.0,28.28,135.2,181.87,1325.5,107.16,330.5,637.0,62.0,327.5,28.52,136.0,,,,123888.0,82698.0,77629.0,12732.0,68057.0,7264.0,55077778.0,7500507.0,26931034.0,21863.0,13924.0,5388.0,2231.0,15541.0,645.0
1985-10-10,182.78,1328.1,109.43,329.1,627.5,61.45,323.6,27.86,135.9,182.79,1333.3,109.51,329.4,632.5,61.85,327.0,28.1,136.7,182.05,1318.4,107.81,327.7,626.5,61.1,320.3,27.84,135.1,182.52,1326.7,108.63,329.0,629.0,61.75,327.0,28.05,135.7,,,,123280.0,81552.0,77282.0,12609.0,68979.0,7162.0,50505556.0,6009499.0,26696552.0,13092.0,9502.0,6042.0,2173.0,20969.0,1014.0
1985-10-11,184.28,1339.9,111.05,330.7,633.0,61.65,326.8,28.01,133.9,184.28,1343.4,111.12,331.2,634.0,61.7,327.0,28.06,135.3,182.61,1323.7,109.43,328.9,627.5,61.1,323.5,27.87,133.7,182.78,1328.1,109.43,329.3,629.5,61.2,324.5,27.92,135.0,,,,123358.0,82188.0,76742.0,11989.0,68543.0,6787.0,53538889.0,9209384.0,27279310.0,14618.0,7334.0,3494.0,1555.0,7688.0,1550.0
1985-10-14,186.37,1354.7,113.18,329.8,633.5,61.6,326.1,28.45,134.4,186.37,1356.2,113.27,330.4,634.0,61.7,327.5,28.48,135.0,184.28,1336.6,111.05,329.2,630.1,61.45,324.5,27.99,133.6,184.31,1339.9,111.05,330.0,631.9,61.7,326.0,28.08,134.5,,,,123392.0,82194.0,76757.0,11988.0,69223.0,7091.0,43633333.0,8640877.0,21227586.0,4861.0,3381.0,1568.0,883.0,13019.0,1281.0
1985-10-15,186.08,1350.8,113.38,329.1,630.5,61.0,326.0,28.76,138.9,187.16,1364.1,113.98,331.4,634.0,61.35,328.5,28.8,139.0,185.66,1343.5,112.79,328.8,630.0,61.0,325.5,28.53,134.5,186.37,1354.7,113.18,330.0,633.5,61.3,326.0,28.55,134.5,,,,123996.0,82128.0,76669.0,11989.0,67317.0,7269.0,61333333.0,13527021.0,29544828.0,12342.0,4433.0,3262.0,1382.0,19246.0,2116.0
1985-10-16,187.98,1368.5,114.32,326.8,615.5,60.25,319.4,28.71,139.4,187.98,1371.3,114.34,328.4,628.5,60.9,325.0,28.88,139.7,186.08,1346.2,113.2,325.5,615.0,60.2,318.5,28.52,138.1,186.08,1350.8,113.38,327.8,627.0,60.8,325.0,28.86,139.0,,,,124773.0,80878.0,76200.0,12218.0,67804.0,7251.0,65222222.0,13403660.0,30193103.0,22535.0,20314.0,7167.0,3796.0,15271.0,1335.0
1985-10-17,187.66,1369.3,114.74,328.4,620.2,60.85,323.9,28.83,138.1,188.52,1378.4,115.34,329.8,624.0,60.95,324.5,28.92,138.4,187.42,1356.9,114.32,328.0,618.0,60.15,321.5,28.61,136.9,187.98,1368.5,114.32,328.2,622.0,60.3,322.5,28.73,137.8,,,,124103.0,80882.0,76540.0,12067.0,67290.0,7529.0,78055556.0,13989523.0,32920690.0,16975.0,13129.0,5104.0,1637.0,17081.0,1400.0
1985-10-18,187.04,1368.8,114.32,329.7,623.0,61.95,326.3,28.72,137.1,188.11,1383.4,114.96,330.0,623.5,62.1,327.5,28.79,139.4,186.89,1358.9,113.83,328.6,618.5,61.1,324.5,28.66,137.1,187.66,1369.3,114.74,329.5,623.0,61.1,325.0,28.69,138.6,,,,124182.0,81150.0,77009.0,11917.0,66360.0,7491.0,59500000.0,12661297.0,31186207.0,11408.0,6742.0,8242.0,1585.0,11078.0,1186.0
1985-10-21,186.96,1364.1,113.68,329.4,620.5,61.55,329.5,29.05,136.9,187.3,1375.7,114.46,329.6,623.5,62.3,330.5,29.08,137.0,186.79,1357.8,113.65,327.7,617.0,61.5,324.8,28.7,135.8,187.04,1368.8,114.32,329.0,622.0,62.25,325.8,28.7,137.0,,,,124406.0,83018.0,76696.0,12141.0,67512.0,7411.0,53155556.0,7799812.0,24620690.0,14800.0,9071.0,6606.0,3058.0,17408.0,790.0
1985-10-22,188.04,1364.4,114.44,330.1,626.3,61.85,337.3,28.78,141.9,188.56,1374.7,114.89,331.7,629.0,61.9,337.6,29.27,141.9,186.96,1356.2,113.43,325.5,619.0,61.35,328.5,28.73,137.5,186.96,1364.1,113.8,329.4,620.0,61.65,329.0,29.18,137.5,,,,125017.0,83852.0,77091.0,12575.0,66866.0,7276.0,61833333.0,9229606.0,27196552.0,36778.0,19873.0,5300.0,5976.0,22444.0,2421.0
1985-10-23,189.09,1367.2,115.07,329.0,622.5,62.9,340.1,29.33,141.5,189.09,1373.4,115.53,330.3,627.0,63.0,342.5,29.36,143.0,188.04,1357.1,114.44,328.0,621.5,62.15,337.5,28.85,140.5,188.04,1364.4,114.44,330.0,626.0,62.3,338.0,28.95,141.5,,,,124365.0,83487.0,78175.0,12927.0,64511.0,7229.0,67611111.0,10760144.0,34862069.0,17113.0,8298.0,11915.0,5178.0,19490.0,2195.0
1985-10-24,188.5,1362.3,115.49,328.2,624.0,62.45,337.2,29.59,141.1,189.45,1374.6,116.11,329.2,627.5,63.05,338.0,29.67,142.1,188.41,1355.3,115.07,327.8,620.0,62.3,334.0,29.33,140.6,189.09,1367.2,115.07,328.5,620.0,62.6,337.0,29.43,141.2,,,,123361.0,83102.0,78646.0,13107.0,62943.0,7266.0,68388889.0,12221600.0,32906897.0,11075.0,10042.0,9896.0,2776.0,17910.0,1590.0
1985-10-25,187.52,1356.5,113.91,329.4,624.0,62.15,339.7,29.65,141.1,188.51,1366.7,115.54,329.8,625.0,62.45,343.0,29.7,141.3,187.32,1351.6,113.74,327.5,616.0,61.75,336.5,29.49,140.2,188.5,1362.3,115.49,328.2,623.0,62.35,337.2,29.53,141.3,,,,123232.0,83302.0,78115.0,13507.0,63376.0,7058.0,56555556.0,11962347.0,28593103.0,13616.0,12918.0,7142.0,3787.0,11627.0,1348.0
