Attributes,Close,High,Low,Open,Volume
Symbols,^SPX,^SPX,^SPX,^SPX,^SPX
Date,,,,,
2022-02-10,4504.08,4588.92,4484.31,4553.24,2709241305
2022-02-09,4587.18,4590.03,4547.0,4547.0,2435234286
2022-02-08,4521.54,4531.32,4465.4,4480.02,2540145869
2022-02-07,4483.87,4521.86,4471.47,4505.75,2380580575
2022-02-04,4500.53,4539.66,4451.5,4482.79,2661230208
2022-02-03,4477.44,4542.88,4470.39,4535.41,2707325899
2022-02-02,4589.38,4595.31,4544.32,4566.39,2906346124
2022-02-01,4546.54,4550.49,4483.53,4519.57,2725815746
2022-01-31,4515.55,4516.89,4414.02,4431.79,2960132803
2022-01-28,4431.85,4432.72,4292.46,4336.19,2926083817
2022-01-27,4326.51,4428.74,4309.5,4380.58,3070684348
2022-01-26,4349.93,4453.23,4304.8,4408.43,3239353450
2022-01-25,4356.45,4411.01,4287.11,4366.64,3069079477
2022-01-24,4410.13,4417.35,4222.62,4356.32,3888349334
2022-01-21,4397.94,4494.52,4395.34,4471.38,3210070654
2022-01-20,4482.73,4602.11,4477.95,4547.35,2556569239
2022-01-19,4532.76,4611.55,4530.2,4588.03,2494214499
2022-01-18,4577.11,4632.24,4568.7,4632.24,2741096372
2022-01-14,4662.85,4665.13,4614.75,4637.99,2522462949
2022-01-13,4659.03,4744.13,4650.29,4733.56,2392404427
2022-01-12,4726.35,4748.83,4706.71,4728.59,2122392627
2022-01-11,4713.07,4714.13,4638.27,4669.14,2238558923
2022-01-10,4670.29,4673.02,4582.24,4655.34,2668776356
2022-01-07,4677.03,4707.95,4662.74,4697.66,2414328227
2022-01-06,4696.05,4725.01,4671.26,4693.39,2389339330
2022-01-05,4700.58,4797.7,4699.44,4787.99,2810603586
2022-01-04,4793.54,4818.62,4774.27,4804.51,2841121018
2022-01-03,4796.56,4796.64,4758.17,4778.14,2241373299
2021-12-31,4766.18,4786.83,4765.75,4775.21,1339318824
2021-12-30,4778.73,4808.93,4775.33,4794.23,1353236996
2021-12-29,4793.06,4804.06,4778.08,4788.64,1365873126
2021-12-28,4786.35,4807.02,4780.04,4795.49,1432143549
2021-12-27,4791.19,4791.49,4733.99,4733.99,1503734418
2021-12-23,4725.79,4740.74,4703.96,4703.96,1617243125
2021-12-22,4696.56,4697.67,4645.53,4650.36,1874604891
2021-12-21,4649.23,4651.14,4583.16,4594.96,2298114520
2021-12-20,4568.02,4587.9,4531.1,4587.9,2468207427
2021-12-17,4620.64,4666.7,4600.22,4652.5,4573690712
2021-12-16,4668.67,4731.99,4651.89,4719.13,2745064817
2021-12-15,4709.85,4712.6,4611.22,4636.46,2575621271
2021-12-14,4634.09,4660.47,4606.52,4642.99,2481788465
2021-12-13,4668.97,4710.3,4667.6,4710.3,2427488597
2021-12-10,4712.02,4713.57,4670.24,4687.64,2130792886
2021-12-09,4667.45,4695.26,4665.98,4691.0,2021704694
2021-12-08,4701.21,4705.06,4674.52,4690.86,2169237673
2021-12-07,4686.75,4694.04,4631.97,4631.97,2483715209
2021-12-06,4591.67,4612.6,4540.51,4548.37,2591430683
2021-12-03,4538.43,4608.03,4495.12,4589.49,2714009311
2021-12-02,4577.1,4595.46,4504.73,4504.73,2801558306
2021-12-01,4513.04,4652.94,4510.27,4602.82,3055980587
2021-11-30,4567.0,4646.02,4560.0,4640.25,4064157980
2021-11-29,4655.27,4672.95,4625.26,4628.75,2505188610
2021-11-26,4594.62,4664.63,4585.43,4664.63,2132760977
2021-11-24,4701.46,4702.87,4659.89,4675.78,1849716721
2021-11-23,4690.7,4699.39,4652.66,4678.48,2230377284
2021-11-22,4682.94,4743.83,4682.17,4712.0,2465454579
2021-11-19,4697.96,4717.75,4694.22,4708.44,2452147236
2021-11-18,4704.54,4708.8,4672.78,4700.72,2229419489
2021-11-17,4688.67,4701.5,4684.41,4701.5,2073793765
2021-11-16,4700.9,4714.95,4679.42,4679.42,1969710437
2021-11-15,4682.8,4697.42,4672.86,4689.3,1821708114
2021-11-12,4682.85,4688.47,4650.77,4655.24,1878873391
2021-11-11,4649.27,4664.55,4648.31,4659.39,1745650301
2021-11-10,4646.71,4684.85,4630.86,4670.26,2141600225
2021-11-09,4685.25,4708.53,4670.87,4707.25,2077878164
2021-11-08,4701.7,4714.92,4694.39,4701.48,2208829524
2021-11-05,4697.53,4718.5,4681.32,4699.26,2604934263
2021-11-04,4680.06,4683.0,4662.59,4662.93,2514981463
2021-11-03,4660.57,4663.46,4621.19,4630.65,2155080069
2021-11-02,4630.65,4635.15,4613.34,4613.34,2156232672
2021-11-01,4613.67,4620.34,4595.06,4610.62,2033758725
2021-10-29,4605.38,4608.08,4567.59,4572.87,2350301616
2021-10-28,4596.42,4597.55,4562.84,4562.84,2180879850
2021-10-27,4551.68,4584.57,4551.66,4580.22,2255666226
2021-10-26,4574.79,4598.53,4569.17,4578.69,2018287292
2021-10-25,4566.48,4572.62,4537.36,4553.69,1849843381
2021-10-22,4544.9,4559.67,4524.0,4546.12,1820296105
2021-10-21,4549.78,4551.44,4526.89,4532.24,1903670277
2021-10-20,4536.19,4540.87,4524.4,4524.42,1842279378
2021-10-19,4519.63,4520.4,4496.41,4497.34,1701720108
2021-10-18,4486.46,4488.75,4447.47,4463.72,1871645425
2021-10-15,4471.37,4475.82,4447.69,4447.69,2048713822
2021-10-14,4438.26,4439.73,4386.75,4386.75,1941352446
2021-10-13,4363.8,4372.87,4329.92,4358.01,1928089452
2021-10-12,4350.65,4374.89,4342.09,4368.31,1951341517
2021-10-11,4361.19,4415.88,4360.59,4385.44,1684626168
2021-10-08,4391.34,4412.02,4386.22,4406.51,1683911086
2021-10-07,4399.76,4429.97,4383.73,4383.73,1942954035
2021-10-06,4363.55,4365.57,4290.49,4319.57,2062682920
2021-10-05,4345.72,4369.23,4309.87,4309.87,2026525955
2021-10-04,4300.46,4355.51,4278.94,4348.84,2352030389
2021-10-01,4357.04,4375.19,4288.52,4317.16,2202907200
2021-09-30,4307.54,4382.55,4306.24,4370.67,2292980186
2021-09-29,4359.46,4385.57,4355.08,4362.41,1899919741
2021-09-28,4352.63,4419.54,4346.33,4419.54,2411082003
2021-09-27,4443.11,4457.3,4436.19,4442.12,2044774771
2021-09-24,4455.48,4463.12,4430.27,4438.04,1687771288
2021-09-23,4448.98,4465.4,4406.75,4406.75,1974708404
2021-09-22,4395.64,4416.75,4367.43,4367.43,2024995238
2021-09-21,4354.19,4394.87,4347.96,4374.45,1926605020
2021-09-20,4357.73,4402.95,4305.91,4402.95,2601202238
2021-09-17,4432.99,4471.52,4427.76,4469.74,3770722859
2021-09-16,4473.75,4485.87,4443.8,4477.09,1846633558
2021-09-15,4480.7,4486.87,4438.37,4447.49,2126502586
2021-09-14,4443.05,4485.68,4435.46,4479.33,2021922303
2021-09-13,4468.73,4492.99,4445.7,4474.81,2060402092
2021-09-10,4458.58,4520.47,4457.66,4506.92,1860497153
2021-09-09,4493.28,4529.9,4492.07,4513.02,1837254326
2021-09-08,4514.07,4521.79,4493.95,4518.09,1783658630
2021-09-07,4520.03,4535.38,4513.0,4535.38,1805777278
2021-09-03,4535.43,4541.45,4521.3,4532.42,1529886805
2021-09-02,4536.95,4545.85,4524.66,4534.48,1778239902
2021-09-01,4524.09,4537.11,4522.02,4528.8,1943483583
2021-08-31,4522.68,4531.39,4515.8,4529.75,2177504229
2021-08-30,4528.79,4537.36,4513.76,4513.76,1564582288
2021-08-27,4509.37,4513.33,4474.1,4474.1,1665809773
2021-08-26,4470.0,4495.9,4468.99,4493.75,1642206826
2021-08-25,4496.19,4501.71,4485.66,4490.45,1777933554
2021-08-24,4486.23,4492.81,4482.28,4484.4,1743330697
2021-08-23,4479.53,4489.88,4450.29,4450.29,1854558750
2021-08-20,4441.67,4444.35,4406.8,4410.56,1834179903
2021-08-19,4405.8,4418.61,4367.73,4382.44,2214340942
2021-08-18,4400.27,4454.32,4397.59,4440.94,1930293587
2021-08-17,4448.08,4462.12,4417.83,4462.12,1917517410
2021-08-16,4479.71,4480.26,4437.66,4461.65,1750996492
2021-08-13,4468.0,4468.37,4460.82,4464.84,1532626658
2021-08-12,4460.83,4461.77,4435.96,4446.08,1628478428
2021-08-11,4442.41,4449.44,4436.42,4442.18,1871786539
2021-08-10,4436.75,4445.21,4430.03,4435.79,1916238169
2021-08-09,4432.35,4439.39,4424.74,4437.77,1716583532
2021-08-06,4436.52,4440.82,4429.07,4429.07,1838165082
2021-08-05,4429.1,4429.76,4408.86,4408.86,1960628313
2021-08-04,4402.66,4416.17,4400.23,4415.95,2331475675
2021-08-03,4423.15,4423.79,4373.0,4392.74,2174964518
2021-08-02,4387.16,4422.18,4384.81,4406.86,1983436641
2021-07-30,4395.26,4412.25,4389.65,4395.12,2245846882
2021-07-29,4419.15,4429.97,4403.59,4403.59,2019354788
2021-07-28,4400.64,4415.47,4387.01,4402.95,2118843918
2021-07-27,4401.46,4416.38,4372.51,4416.38,2085640391
2021-07-26,4422.3,4422.73,4405.45,4409.58,1812247096
2021-07-23,4411.79,4415.18,4381.2,4381.2,1752390418
2021-07-22,4367.48,4369.87,4350.06,4361.27,1845434194
2021-07-21,4358.69,4359.7,4331.13,4331.13,2101370626
2021-07-20,4323.06,4336.84,4262.05,4265.11,2430577637
2021-07-19,4258.49,4296.4,4233.13,4296.4,2838151098
2021-07-16,4327.16,4375.09,4322.53,4367.43,2026420335
2021-07-15,4360.03,4369.02,4340.7,4369.02,1995704829
2021-07-14,4374.3,4393.68,4362.36,4380.11,2028264492
2021-07-13,4369.21,4392.37,4366.92,4381.07,1764023047
2021-07-12,4384.63,4386.68,4364.03,4372.41,1707501002
2021-07-09,4369.55,4371.6,4329.38,4329.38,1791690914
2021-07-08,4320.82,4330.88,4289.37,4321.07,2063982824
2021-07-07,4358.13,4361.88,4329.79,4351.01,1932877201
2021-07-06,4343.54,4356.46,4314.37,4356.46,2075709900
2021-07-02,4352.34,4355.43,4326.6,4326.6,1535619737
2021-07-01,4319.94,4320.66,4300.73,4300.73,1803458464
2021-06-30,4297.5,4302.43,4287.96,4290.65,1949896699
2021-06-29,4291.8,4300.52,4287.04,4293.21,1830630923
2021-06-28,4290.61,4292.14,4274.67,4284.9,1992399601
2021-06-25,4280.7,4286.12,4271.16,4274.45,2751790926
2021-06-24,4266.49,4271.28,4256.97,4256.97,1871426376
2021-06-23,4241.84,4256.6,4241.43,4249.27,1771820909
2021-06-22,4246.44,4255.84,4217.27,4224.61,1786553582
2021-06-21,4224.79,4226.24,4173.4,4173.4,2040521589
2021-06-18,4166.45,4204.78,4164.4,4204.78,3608789593
2021-06-17,4221.86,4232.29,4196.05,4220.37,2583091087
2021-06-16,4223.7,4251.89,4202.45,4248.87,2220452064
2021-06-15,4246.59,4257.16,4238.35,4255.28,1830754386
2021-06-14,4255.15,4255.59,4234.07,4248.31,1846240506
2021-06-11,4247.44,4248.38,4232.25,4242.9,1679469973
2021-06-10,4239.18,4249.74,4220.34,4228.56,1949114428
2021-06-09,4219.55,4237.09,4218.74,4232.99,1792953976
2021-06-08,4227.26,4236.74,4208.41,4233.81,2109263760
2021-06-07,4226.52,4232.34,4215.66,4229.34,1745172301
2021-06-04,4229.89,4233.45,4206.05,4206.05,1872715862
2021-06-03,4192.85,4204.39,4167.93,4191.43,2194432214
2021-06-02,4208.12,4217.37,4198.27,4206.82,2028836814
2021-06-01,4202.04,4234.12,4197.59,4216.52,2096973335
2021-05-28,4204.11,4218.36,4203.57,4210.77,1958464949
2021-05-27,4200.88,4213.38,4197.78,4201.94,3407781249
2021-05-26,4195.99,4202.61,4184.11,4191.59,2087338274
2021-05-25,4188.13,4213.42,4182.52,4205.94,2117333013
2021-05-24,4197.05,4209.52,4170.16,4170.16,1848676717
2021-05-21,4155.86,4188.72,4151.72,4168.61,2196798084
2021-05-20,4159.12,4172.8,4121.97,4121.97,2159532191
2021-05-19,4115.68,4116.93,4061.41,4098.45,2414067271
2021-05-18,4127.83,4169.15,4125.99,4165.94,2324677838
2021-05-17,4163.29,4171.92,4142.69,4169.92,2278897644
2021-05-14,4173.85,4183.13,4129.58,4129.58,1904970402
2021-05-13,4112.5,4131.58,4074.99,4074.99,2163353723
2021-05-12,4063.04,4134.73,4056.88,4130.55,2406683784
2021-05-11,4152.1,4162.04,4111.53,4150.34,2432749321
2021-05-10,4188.43,4236.39,4188.13,4228.29,2320014566
2021-05-07,4232.6,4238.04,4201.64,4210.34,2048519190
2021-05-06,4201.62,4202.7,4147.33,4169.14,2239080813
2021-05-05,4167.59,4187.72,4160.94,4177.06,1769152889
2021-05-04,4164.66,4179.04,4128.59,4179.04,2552420121
2021-05-03,4192.66,4209.39,4188.03,4191.98,2182103434
2021-04-30,4181.17,4198.1,4174.85,4198.1,2428162998
2021-04-29,4211.47,4218.78,4176.81,4206.14,2502878449
2021-04-28,4183.18,4201.53,4181.78,4185.14,2145349329
2021-04-27,4186.72,4193.35,4176.22,4188.25,2034702320
2021-04-26,4187.62,4194.19,4182.36,4185.03,1937952599
2021-04-23,4180.17,4194.17,4138.78,4138.78,2008642236
2021-04-22,4134.98,4179.57,4123.69,4170.46,2392241341
2021-04-21,4173.42,4175.02,4126.35,4128.42,2126513143
2021-04-20,4134.94,4159.18,4118.38,4159.18,2292083378
2021-04-19,4163.26,4180.81,4150.47,4179.8,1999877307
2021-04-16,4185.47,4191.31,4170.75,4174.14,2205786949
2021-04-15,4170.42,4173.49,4139.76,4139.76,2130933628
2021-04-14,4124.66,4151.69,4120.87,4141.58,2092018943
2021-04-13,4141.59,4148.0,4124.43,4130.1,2060718961
