Attributes,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,^SPX,^DJI,^NDX,^SPX,^DJI,^NDX,^SPX,^DJI,^NDX,^SPX,^DJI,^NDX,^SPX,^DJI,^NDX
Date,,,,,,,,,,,,,,,
2022-02-10,4504.08,35241.59,14705.64,4588.92,35800.24,15037.26,4484.31,35100.72,14636.62,4553.24,35630.81,14770.68,2709241305,478651056,875507284
2022-02-09,4587.18,35768.06,15056.96,4590.03,35824.28,15057.9,4547.0,35614.9,14870.36,4547.0,35614.9,14930.99,2435234286,421274330,798936026
2022-02-08,4521.54,35462.78,14747.03,4531.32,35544.89,14785.22,4465.4,35090.42,14485.78,4480.02,35160.68,14533.25,2540145869,432972715,752804778
2022-02-07,4483.87,35091.13,14571.25,4521.86,35325.01,14813.86,4471.47,34993.98,14524.63,4505.75,35108.38,14716.43,2380580575,394775875,724463163
2022-02-04,4500.53,35089.74,14694.35,4539.66,35333.55,14832.05,4451.5,34799.08,14452.28,4482.79,35095.74,14566.28,2661230208,400793221,828404222
2022-02-03,4477.44,35111.16,14501.11,4542.88,35535.94,14856.51,4470.39,35071.06,14471.2,4535.41,35520.08,14693.86,2707325899,430259974,1053854384
2022-02-02,4589.38,35629.33,15139.74,4595.31,35679.2,15196.4,4544.32,35290.12,14960.85,4566.39,35378.19,15173.04,2906346124,427396514,1069341749
2022-02-01,4546.54,35405.24,15019.68,4550.49,35441.09,15034.42,4483.53,34977.95,14749.49,4519.57,35151.47,14966.6,2725815746,479954926,814187688
2022-01-31,4515.55,35131.86,14930.05,4516.89,35148.14,14934.52,4414.02,34496.1,14442.88,4431.79,34691.17,14505.07,2960132803,541194328,915972632
2022-01-28,4431.85,34725.47,14454.61,4432.72,34731.77,14457.78,4292.46,33807.51,13880.48,4336.19,34135.24,14091.32,2926083817,626107251,971149144
2022-01-27,4326.51,34160.78,14003.11,4428.74,34773.32,14419.45,4309.5,34007.78,13972.89,4380.58,34261.75,14346.46,3070684348,597909180,1017767801
2022-01-26,4349.93,34168.09,14172.76,4453.23,34815.67,14646.54,4304.8,33876.48,14006.4,4408.43,34520.82,14492.52,3239353450,620827829,983278596
2022-01-25,4356.45,34297.73,14149.12,4411.01,34591.04,14410.43,4287.11,33545.52,14033.81,4366.64,34186.64,14237.6,3069079477,607002705,908383601
2022-01-24,4410.13,34364.5,14509.58,4417.35,34420.99,14532.57,4222.62,33150.33,13724.85,4356.32,34070.61,14160.91,3888349334,768621756,1283525254
2022-01-21,4397.94,34265.37,14438.4,4494.52,34896.67,14868.46,4395.34,34229.55,14432.64,4471.38,34701.69,14728.66,3210070654,593443286,1061432971
2022-01-20,4482.73,34715.39,14846.46,4602.11,35490.2,15347.62,4477.95,34670.12,14832.69,4547.35,35102.66,15176.38,2556569239,429729331,775284787
2022-01-19,4532.76,35028.65,15047.84,4611.55,35547.83,15382.0,4530.2,35015.49,15038.44,4588.03,35412.3,15287.25,2494214499,443735245,732139581
2022-01-18,4577.11,35368.47,15210.76,4632.24,35661.76,15446.3,4568.7,35262.02,15182.96,4632.24,35661.76,15378.06,2741096372,490284707,850199701
2022-01-14,4662.85,35911.81,15611.59,4665.13,35996.43,15617.18,4614.75,35641.49,15396.47,4637.99,35996.43,15396.47,2522462949,439707231,688230475
2022-01-13,4659.03,36113.62,15495.62,4744.13,36513.88,15990.38,4650.29,36044.22,15468.09,4733.56,36312.49,15970.09,2392404427,395636110,704707804
2022-01-12,4726.35,36290.32,15905.1,4748.83,36453.49,16017.39,4706.71,36168.15,15815.95,4728.59,36336.16,15955.48,2122392627,361798146,617831909
2022-01-11,4713.07,36252.02,15844.12,4714.13,36271.47,15848.56,4638.27,35769.38,15496.91,4669.14,36058.85,15582.72,2238558923,421210623,678306840
2022-01-10,4670.29,36068.87,15614.43,4673.02,36175.21,15627.92,4582.24,35639.91,15165.53,4655.34,36175.21,15383.18,2668776356,488023456,840490400
2022-01-07,4677.03,36231.66,15592.19,4707.95,36382.84,15835.0,4662.74,36111.53,15526.8,4697.66,36249.59,15774.13,2414328227,406797595,661989991
2022-01-06,4696.05,36236.47,15765.36,4725.01,36464.19,15900.6,4671.26,36200.68,15608.57,4693.39,36409.05,15675.22,2389339330,449741445,704901075
2022-01-05,4700.58,36407.11,15771.78,4797.7,36952.65,16249.23,4699.44,36400.39,15763.84,4787.99,36722.6,16190.55,2810603586,539088106,778608492
2022-01-04,4793.54,36799.65,16279.73,4818.62,36934.84,16513.87,4774.27,36636.0,16151.91,4804.51,36636.0,16513.87,2841121018,543039217,766613681
2022-01-03,4796.56,36585.06,16501.77,4796.64,36595.82,16504.14,4758.17,36246.45,16306.64,4778.14,36321.59,16395.51,2241373299,436598443,660559649
2021-12-31,4766.18,36338.3,16320.08,4786.83,36484.94,16464.62,4765.75,36303.97,16317.26,4775.21,36385.85,16411.26,1339318824,257462417,424348141
2021-12-30,4778.73,36398.08,16429.1,4808.93,36679.44,16569.62,4775.33,36372.13,16415.13,4794.23,36522.48,16485.39,1353236996,241218115,432117881
2021-12-29,4793.06,36488.63,16491.01,4804.06,36571.55,16548.92,4778.08,36396.19,16396.16,4788.64,36421.14,16510.63,1365873126,251970628,456246500
2021-12-28,4786.35,36398.21,16488.66,4807.02,36527.26,16607.19,4780.04,36302.99,16458.48,4795.49,36302.99,16602.92,1432143549,286735174,478484928
2021-12-27,4791.19,36302.38,16567.5,4791.49,36306.61,16567.64,4733.99,35954.48,16361.07,4733.99,35954.48,16361.07,1503734418,285471040,500081260
2021-12-23,4725.79,35950.56,16308.21,4740.74,36060.99,16360.75,4703.96,35782.42,16188.03,4703.96,35782.42,16203.76,1617243125,305178676,531785298
2021-12-22,4696.56,35753.89,16180.14,4697.67,35764.67,16186.25,4645.53,35433.13,15947.56,4650.36,35491.71,15963.54,1874604891,366038462,575121083
2021-12-21,4649.23,35492.7,15986.28,4651.14,35508.96,15997.61,4583.16,35069.5,15617.48,4594.96,35069.5,15794.38,2298114520,438602980,701365545
2021-12-20,4568.02,34932.16,15627.64,4587.9,35222.12,15662.61,4531.1,34665.5,15508.74,4587.9,35222.12,15566.83,2468207427,462936403,676901067
2021-12-17,4620.64,35365.44,15801.46,4666.7,35800.11,15960.25,4600.22,35284.26,15664.1,4652.5,35800.11,15714.54,4573690712,896157975,1274538107
2021-12-16,4668.67,35897.64,15863.94,4731.99,36189.83,16340.53,4651.89,35778.21,15802.64,4719.13,36036.28,16335.03,2745064817,569730409,824061543
2021-12-15,4709.85,35927.43,16289.59,4712.6,35943.84,16301.27,4611.22,35389.3,15746.94,4636.46,35549.35,15908.45,2575621271,526041801,785852789
2021-12-14,4634.09,35544.18,15914.9,4660.47,35779.47,15995.21,4606.52,35441.74,15742.8,4642.99,35605.73,15877.65,2481788465,522130312,740348371
2021-12-13,4668.97,35650.95,16082.55,4710.3,35958.93,16332.63,4667.6,35609.53,16075.54,4710.3,35958.93,16317.9,2427488597,521552428,741237857
2021-12-10,4712.02,35970.99,16331.98,4713.57,35982.69,16339.12,4670.24,35710.43,16139.0,4687.64,35830.55,16278.3,2130792886,404517391,642188568
2021-12-09,4667.45,35754.69,16149.57,4695.26,35864.24,16413.28,4665.98,35577.14,16141.39,4691.0,35722.26,16337.81,2021704694,404814439,625391874
2021-12-08,4701.21,35754.75,16394.34,4705.06,35840.52,16401.1,4674.52,35602.65,16250.39,4690.86,35716.85,16313.88,2169237673,439232631,662931842
2021-12-07,4686.75,35719.43,16325.66,4694.04,35819.47,16343.66,4631.97,35423.99,16128.44,4631.97,35423.99,16139.55,2483715209,537278770,820546814
2021-12-06,4591.67,35227.03,15846.16,4612.6,35356.75,15898.59,4540.51,34633.43,15557.78,4548.37,34633.43,15744.91,2591430683,484207074,759352554
2021-12-03,4538.43,34580.08,15712.04,4608.03,34801.31,16089.61,4495.12,34264.57,15543.3,4589.49,34692.78,16039.41,2714009311,495631040,845244082
2021-12-02,4577.1,34639.79,15990.76,4595.46,34759.65,16066.32,4504.73,34076.25,15770.92,4504.73,34076.25,15791.3,2801558306,532276830,784211354
2021-12-01,4513.04,34022.04,15877.72,4652.94,35004.64,16427.19,4510.27,34006.98,15864.0,4602.82,34678.94,16347.96,3055980587,564592710,855676686
2021-11-30,4567.0,34483.72,16135.92,4646.02,35056.99,16454.57,4560.0,34424.44,16073.77,4640.25,35056.99,16333.95,4064157980,764047083,1086210026
2021-11-29,4655.27,35135.94,16399.24,4672.95,35287.91,16437.16,4625.26,34895.89,16214.56,4628.75,35017.71,16263.43,2505188610,502302043,671373182
